date,equity,benchmark
2024-04-01,1000000.0,1000000.0
2024-04-02,1010633.8246209002,995836.3543473538
2024-04-03,1000659.8246209002,992256.1920010502
2024-04-08,1000687.5802338002,983524.8009607173
2024-04-09,989221.5802338002,982712.4297796753
2024-04-10,988474.5802338002,974708.8632449181
2024-04-11,1001572.1682102003,974579.8183192065
2024-04-12,1008163.0543382003,966679.7102162698
2024-04-15,1040752.0543382003,987047.9499238941
2024-04-16,1018879.0543382003,976490.4619391169
2024-04-17,1060577.8251232002,991588.7182473696
2024-04-18,1049119.5910603004,992812.1420150533
2024-04-19,1046251.5910603002,984986.0122531494
2024-04-22,1019985.3296571003,981994.3392663407
2024-04-23,998353.3296571003,975130.4841659929
2024-04-24,1007037.3755641003,979412.6064099174
2024-04-25,1006589.2014641004,981820.7960903838
2024-04-26,1019577.1926570004,996835.6181794263
2024-04-29,1001425.1867434003,1007860.8940199078
2024-04-30,998776.9179144003,1002432.6637181013
2024-05-06,988981.1472594003,1017307.0382048071
2024-05-07,978335.4618098004,1017621.5852112289
2024-05-08,987712.4618098004,1009616.0718780236
2024-05-09,1012042.1359343004,1019165.9526088072
2024-05-10,1002907.8501381003,1019643.1963426889
2024-05-13,1006051.8501381003,1019202.1074371316
2024-05-14,1003929.0324691003,1017075.6473035312
2024-05-15,999030.9959200004,1008457.1705731959
2024-05-16,1002965.9959200004,1012435.0360310676
2024-05-17,1010637.7758564004,1022895.1840934329
2024-05-20,1016464.2339705004,1026508.4420133568
2024-05-21,1004914.4543047005,1022392.0757515962
2024-05-22,1002810.5039626004,1024697.6413424345
2024-05-23,992162.4101585004,1012833.5734848278
2024-05-24,975020.4101585004,1001620.8487651874
2024-05-27,987020.4101585004,1011141.5275192477
2024-05-28,968599.4101585004,1003761.4927160536
2024-05-29,964775.8076565005,1004971.2888945994
2024-05-30,955732.3080252005,999628.7177245152
2024-05-31,950935.4482624005,995627.4906852648
2024-06-03,953898.1072723005,998081.2910722326
2024-06-04,953340.8652961005,1005568.9560182075
2024-06-05,941280.0193585006,999762.7687033793
2024-06-06,945551.4995850006,999053.8559541579
2024-06-07,951715.0856322006,994011.3698591659
2024-06-11,948145.6787166005,985323.9208409502
2024-06-12,953917.6787166005,985670.450964736
2024-06-13,964724.6787166005,980666.6227246446
2024-06-14,961923.6787166005,984950.1355388891
2024-06-17,969311.7107116005,983466.6751213343
2024-06-18,973168.7084326006,986078.4442966733
2024-06-19,980474.6788886006,981394.7253442843
2024-06-20,982916.9809326006,974311.9944755423
2024-06-21,978521.4820586005,972181.0845169172
2024-06-24,972531.4025370006,966949.7589724464
2024-06-25,964394.0921686005,961691.1782497003
2024-06-26,965093.0730799006,967910.6430636822
2024-06-27,965293.4116684006,960638.7946313974
2024-06-28,977286.8720074006,962735.4965601462
2024-07-01,989256.8720074006,967331.6095823644
2024-07-02,993207.6428552006,965552.5139147419
2024-07-03,991765.7328976006,963224.1429706531
2024-07-04,986932.9234672006,958329.0573295988
2024-07-05,987764.3798640006,954226.3186569761
2024-07-08,988735.3798640006,946077.2984667293
2024-07-09,1010652.8189057007,956659.8167172696
2024-07-10,985417.3447643006,953643.6696928258
2024-07-11,992569.8302423006,964546.5753451325
2024-07-12,993058.7276043006,965723.5540641225
2024-07-15,999348.1114183007,966793.1807543954
2024-07-16,995117.3108747007,972921.7022694385
2024-07-17,977739.4137717007,973839.7567948133
2024-07-18,985522.4265095007,979220.4295916702
2024-07-19,990015.1811337008,984250.1224397168
2024-07-22,988226.1811337008,977550.0765230848
2024-07-23,963835.1811337008,956678.4503595597
2024-07-24,963352.9625545008,950640.0378012636
2024-07-25,951570.1609788007,945385.350675414
2024-07-26,945596.4120619008,948172.331711094
2024-07-29,955079.1953347009,943013.0377092079
2024-07-30,951101.1953347009,937072.5213014515
2024-07-31,944642.7306724009,957291.9699848177
2024-08-01,964293.2234681009,950946.2413857644
2024-08-02,955698.2234681009,941247.0134025948
2024-08-05,939951.2234681009,929824.5906786734
2024-08-06,924711.2234681009,929729.475668774
2024-08-07,924675.9943333009,929315.085713364
2024-08-08,901704.5519977009,929717.7948780844
2024-08-09,881553.772310801,926572.3248138652
2024-08-12,876310.772310801,924969.8315769039
2024-08-13,876085.9779887011,927340.7539727899
2024-08-14,868539.585184901,920345.9071482824
2024-08-15,882881.417300201,929444.1306390755
2024-08-16,881021.417300201,930467.868508783
2024-08-19,880224.3579177011,933620.0133105391
2024-08-20,873276.400896901,926871.5755467654
2024-08-21,871329.400896901,923793.4090860421
2024-08-22,873566.7456558011,921429.717655821
2024-08-23,872478.3770123011,925338.6108258123
2024-08-26,879138.3770123011,924513.1682837609
2024-08-27,861286.9457303011,919259.8717282313
2024-08-28,862364.2081063011,914020.7589899676
2024-08-29,865119.2081063011,911569.1835155119
2024-08-30,886758.8243959012,923736.9519310432
2024-09-02,874582.1065027012,908045.478324207
2024-09-03,872722.4862596012,910386.3644011773
2024-09-04,854108.4862596012,904472.8250576322
2024-09-05,863258.2592938013,906028.3170177718
2024-09-06,868117.1019718013,898682.768358518
