date,n_positions,market_value,cash
2026-01-05,0,0.0,1000000.0
2026-01-06,9,1022151.0,277.74927280003385
2026-01-07,9,1011556.0,277.74927280003385
2026-01-08,9,997447.0,277.74927280003385
2026-01-09,9,998015.0,277.74927280003385
2026-01-12,8,980217.0,12932.50790810003
2026-01-13,9,1012015.0,1619.8171187000316
2026-01-14,9,993838.0,1619.8171187000316
2026-01-15,9,991412.0,6746.917105500077
2026-01-16,10,973764.0,3411.5858062000775
2026-01-19,7,665651.0,308077.63638460013
2026-01-20,10,976081.0,934.7771614001667
2026-01-21,10,981001.0,934.7771614001667
2026-01-22,10,982319.0,934.7771614001667
2026-01-23,8,702473.0,278685.8397697002
2026-01-26,10,987827.0,10112.066802200206
2026-01-27,9,865819.0,126533.8314992002
2026-01-28,10,994662.0,10174.726236800212
2026-01-29,10,1000377.0,10174.726236800212
2026-01-30,9,870489.0,121082.19584870023
2026-02-02,8,730625.0,230397.13670390024
2026-02-03,7,865893.0,104829.2021288003
2026-02-04,10,965979.0,1242.6834932003121
2026-02-05,10,941337.0,1242.6834932003121
2026-02-06,9,830181.0,113798.35565270031
2026-02-09,10,948817.0,7192.916612600326
2026-02-10,10,950866.0,7192.916612600326
2026-02-11,10,967814.0,7192.916612600326
2026-02-12,10,975927.0,7192.916612600326
2026-02-13,10,945238.0,7192.916612600326
2026-02-24,10,975493.0,7192.916612600326
2026-02-25,9,865284.9999999999,118320.87821180031
2026-02-26,10,964420.0,9531.603217400334
2026-02-27,10,983643.0,9531.603217400334
2026-03-02,10,1029073.0,9531.603217400334
2026-03-03,7,679857.0,326156.10157760035
2026-03-04,9,997986.0,8543.636544000401
2026-03-05,10,1018610.0,1598.6176632004026
2026-03-06,10,1026281.0,1598.6176632004026
2026-03-09,9,888455.0,144748.80018720042
2026-03-10,5,561094.0,469544.8405338003
2026-03-11,10,1069147.0,482.7110979003253
2026-03-12,10,1096690.0,482.7110979003253
2026-03-13,10,1110080.0,482.7110979003253
2026-03-16,8,920854.0,182375.63050350032
2026-03-17,10,1073041.0,3895.8546291003477
2026-03-18,7,912943.0000000001,168059.62193370037
2026-03-19,9,1067784.0,7651.31387370039
2026-03-20,9,1052464.0000000002,10037.74276500041
2026-03-23,8,902013.0,140790.9533768004
2026-03-24,9,1051724.0,4262.739475100403
2026-03-25,9,1030602.0,8183.0214538004075
2026-03-26,9,1014202.0,16928.213674000406
2026-03-27,10,1022806.0,2611.621984600408
2026-03-30,9,874136.0,141167.39002210042
2026-03-31,10,991767.0,7994.450122100447
2026-04-01,9,831012.0,162061.48027070044
2026-04-02,10,980827.0,14844.30236290046
2026-04-03,9,941078.0,40185.915382900464
2026-04-07,8,838302.0,147391.39897790042
2026-04-08,8,820947.0,147391.39897790042
2026-04-09,8,837564.0,141771.72347900041
2026-04-10,9,980537.0,7593.478077800421
2026-04-13,9,986855.0,1307.6971710004254
2026-04-14,9,990273.0,1307.6971710004254
2026-04-15,8,986325.0,8230.286926200439
2026-04-16,8,957372.4159999997,8230.286926200439
2026-04-17,8,957372.4159999997,8230.286926200439
2026-04-20,8,957372.4159999997,8230.286926200439
2026-04-21,8,957372.4159999997,8230.286926200439
2026-04-22,8,957372.4159999997,8230.286926200439
2026-04-23,8,957372.4159999997,8230.286926200439
2026-04-24,8,957372.4159999997,8230.286926200439
2026-04-27,8,957372.4159999997,8230.286926200439
