decision_date,planned_exec_date,symbol,reason,event,exit_layer
2018-10-08,2018-10-09,600028,trailing_stop: close=6.62 <= stop=6.81,exit_signal,STOP_TRAIL
2018-11-20,2018-11-21,601238,trailing_stop: close=10.39 <= stop=10.54,exit_signal,STOP_TRAIL
2018-12-14,2018-12-17,300498,trailing_stop: close=25.11 <= stop=25.43,exit_signal,STOP_TRAIL
2018-12-18,2018-12-19,601111,trailing_stop: close=8.09 <= stop=8.11,exit_signal,STOP_TRAIL
2018-12-19,2018-12-20,002311,trailing_stop: close=22.13 <= stop=22.86,exit_signal,STOP_TRAIL
2018-12-20,2018-12-21,601766,trailing_stop: close=9.09 <= stop=9.17,exit_signal,STOP_TRAIL
2019-01-30,2019-01-31,600522,trailing_stop: close=7.90 <= stop=8.02,exit_signal,STOP_TRAIL
2019-02-11,2019-02-12,600406,time_stop: 持有 67 天 >= 60,exit_signal,TIME_STOP
2019-02-18,2019-02-19,600436,take_profit: close=105.78 >= target=103.10,exit_signal,TAKE_PROFIT
2019-02-21,2019-02-22,002311,take_profit: close=27.48 >= target=27.39,exit_signal,TAKE_PROFIT
2019-02-25,2019-02-26,600029,take_profit: close=8.44 >= target=8.42,exit_signal,TAKE_PROFIT
2019-02-27,2019-02-28,600406,trailing_stop: close=18.41 <= stop=19.10,exit_signal,STOP_TRAIL
2019-02-28,2019-03-01,600886,trailing_stop: close=8.08 <= stop=8.18,exit_signal,STOP_TRAIL
2019-03-05,2019-03-06,300124,take_profit: close=27.92 >= target=27.89,exit_signal,TAKE_PROFIT
2019-03-07,2019-03-08,001965,take_profit: close=10.10 >= target=9.72,exit_signal,TAKE_PROFIT
2019-03-08,2019-03-11,600660,trailing_stop: close=23.86 <= stop=24.04,exit_signal,STOP_TRAIL
2019-03-08,2019-03-11,601006,trailing_stop: close=8.45 <= stop=8.66,exit_signal,STOP_TRAIL
2019-03-08,2019-03-11,600519,trailing_stop: close=737.50 <= stop=748.30,exit_signal,STOP_TRAIL
