decision_date,planned_exec_date,symbol,reason,event,exit_layer
2018-05-23,2018-05-24,00857,trailing_stop: close=6.15 <= stop=6.17,exit_signal,STOP_TRAIL
2018-08-17,2018-08-20,00992,take_profit: close=4.90 >= target=4.82,exit_signal,TAKE_PROFIT
2018-09-17,2018-09-18,00728,trailing_stop: close=3.77 <= stop=3.79,exit_signal,STOP_TRAIL
2018-10-03,2018-10-04,01288,break_ma60: close=3.72 < MA60=3.73,exit_signal,STOP_TREND
2018-10-08,2018-10-09,02318,trailing_stop: close=74.75 <= stop=75.94,exit_signal,STOP_TRAIL
2018-10-11,2018-10-12,00857,trailing_stop: close=5.99 <= stop=6.10,exit_signal,STOP_TRAIL
2018-10-15,2018-10-16,00941,trailing_stop: close=76.60 <= stop=77.63,exit_signal,STOP_TRAIL
2018-10-15,2018-10-16,00267,trailing_stop: close=11.36 <= stop=11.40,exit_signal,STOP_TRAIL
2018-10-29,2018-10-30,01088,break_ma60: close=17.50 < MA60=17.51,exit_signal,STOP_TREND
2018-10-30,2018-10-31,00728,trailing_stop: close=3.59 <= stop=3.82,exit_signal,STOP_TRAIL
2018-12-06,2018-12-07,00998,trailing_stop: close=4.83 <= stop=4.84,exit_signal,STOP_TRAIL
2018-12-06,2018-12-07,00939,trailing_stop: close=6.52 <= stop=6.53,exit_signal,STOP_TRAIL
2018-12-06,2018-12-07,03988,trailing_stop: close=3.37 <= stop=3.38,exit_signal,STOP_TRAIL
2018-12-07,2018-12-10,00728,trailing_stop: close=3.96 <= stop=3.99,exit_signal,STOP_TRAIL
2018-12-07,2018-12-10,03968,trailing_stop: close=31.70 <= stop=32.05,exit_signal,STOP_TRAIL
2018-12-07,2018-12-10,01398,trailing_stop: close=5.47 <= stop=5.48,exit_signal,STOP_TRAIL
2018-12-11,2018-12-12,03328,trailing_stop: close=5.77 <= stop=5.83,exit_signal,STOP_TRAIL
2018-12-20,2018-12-21,00267,trailing_stop: close=12.36 <= stop=12.45,exit_signal,STOP_TRAIL
2019-01-24,2019-01-25,06160,break_ma60: close=79.95 < MA60=80.16,exit_signal,STOP_TREND
2019-01-31,2019-02-01,01398,take_profit: close=6.06 >= target=6.05,exit_signal,TAKE_PROFIT
2019-02-15,2019-02-18,00700,trailing_stop: close=333.80 <= stop=336.19,exit_signal,STOP_TRAIL
2019-03-04,2019-03-05,03328,take_profit: close=6.90 >= target=6.89,exit_signal,TAKE_PROFIT
2019-03-07,2019-03-08,00728,trailing_stop: close=4.13 <= stop=4.17,exit_signal,STOP_TRAIL
2019-03-08,2019-03-11,01378,trailing_stop: close=4.93 <= stop=5.06,exit_signal,STOP_TRAIL
2019-03-08,2019-03-11,01288,trailing_stop: close=3.70 <= stop=3.70,exit_signal,STOP_TRAIL
2019-03-08,2019-03-11,01398,trailing_stop: close=5.88 <= stop=5.94,exit_signal,STOP_TRAIL
2019-03-08,2019-03-11,00939,trailing_stop: close=6.89 <= stop=6.90,exit_signal,STOP_TRAIL
2019-03-14,2019-03-15,00992,trailing_stop: close=6.73 <= stop=6.77,exit_signal,STOP_TRAIL
2019-03-25,2019-03-26,00998,trailing_stop: close=5.10 <= stop=5.12,exit_signal,STOP_TRAIL
2019-03-25,2019-03-26,00700,trailing_stop: close=353.80 <= stop=354.59,exit_signal,STOP_TRAIL
2019-03-25,2019-03-26,00857,trailing_stop: close=5.08 <= stop=5.17,exit_signal,STOP_TRAIL
2019-04-26,2019-04-29,03968,trailing_stop: close=38.80 <= stop=39.07,exit_signal,STOP_TRAIL
2019-04-30,2019-05-02,00883,trailing_stop: close=14.18 <= stop=14.31,exit_signal,STOP_TRAIL
2019-05-06,2019-05-07,00700,trailing_stop: close=375.60 <= stop=379.34,exit_signal,STOP_TRAIL
2019-05-06,2019-05-07,03988,trailing_stop: close=3.69 <= stop=3.70,exit_signal,STOP_TRAIL
2019-05-06,2019-05-07,01810,trailing_stop: close=11.00 <= stop=11.45,exit_signal,STOP_TRAIL
2019-05-06,2019-05-07,02628,trailing_stop: close=20.95 <= stop=21.08,exit_signal,STOP_TRAIL
2019-06-27,2019-06-28,03690,take_profit: close=68.50 >= target=66.31,exit_signal,TAKE_PROFIT
2019-08-02,2019-08-05,02328,trailing_stop: close=8.99 <= stop=9.14,exit_signal,STOP_TRAIL
2019-08-02,2019-08-05,00700,trailing_stop: close=355.80 <= stop=359.37,exit_signal,STOP_TRAIL
2019-08-05,2019-08-06,02601,trailing_stop: close=31.65 <= stop=32.53,exit_signal,STOP_TRAIL
2019-08-06,2019-08-07,06160,trailing_stop: close=78.15 <= stop=78.28,exit_signal,STOP_TRAIL
2019-09-26,2019-09-27,00981,trailing_stop: close=9.93 <= stop=9.96,exit_signal,STOP_TRAIL
2019-10-08,2019-10-09,03690,take_profit: close=89.00 >= target=87.87,exit_signal,TAKE_PROFIT
2019-10-10,2019-10-11,02020,take_profit: close=69.80 >= target=69.33,exit_signal,TAKE_PROFIT
2019-10-22,2019-10-23,01109,trailing_stop: close=33.30 <= stop=34.64,exit_signal,STOP_TRAIL
2019-11-05,2019-11-06,02628,overbought: RSI=80.6 >= 80.0,exit_signal,OVERBOUGHT
2019-11-07,2019-11-08,00998,take_profit: close=4.77 >= target=4.72,exit_signal,TAKE_PROFIT
2019-11-11,2019-11-12,03988,trailing_stop: close=3.23 <= stop=3.24,exit_signal,STOP_TRAIL
2019-11-11,2019-11-12,00981,trailing_stop: close=9.69 <= stop=9.73,exit_signal,STOP_TRAIL
2019-11-13,2019-11-14,01288,trailing_stop: close=3.19 <= stop=3.23,exit_signal,STOP_TRAIL
2019-11-14,2019-11-15,02328,trailing_stop: close=9.58 <= stop=9.70,exit_signal,STOP_TRAIL
2019-11-14,2019-11-15,00267,trailing_stop: close=10.18 <= stop=10.27,exit_signal,STOP_TRAIL
2019-12-19,2019-12-20,02899,take_profit: close=3.38 >= target=3.35,exit_signal,TAKE_PROFIT
2020-01-02,2020-01-03,01109,take_profit: close=39.40 >= target=39.01,exit_signal,TAKE_PROFIT
2020-01-08,2020-01-09,01288,trailing_stop: close=3.35 <= stop=3.37,exit_signal,STOP_TRAIL
2020-01-08,2020-01-09,01398,trailing_stop: close=5.84 <= stop=5.88,exit_signal,STOP_TRAIL
2020-01-09,2020-01-10,00700,take_profit: close=390.00 >= target=389.62,exit_signal,TAKE_PROFIT
2020-01-20,2020-01-21,00175,trailing_stop: close=14.84 <= stop=15.47,exit_signal,STOP_TRAIL
2020-01-21,2020-01-22,03968,trailing_stop: close=39.60 <= stop=39.66,exit_signal,STOP_TRAIL
2020-01-21,2020-01-22,02628,trailing_stop: close=21.10 <= stop=21.74,exit_signal,STOP_TRAIL
2020-01-21,2020-01-22,00939,trailing_stop: close=6.44 <= stop=6.60,exit_signal,STOP_TRAIL
2020-01-21,2020-01-22,02318,trailing_stop: close=94.40 <= stop=96.20,exit_signal,STOP_TRAIL
2020-01-30,2020-01-31,00941,trailing_stop: close=64.60 <= stop=66.77,exit_signal,STOP_TRAIL
