decision_date,planned_exec_date,symbol,reason,event,exit_layer
2019-03-04,2019-03-05,WDAY,trailing_stop: close=179.22 <= stop=188.27,exit_signal,STOP_TRAIL
2019-03-14,2019-03-15,ZS,take_profit: close=66.94 >= target=65.95,exit_signal,TAKE_PROFIT
2019-03-25,2019-03-26,ADI,trailing_stop: close=105.25 <= stop=106.17,exit_signal,STOP_TRAIL
2019-03-27,2019-03-28,KLAC,trailing_stop: close=118.10 <= stop=118.79,exit_signal,STOP_TRAIL
2019-03-28,2019-03-29,TMUS,trailing_stop: close=69.15 <= stop=71.42,exit_signal,STOP_TRAIL
2019-04-01,2019-04-02,XEL,trailing_stop: close=55.57 <= stop=55.95,exit_signal,STOP_TRAIL
2019-04-17,2019-04-18,IDXX,trailing_stop: close=215.53 <= stop=219.45,exit_signal,STOP_TRAIL
2019-04-24,2019-04-25,CSGP,trailing_stop: close=474.37 <= stop=477.32,exit_signal,STOP_TRAIL
2019-04-25,2019-04-26,DLTR,take_profit: close=110.76 >= target=110.68,exit_signal,TAKE_PROFIT
2019-04-26,2019-04-29,SNPS,take_profit: close=120.12 >= target=119.90,exit_signal,TAKE_PROFIT
2019-04-30,2019-05-01,ADBE,take_profit: close=289.25 >= target=288.96,exit_signal,TAKE_PROFIT
2019-05-03,2019-05-06,VRSK,take_profit: close=143.21 >= target=143.00,exit_signal,TAKE_PROFIT
2019-05-07,2019-05-08,ANSS,trailing_stop: close=188.92 <= stop=189.45,exit_signal,STOP_TRAIL
2019-05-07,2019-05-08,MCHP,trailing_stop: close=94.15 <= stop=96.42,exit_signal,STOP_TRAIL
2019-05-07,2019-05-08,ASML,trailing_stop: close=200.69 <= stop=201.98,exit_signal,STOP_TRAIL
2019-05-10,2019-05-13,LRCX,trailing_stop: close=197.90 <= stop=198.31,exit_signal,STOP_TRAIL
2019-05-13,2019-05-14,CDNS,trailing_stop: close=66.90 <= stop=67.41,exit_signal,STOP_TRAIL
2019-05-20,2019-05-21,SNPS,trailing_stop: close=115.01 <= stop=118.14,exit_signal,STOP_TRAIL
2019-05-23,2019-05-24,ALGN,trailing_stop: close=307.85 <= stop=309.64,exit_signal,STOP_TRAIL
2019-05-23,2019-05-24,SBUX,trailing_stop: close=76.41 <= stop=76.44,exit_signal,STOP_TRAIL
2019-05-28,2019-05-29,MDLZ,trailing_stop: close=50.97 <= stop=51.35,exit_signal,STOP_TRAIL
2019-05-31,2019-06-03,TMUS,trailing_stop: close=73.44 <= stop=74.73,exit_signal,STOP_TRAIL
2019-06-03,2019-06-04,CSGP,trailing_stop: close=499.62 <= stop=505.27,exit_signal,STOP_TRAIL
2019-06-03,2019-06-04,WDAY,trailing_stop: close=191.88 <= stop=199.61,exit_signal,STOP_TRAIL
