screen_date,factor_rank,symbol,factor_score,signal_entry_price,stop_loss,take_profit,timing_reason,already_held,queued_for_buy
2019-07-22,1,600436,-27.54661459948234,100.8,95.75999999999999,,"oversold-bounce: RSI=27.5, close>98.70",False,True
2019-08-06,1,600887,-18.880504126833372,28.1,26.695,,"oversold-bounce: RSI=18.9, close>27.45",False,True
2019-08-06,2,600600,-25.757461446495526,42.09,39.9855,,"oversold-bounce: RSI=25.8, close>40.87",False,True
2019-08-06,3,300033,-29.84378301358153,80.01,76.0095,,"oversold-bounce: RSI=29.8, close>70.16",False,True
2019-08-07,1,600887,-19.684012861250338,28.16,26.752,,"oversold-bounce: RSI=19.7, close>27.46",True,False
2019-08-07,2,300033,-27.59655475236761,77.89,73.99549999999999,,"oversold-bounce: RSI=27.6, close>70.40",True,False
2019-08-08,1,600887,-19.340170725672337,28.06,26.656999999999996,,"oversold-bounce: RSI=19.3, close>27.48",True,False
2019-08-09,1,300033,-29.330684628747846,77.89,73.99549999999999,,"oversold-bounce: RSI=29.3, close>70.89",True,False
2019-08-12,1,600887,-26.946424768391907,28.14,26.733,,"oversold-bounce: RSI=26.9, close>27.51",False,True
2019-09-26,1,000876,-26.98558552650279,16.04,15.237999999999998,,"oversold-bounce: RSI=27.0, close>14.59",False,True
2019-10-24,1,000596,-26.07077745394318,101.12,96.064,,"oversold-bounce: RSI=26.1, close>101.04",False,True
2019-10-29,1,600009,-29.65468306556403,73.43,69.7585,,"oversold-bounce: RSI=29.7, close>69.79",False,True
2019-11-14,1,601888,-29.801937509054298,84.72,80.484,,"oversold-bounce: RSI=29.8, close>79.77",False,True
2019-12-04,1,600406,-29.800021916321214,20.9,19.854999999999997,,"oversold-bounce: RSI=29.8, close>19.97",False,True
2019-12-05,1,600406,-28.118745287229643,20.64,19.608,,"oversold-bounce: RSI=28.1, close>19.98",True,False
2019-12-06,1,600406,-29.11267069549247,20.7,19.665,,"oversold-bounce: RSI=29.1, close>19.98",True,False
2019-12-12,1,600406,-27.258784988168756,20.24,19.227999999999998,,"oversold-bounce: RSI=27.3, close>20.00",True,False
2020-02-03,1,601808,-25.840937015913894,14.81,14.0695,,"oversold-bounce: RSI=25.8, close>12.73",False,True
2020-02-03,2,300124,-25.92668439301839,26.41,25.089499999999997,,"oversold-bounce: RSI=25.9, close>25.34",False,True
2020-02-03,3,600585,-27.70603245973959,44.83,42.588499999999996,,"oversold-bounce: RSI=27.7, close>43.00",False,True
2020-02-03,4,600690,-27.91634882659278,17.0,16.15,,"oversold-bounce: RSI=27.9, close>16.93",False,True
2020-02-03,5,000651,-28.164426780368913,58.77,55.8315,,"oversold-bounce: RSI=28.2, close>57.74",False,True
2020-02-03,6,600426,-28.855537403817465,17.39,16.5205,,"oversold-bounce: RSI=28.9, close>16.29",False,True
2020-02-03,7,601877,-29.69520436493093,24.44,23.218,,"oversold-bounce: RSI=29.7, close>24.11",False,True
2020-02-04,1,601872,-24.40010822141332,5.23,4.968500000000001,,"oversold-bounce: RSI=24.4, close>5.21",False,True
2020-02-04,2,600426,-27.72772729034827,17.19,16.3305,,"oversold-bounce: RSI=27.7, close>16.29",True,False
2020-02-04,3,002311,-29.3178652547911,32.34,30.723000000000003,,"oversold-bounce: RSI=29.3, close>31.66",False,True
2020-02-05,1,600426,-27.2686195184681,17.11,16.2545,,"oversold-bounce: RSI=27.3, close>16.28",True,False
2020-02-05,2,002311,-28.469027548934648,32.15,30.542499999999997,,"oversold-bounce: RSI=28.5, close>31.69",False,True
2020-02-05,3,601872,-29.26111680006933,5.45,5.1775,,"oversold-bounce: RSI=29.3, close>5.21",True,False
2020-03-13,1,601808,-29.51467570471553,13.71,13.0245,,"oversold-bounce: RSI=29.5, close>13.67",False,True
2020-03-16,1,002241,-29.448906826624167,17.23,16.3685,,"oversold-bounce: RSI=29.4, close>16.41",False,True
2020-03-17,1,002241,-29.186585023476624,17.13,16.2735,,"oversold-bounce: RSI=29.2, close>16.46",True,False
2020-03-17,2,300433,-29.502787652175172,15.19,14.430499999999999,,"oversold-bounce: RSI=29.5, close>12.34",False,True
2020-03-18,1,300433,-29.34147981237912,15.14,14.383,,"oversold-bounce: RSI=29.3, close>12.38",True,False
2020-03-18,2,300347,-29.694889809819216,66.62,63.289,,"oversold-bounce: RSI=29.7, close>64.69",False,True
2020-03-19,1,300347,-28.064564759606014,65.46,62.18699999999999,,"oversold-bounce: RSI=28.1, close>64.67",True,False
2020-03-19,2,603259,-28.486877725421678,88.83,84.3885,,"oversold-bounce: RSI=28.5, close>87.16",False,True
2020-03-23,1,002050,-26.316854892742427,15.74,14.953,,"oversold-bounce: RSI=26.3, close>14.72",False,True
2020-03-23,2,300433,-28.37608825776637,14.15,13.442499999999999,,"oversold-bounce: RSI=28.4, close>12.50",True,False
2020-03-23,3,002475,-28.700300959885652,34.4,32.68,,"oversold-bounce: RSI=28.7, close>31.58",False,True
2020-03-24,1,002050,-27.601205463155765,15.9,15.105,,"oversold-bounce: RSI=27.6, close>14.75",True,False
2020-09-17,1,000876,-29.380129492277362,28.65,27.217499999999998,,"oversold-bounce: RSI=29.4, close>28.05",False,True
2020-10-30,1,000157,-29.27692191756529,7.4,7.03,,"oversold-bounce: RSI=29.3, close>7.11",False,True
2020-10-30,2,300033,-29.814027644839655,135.12,128.364,,"oversold-bounce: RSI=29.8, close>131.82",False,True
2020-11-02,1,000157,-26.957841169375058,7.24,6.878,,"oversold-bounce: RSI=27.0, close>7.12",True,False
2020-11-03,1,000157,-28.107737173903132,7.27,6.906499999999999,,"oversold-bounce: RSI=28.1, close>7.12",True,False
2020-11-25,1,300413,-29.818999942342515,62.47,59.3465,,"oversold-bounce: RSI=29.8, close>58.66",False,True
2020-12-10,1,600886,-28.84939425375046,8.6,8.17,,"oversold-bounce: RSI=28.8, close>8.44",False,True
2020-12-11,1,600886,-26.909803243997672,8.49,8.0655,,"oversold-bounce: RSI=26.9, close>8.44",True,False
2020-12-14,1,600886,-27.859477663692516,8.51,8.0845,,"oversold-bounce: RSI=27.9, close>8.44",True,False
2021-02-26,1,601100,-29.07913369020939,95.0,90.25,,"oversold-bounce: RSI=29.1, close>82.90",False,True
2021-03-04,1,601100,-29.658049006487374,91.4,86.83,,"oversold-bounce: RSI=29.7, close>83.40",True,False
2021-03-08,1,300760,-24.798526533178205,357.32,339.45399999999995,,"oversold-bounce: RSI=24.8, close>355.42",False,True
2021-03-08,2,601100,-27.359972946389092,86.1,81.79499999999999,,"oversold-bounce: RSI=27.4, close>83.56",True,False
2021-03-08,3,600438,-29.059929473385026,33.78,32.091,,"oversold-bounce: RSI=29.1, close>28.79",False,True
2021-03-08,4,002594,-29.491366162460068,176.73,167.8935,,"oversold-bounce: RSI=29.5, close>137.30",False,True
2021-03-09,1,600438,-27.52946793557021,32.4,30.779999999999998,,"oversold-bounce: RSI=27.5, close>28.88",True,False
2021-03-09,2,002594,-27.927167902346923,170.68,162.146,,"oversold-bounce: RSI=27.9, close>137.86",True,False
2021-03-09,3,600809,-28.138258862433815,257.9,245.00499999999997,,"oversold-bounce: RSI=28.1, close>235.98",False,True
2021-03-09,4,600436,-28.633387737122888,241.77,229.6815,,"oversold-bounce: RSI=28.6, close>230.47",False,True
2021-03-09,5,000568,-28.761652562319384,187.21,177.8495,,"oversold-bounce: RSI=28.8, close>165.82",False,True
2021-03-09,6,601100,-29.71420483987569,87.6,83.21999999999998,,"oversold-bounce: RSI=29.7, close>83.62",False,True
2021-03-10,1,600438,-29.499770419021345,33.08,31.426,,"oversold-bounce: RSI=29.5, close>28.97",True,False
2021-03-15,1,600438,-29.1116140392665,31.1,29.545,,"oversold-bounce: RSI=29.1, close>29.26",True,False
2021-06-11,1,000425,-29.21742290087836,6.26,5.946999999999999,,"oversold-bounce: RSI=29.2, close>6.21",False,True
2021-06-21,1,601888,-29.874614642641234,281.98,267.88100000000003,,"oversold-bounce: RSI=29.9, close>264.58",False,True
2021-07-26,1,000963,-27.566858410840453,36.24,34.428,,"oversold-bounce: RSI=27.6, close>35.71",False,True
2021-07-27,1,601919,-29.275827883688038,17.55,16.6725,,"oversold-bounce: RSI=29.3, close>14.92",False,True
2021-10-14,1,603893,-28.612131974108678,106.5,101.175,,"oversold-bounce: RSI=28.6, close>101.13",False,True
2021-11-01,1,600018,-27.95900707596114,5.1,4.845,,"oversold-bounce: RSI=28.0, close>5.02",False,True
2021-11-02,1,601600,-29.64645663708228,5.91,5.6145,,"oversold-bounce: RSI=29.6, close>5.38",False,True
2021-11-05,1,601600,-26.277086185983308,5.49,5.2155,,"oversold-bounce: RSI=26.3, close>5.41",True,False
