decision_date,planned_exec_date,symbol,reason,event,exit_layer
2019-08-02,2019-08-05,600436,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2019-08-09,2019-08-12,600887,break_ma200: close=27.40 < MA=27.49,exit_signal,STOP_TREND
2019-08-16,2019-08-19,600600,rsi_revert: RSI=69.5 >= 55.0,exit_signal,OVERBOUGHT
2019-08-19,2019-08-20,300033,time_stop: 持有 12 天 >= 10,exit_signal,TIME_STOP
2019-08-23,2019-08-26,600887,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2019-10-08,2019-10-09,000876,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2019-11-04,2019-11-05,000596,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2019-11-11,2019-11-12,600009,time_stop: 持有 12 天 >= 10,exit_signal,TIME_STOP
2019-11-25,2019-11-26,601888,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2019-12-16,2019-12-17,600406,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2020-02-11,2020-02-12,600585,rsi_revert: RSI=55.6 >= 55.0,exit_signal,OVERBOUGHT
2020-02-12,2020-02-13,601877,rsi_revert: RSI=65.0 >= 55.0,exit_signal,OVERBOUGHT
2020-02-14,2020-02-17,601808,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2020-02-14,2020-02-17,300124,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2020-02-14,2020-02-17,600690,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2020-02-14,2020-02-17,000651,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2020-02-14,2020-02-17,600426,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2020-02-17,2020-02-18,601872,time_stop: 持有 12 天 >= 10,exit_signal,TIME_STOP
2020-03-17,2020-03-18,601808,stop_loss_5pct: close=12.67 <= stop=13.02,exit_signal,STOP_TRAIL
2020-03-23,2020-03-24,002241,stop_loss_5pct: close=15.34 <= stop=16.37,exit_signal,STOP_TRAIL
2020-03-23,2020-03-24,300433,stop_loss_5pct: close=14.15 <= stop=14.43,exit_signal,STOP_TRAIL
