screen_date,rank,symbol,score
2019-07-22,1,600436,-27.54661459948234
2019-08-06,1,600887,-18.880504126833372
2019-08-06,2,600600,-25.757461446495526
2019-08-06,3,300033,-29.84378301358153
2019-08-07,1,600887,-19.684012861250338
2019-08-07,2,300033,-27.59655475236761
2019-08-08,1,600887,-19.340170725672337
2019-08-09,1,300033,-29.330684628747846
2019-08-12,1,600887,-26.946424768391907
2019-09-26,1,000876,-26.98558552650279
2019-10-24,1,000596,-26.07077745394318
2019-10-29,1,600009,-29.65468306556403
2019-11-14,1,601888,-29.801937509054298
2019-12-04,1,600406,-29.800021916321214
2019-12-05,1,600406,-28.118745287229643
2019-12-06,1,600406,-29.11267069549247
2019-12-12,1,600406,-27.258784988168756
2020-02-03,1,601808,-25.840937015913894
2020-02-03,2,300124,-25.92668439301839
2020-02-03,3,600585,-27.70603245973959
2020-02-03,4,600690,-27.91634882659278
2020-02-03,5,000651,-28.164426780368913
2020-02-03,6,600426,-28.855537403817465
2020-02-03,7,601877,-29.69520436493093
2020-02-04,1,601872,-24.40010822141332
2020-02-04,2,600426,-27.72772729034827
2020-02-04,3,002311,-29.3178652547911
2020-02-05,1,600426,-27.2686195184681
2020-02-05,2,002311,-28.469027548934648
2020-02-05,3,601872,-29.26111680006933
2020-03-13,1,601808,-29.51467570471553
2020-03-16,1,002241,-29.448906826624167
2020-03-17,1,002241,-29.186585023476624
2020-03-17,2,300433,-29.502787652175172
2020-03-18,1,300433,-29.34147981237912
2020-03-18,2,300347,-29.694889809819216
2020-03-19,1,300347,-28.064564759606014
2020-03-19,2,603259,-28.486877725421678
2020-03-23,1,002050,-26.316854892742427
2020-03-23,2,300433,-28.37608825776637
2020-03-23,3,002475,-28.700300959885652
2020-03-24,1,002050,-27.601205463155765
2020-09-17,1,000876,-29.380129492277362
2020-10-30,1,000157,-29.27692191756529
2020-10-30,2,300033,-29.814027644839655
2020-11-02,1,000157,-26.957841169375058
2020-11-03,1,000157,-28.107737173903132
2020-11-25,1,300413,-29.818999942342515
2020-12-10,1,600886,-28.84939425375046
2020-12-11,1,600886,-26.909803243997672
2020-12-14,1,600886,-27.859477663692516
2021-02-26,1,601100,-29.07913369020939
2021-03-04,1,601100,-29.658049006487374
2021-03-08,1,300760,-24.798526533178205
2021-03-08,2,601100,-27.359972946389092
2021-03-08,3,600438,-29.059929473385026
2021-03-08,4,002594,-29.491366162460068
2021-03-09,1,600438,-27.52946793557021
2021-03-09,2,002594,-27.927167902346923
2021-03-09,3,600809,-28.138258862433815
2021-03-09,4,600436,-28.633387737122888
2021-03-09,5,000568,-28.761652562319384
2021-03-09,6,601100,-29.71420483987569
2021-03-10,1,600438,-29.499770419021345
2021-03-15,1,600438,-29.1116140392665
2021-06-11,1,000425,-29.21742290087836
2021-06-21,1,601888,-29.874614642641234
2021-07-26,1,000963,-27.566858410840453
2021-07-27,1,601919,-29.275827883688038
2021-10-14,1,603893,-28.612131974108678
2021-11-01,1,600018,-27.95900707596114
2021-11-02,1,601600,-29.64645663708228
2021-11-05,1,601600,-26.277086185983308
2022-01-05,1,300014,-28.360286383219204
2022-01-05,2,002371,-29.915216600431705
2022-01-07,1,300316,-29.548948814936693
2022-02-11,1,002920,-29.751504028577685
2022-03-08,1,002028,-29.91470383331219
2022-03-15,1,600900,-27.572216006892404
2022-09-02,1,600085,-29.793820382442064
2022-10-31,1,600188,-26.084654826286794
2022-10-31,2,605117,-29.077131173456905
2022-11-01,1,600188,-25.34856619377807
2022-11-01,2,605117,-29.47456734284725
2023-04-27,1,600584,-29.80392605895382
2023-05-12,1,601899,-28.16826498581058
2023-05-25,1,600050,-28.91933972450377
2023-08-15,1,603501,-29.50610881821885
2023-08-24,1,002230,-29.36104498807174
2023-10-18,1,000786,-28.80869531509859
2024-01-08,1,300782,-26.767809457645328
2024-01-09,1,300782,-27.161155500283286
2024-01-11,1,300782,-28.914921759351373
2024-01-18,1,600161,-29.882537509850877
2024-03-28,1,300832,-25.32382930945633
2024-07-02,1,002028,-29.5635419557335
