date,open,high,low,close,volume
2018-01-02,27.35,27.65,26.9,27.35,39087794.0
2018-01-03,27.55,28.4,27.5,28.35,65418202.0
2018-01-04,28.75,28.75,27.3,27.45,49912990.0
2018-01-05,27.7,27.7,26.6,27.55,46538082.0
2018-01-08,27.65,28.1,27.05,27.75,33288216.0
2018-01-09,28.25,28.45,26.7,27.0,96157779.0
2018-01-10,27.45,27.45,26.15,26.7,61709427.0
2018-01-11,26.5,26.6,25.95,26.3,42316156.0
2018-01-12,26.5,27.0,26.35,27.0,52835110.0
2018-01-15,27.5,27.5,25.8,26.15,56740787.0
2018-01-16,26.3,26.55,26.0,26.3,45163228.0
2018-01-17,26.0,26.05,25.15,25.75,68196772.0
2018-01-18,25.85,25.9,24.55,24.65,94922248.0
2018-01-19,24.8,25.3,24.3,25.0,90415319.0
2018-01-22,25.3,25.35,24.45,24.7,83931356.0
2018-01-23,25.35,26.95,25.3,26.15,170698603.0
2018-01-24,26.15,26.4,25.3,25.85,61552728.0
2018-01-25,25.8,25.9,24.95,25.4,60658613.0
2018-01-26,25.7,25.8,24.95,25.1,55773149.0
2018-01-29,25.05,25.1,24.5,24.7,65042760.0
2018-01-30,24.7,25.4,24.55,24.65,41633774.0
2018-01-31,24.65,25.15,24.55,25.05,46793547.0
2018-02-01,25.15,25.2,24.5,24.5,42230237.0
2018-02-02,24.45,25.35,24.1,24.75,56618465.0
2018-02-05,23.5,24.8,23.45,24.4,56375626.0
2018-02-06,23.4,23.75,22.0,22.3,130234672.0
2018-02-07,23.5,23.9,21.6,21.85,132801466.0
2018-02-08,22.4,22.4,21.6,21.9,63704833.0
2018-02-09,21.0,21.7,20.0,21.5,120294624.0
2018-02-12,21.9,22.55,21.6,22.1,65358081.0
2018-02-13,22.6,22.8,22.15,22.4,41405088.0
2018-02-14,22.75,22.75,22.1,22.5,29125755.0
2018-02-15,22.8,23.0,22.6,22.7,23214896.0
2018-02-20,23.25,23.8,22.75,23.25,54404126.0
2018-02-21,23.4,23.8,23.15,23.75,34773917.0
2018-02-22,23.6,24.25,23.25,23.7,54039662.0
2018-02-23,24.05,24.15,23.7,23.9,26976260.0
2018-02-26,25.3,26.0,25.05,25.45,153820745.0
2018-02-27,25.9,26.25,24.85,25.05,76088750.0
2018-02-28,25.1,25.95,24.6,25.55,68642732.0
2018-03-01,25.4,25.8,25.1,25.35,35876745.0
2018-03-02,24.8,25.1,24.7,24.85,35503706.0
2018-03-05,25.0,25.1,23.85,24.25,45943333.0
2018-03-06,24.9,24.95,24.25,24.45,29971072.0
2018-03-07,24.55,25.05,24.35,24.45,36735761.0
2018-03-08,24.95,24.95,24.55,24.7,24082025.0
2018-03-09,24.9,26.0,24.75,25.85,73397753.0
2018-03-12,26.3,26.9,26.0,26.65,72448807.0
2018-03-13,26.8,27.2,26.3,26.5,45588713.0
2018-03-14,26.4,26.45,25.85,26.2,32711539.0
2018-03-15,25.8,26.4,25.75,26.3,25903174.0
2018-03-16,26.5,26.65,26.05,26.45,40179792.0
2018-03-19,26.5,27.35,26.2,26.9,52800720.0
2018-03-20,26.8,27.5,26.35,27.5,65643899.0
2018-03-21,27.85,27.95,25.7,25.8,119262207.0
2018-03-22,26.15,26.3,25.1,25.25,70787660.0
2018-03-23,23.9,24.65,23.35,24.1,101227760.0
2018-03-26,23.95,24.3,23.45,24.25,51401993.0
2018-03-27,24.8,25.0,23.8,24.0,65392570.0
2018-03-28,23.8,23.85,22.5,22.6,107102479.0
2018-03-29,22.5,23.35,21.7,22.6,66987435.0
2018-04-03,22.45,23.1,21.9,23.0,46360942.0
2018-04-04,23.15,23.3,22.1,22.15,43665598.0
2018-04-06,22.5,22.6,22.0,22.3,49468748.0
2018-04-09,22.7,23.8,22.4,23.45,85696462.0
2018-04-10,23.2,24.5,23.2,24.15,86853448.0
2018-04-11,24.25,24.4,23.4,23.75,47469081.0
2018-04-12,23.7,23.95,23.25,23.45,32321993.0
2018-04-13,23.6,23.8,23.25,23.4,21178075.0
2018-04-16,23.5,23.55,22.65,22.95,33031599.0
2018-04-17,22.95,23.0,22.2,22.4,41486713.0
2018-04-18,22.8,22.8,21.1,21.85,81767690.0
2018-04-19,22.0,22.45,21.75,21.95,46393493.0
2018-04-20,22.15,22.4,21.7,21.9,30502401.0
2018-04-23,21.7,21.9,21.2,21.3,46189743.0
2018-04-24,21.3,21.85,21.05,21.65,40802091.0
2018-04-25,21.65,21.85,21.0,21.2,48821943.0
2018-04-26,21.4,21.45,20.45,20.7,52568696.0
2018-04-27,21.25,21.35,20.45,20.75,25415195.0
2018-04-30,21.0,21.15,20.75,21.0,19077749.0
2018-05-02,21.1,21.95,20.95,21.65,76144783.0
2018-05-03,21.5,21.9,21.15,21.5,42087459.0
2018-05-04,21.4,21.5,20.7,20.9,42953224.0
2018-05-07,21.45,22.2,20.85,21.8,75568795.0
2018-05-08,22.7,23.1,22.5,22.95,100615937.0
2018-05-09,23.1,23.2,22.75,22.85,31318427.0
2018-05-10,23.1,23.15,22.55,22.7,39575549.0
2018-05-11,23.1,23.9,22.85,23.55,76876011.0
2018-05-14,23.85,24.4,23.5,23.8,69003801.0
2018-05-15,23.8,23.8,22.95,23.2,39387974.0
2018-05-16,23.05,23.65,22.75,23.2,29689059.0
2018-05-17,23.6,23.6,22.9,23.05,21157696.0
2018-05-18,23.05,23.15,22.8,22.9,24766105.0
2018-05-21,22.95,23.7,22.95,23.3,39246111.0
2018-05-23,23.4,23.4,22.7,22.75,42636483.0
2018-05-24,23.05,23.1,22.35,22.7,42170334.0
2018-05-25,22.7,22.7,21.9,22.2,44707013.0
2018-05-28,22.3,23.0,22.3,22.85,34975992.0
2018-05-29,22.6,23.1,22.5,22.75,27261104.0
2018-05-30,22.25,22.35,21.9,22.15,40822422.0
2018-05-31,22.45,22.65,22.1,22.25,55271851.0
2018-06-01,22.15,22.45,22.0,22.2,32303875.0
2018-06-04,22.4,23.45,22.3,23.2,59159414.0
2018-06-05,23.35,23.5,22.9,23.35,29833273.0
2018-06-06,23.4,23.5,23.0,23.25,34480808.0
2018-06-07,23.6,24.2,23.6,24.05,71570315.0
2018-06-08,24.0,24.05,23.5,23.6,44423076.0
2018-06-11,23.7,24.5,23.6,24.3,55492945.0
