date,open,high,low,close,volume
2018-01-02,8978.42,9178.72,8978.42,9175.85,0.0
2018-01-03,9232.49,9275.47,9170.51,9208.17,0.0
2018-01-04,9258.9,9317.12,9223.61,9277.36,0.0
2018-01-05,9323.71,9337.72,9236.45,9304.9,0.0
2018-01-08,9339.67,9363.05,9308.61,9360.94,0.0
2018-01-09,9392.07,9402.97,9337.92,9373.1,0.0
2018-01-10,9381.75,9469.27,9345.56,9392.07,0.0
2018-01-11,9388.73,9402.64,9324.86,9382.9,0.0
2018-01-12,9453.51,9500.24,9428.87,9500.24,0.0
2018-01-15,9588.09,9589.29,9389.41,9416.78,0.0
2018-01-16,9447.69,9633.86,9447.69,9633.86,0.0
2018-01-17,9589.67,9655.23,9655.23,9655.23,0.0
2018-01-18,9733.45,9765.53,9646.0,9743.49,0.0
2018-01-19,9778.93,9832.61,9726.49,9828.84,0.0
2018-01-22,9834.25,9906.06,9752.19,9895.63,0.0
2018-01-23,9962.03,10085.63,9948.21,10085.63,0.0
2018-01-24,10081.8,10122.86,9994.95,10110.4,0.0
2018-01-25,10125.48,10125.48,9941.2,9968.59,0.0
2018-01-26,10032.78,10200.66,10008.72,10171.57,0.0
2018-01-29,10246.3,10300.06,10064.98,10107.08,0.0
2018-01-30,10035.48,10100.13,9908.78,9947.17,0.0
2018-01-31,9886.04,10047.94,9839.36,10028.92,0.0
2018-02-01,10082.4,10144.26,9945.08,9945.08,0.0
2018-02-02,9934.94,10047.38,9841.0,9988.86,0.0
2018-02-05,9680.04,9970.01,9677.11,9903.98,0.0
2018-02-06,9506.3,9569.36,9297.73,9309.92,0.0
2018-02-07,9609.62,9643.6,9165.97,9184.05,0.0
2018-02-08,9252.29,9308.85,9117.49,9190.23,0.0
2018-02-09,8930.89,8930.89,8700.86,8859.18,0.0
2018-02-12,8930.85,8984.33,8862.89,8873.49,0.0
2018-02-13,9019.51,9143.92,8981.76,8999.94,0.0
2018-02-14,9059.14,9234.77,9032.98,9185.87,0.0
2018-02-15,9335.67,9424.38,9316.09,9403.68,0.0
2018-02-20,9432.69,9484.5,9269.78,9360.74,0.0
2018-02-21,9423.17,9583.0,9372.57,9563.1,0.0
2018-02-22,9464.89,9522.32,9407.3,9431.76,0.0
2018-02-23,9534.71,9597.75,9501.85,9547.18,0.0
2018-02-26,9658.3,9674.89,9546.51,9613.03,0.0
2018-02-27,9702.39,9705.26,9433.7,9490.54,0.0
2018-02-28,9397.5,9401.56,9256.79,9333.28,0.0
2018-03-01,9239.73,9406.89,9211.96,9385.52,0.0
2018-03-02,9243.73,9263.29,9195.17,9221.71,0.0
