date,open,high,low,close,volume
2021-09-13,58.2,59.06,57.83,59.06,1149477.0
2021-09-14,59.28,59.32,58.09,58.45,1005019.0
2021-09-15,58.29,59.43,57.61,59.36,880966.0
2021-09-16,59.24,59.89,58.87,59.48,561257.0
2021-09-17,59.1,59.25,57.72,57.85,1212500.0
2021-09-20,56.64,56.92,55.59,56.9,1491477.0
2021-09-21,57.36,57.82,57.1,57.37,879255.0
2021-09-22,57.65,58.55,57.41,57.58,660030.0
2021-09-23,57.91,57.96,57.14,57.14,937896.0
2021-09-24,57.06,57.08,56.24,56.31,968254.0
2021-09-27,56.22,57.1,56.22,56.92,903502.0
2021-09-28,56.42,56.42,55.23,55.5,816709.0
2021-09-29,55.6,55.83,55.14,55.31,608593.0
2021-09-30,55.35,55.9,55.0,55.29,963115.0
2021-10-01,55.46,56.64,55.39,55.86,1138252.0
2021-10-04,55.91,56.05,54.72,54.92,1109868.0
2021-10-05,55.05,55.66,54.73,55.5,1159921.0
2021-10-06,54.92,55.08,54.06,54.93,535852.0
2021-10-07,55.9,56.52,55.58,55.65,783365.0
2021-10-08,55.68,55.72,54.04,54.05,737755.0
2021-10-11,54.2,54.39,53.36,53.4,732593.0
2021-10-12,53.69,54.04,53.18,53.28,1369465.0
2021-10-13,53.38,54.38,53.23,54.25,1757035.0
2021-10-14,54.79,55.42,54.64,55.34,876055.0
2021-10-15,55.49,55.67,54.94,55.04,580921.0
2021-10-18,54.47,54.47,53.3,53.37,501296.0
2021-10-19,53.62,53.62,52.92,53.45,699819.0
2021-10-20,53.47,54.41,53.42,54.09,654511.0
2021-10-21,53.66,53.79,52.6,53.19,598306.0
2021-10-22,53.27,53.48,52.66,52.85,595403.0
2021-10-25,52.78,52.81,52.06,52.12,563911.0
2021-10-26,52.56,53.08,52.41,52.68,573067.0
2021-10-27,53.05,53.6,52.6,52.71,824339.0
2021-10-28,52.85,53.17,52.42,53.08,424538.0
2021-10-29,52.66,53.27,52.33,52.65,425369.0
2021-11-01,52.62,53.83,52.52,53.78,630292.0
2021-11-02,53.76,53.86,52.93,53.14,550859.0
2021-11-03,53.45,53.89,53.0,53.84,628893.0
2021-11-04,53.74,53.74,53.05,53.12,490863.0
2021-11-05,53.53,55.21,53.53,55.1,828273.0
2021-11-08,54.91,55.17,54.3,54.9,1308749.0
2021-11-09,55.35,57.83,55.22,57.8,2945119.0
2021-11-10,57.71,58.15,56.75,57.03,2162139.0
2021-11-11,57.5,57.93,56.96,57.06,772334.0
2021-11-12,57.08,57.13,56.14,56.2,1122807.0
2021-11-15,56.27,56.5,55.88,56.02,623691.0
2021-11-16,56.21,56.47,55.47,55.52,607767.0
2021-11-17,55.0,55.83,54.78,55.55,772530.0
2021-11-18,53.83,53.83,52.45,52.91,1501859.0
2021-11-19,52.47,52.5,50.88,51.79,1295888.0
2021-11-22,52.01,52.82,51.79,52.19,780076.0
