date,open,high,low,close,volume
2018-01-02,69.73,69.98,69.03,69.76,729274.0
2018-01-03,69.79,71.91,69.79,71.8,1140366.0
2018-01-04,72.06,73.46,71.79,73.06,835995.0
2018-01-05,73.24,73.57,72.8,72.94,465427.0
2018-01-08,72.59,73.32,72.2,73.05,922266.0
2018-01-09,73.34,74.01,72.79,72.86,497218.0
2018-01-10,72.34,72.89,72.04,72.34,722191.0
2018-01-11,71.5,72.75,71.5,72.73,674617.0
2018-01-12,73.0,73.28,72.71,72.88,669307.0
2018-01-16,73.3,73.36,72.08,72.15,608773.0
2018-01-17,72.8,73.85,72.28,73.48,694948.0
2018-01-18,73.7,74.11,73.05,73.79,574527.0
2018-01-19,74.0,75.27,73.93,75.21,455966.0
2018-01-22,75.01,75.37,74.48,75.01,389642.0
2018-01-23,75.65,75.79,75.12,75.6,466913.0
2018-01-24,75.05,76.34,74.49,75.04,596194.0
2018-01-25,75.68,75.87,74.69,75.37,706732.0
2018-01-26,75.79,75.92,74.8,75.68,394973.0
2018-01-29,75.33,76.16,75.19,75.8,409521.0
2018-01-30,75.28,76.0,74.97,74.99,554148.0
2018-01-31,75.32,75.69,74.33,74.79,1014247.0
2018-02-01,74.45,76.51,74.45,76.5,903755.0
2018-02-02,76.0,76.73,74.91,75.92,1499592.0
2018-02-05,75.41,76.44,73.53,73.81,1122715.0
2018-02-06,72.5,74.95,72.03,73.24,1672411.0
2018-02-07,70.77,71.32,67.42,68.4,3861946.0
2018-02-08,68.92,71.03,68.38,69.05,2601408.0
2018-02-09,69.79,70.84,66.88,69.14,1557171.0
2018-02-12,69.24,70.11,67.85,68.31,853495.0
2018-02-13,67.81,69.79,67.81,69.37,905387.0
2018-02-14,69.1,70.42,68.86,70.38,1391604.0
2018-02-15,70.38,71.33,69.79,71.32,926554.0
2018-02-16,70.93,71.89,69.89,71.46,878811.0
2018-02-20,70.87,71.71,70.6,70.91,932884.0
2018-02-21,71.08,71.96,70.69,71.13,1232921.0
2018-02-22,71.64,72.55,71.34,71.47,846663.0
2018-02-23,71.47,72.17,71.32,72.04,756051.0
2018-02-26,72.56,73.66,71.81,73.52,780720.0
2018-02-27,72.73,74.96,72.73,73.49,1017088.0
2018-02-28,73.81,74.32,72.89,72.93,768715.0
2018-03-01,73.28,73.42,71.44,72.08,934252.0
2018-03-02,71.74,73.37,71.19,73.14,661780.0
2018-03-05,72.78,74.55,72.15,73.94,829136.0
2018-03-06,74.17,74.5,73.41,74.11,887171.0
2018-03-07,73.5,74.85,73.42,74.58,898742.0
2018-03-08,74.6,74.61,72.61,73.14,1106231.0
2018-03-09,73.37,74.56,72.9,74.38,987617.0
2018-03-12,74.35,75.68,74.05,75.32,610064.0
2018-03-13,75.45,76.14,75.3,75.65,582817.0
2018-03-14,76.02,76.07,75.0,75.43,638562.0
2018-03-15,75.36,75.51,74.18,74.63,969377.0
2018-03-16,74.78,75.99,73.04,75.83,981127.0
2018-03-19,75.35,75.35,73.45,73.98,1275244.0
2018-03-20,74.28,75.63,74.28,75.21,859264.0
2018-03-21,75.3,75.37,74.47,74.79,680998.0
2018-03-22,74.42,74.75,73.14,73.25,770825.0
2018-03-23,73.13,73.25,69.87,69.91,996659.0
2018-03-26,70.74,71.71,69.71,71.58,875986.0
2018-03-27,72.1,72.69,69.84,70.21,530948.0
2018-03-28,70.36,70.39,69.26,69.93,531784.0
2018-03-29,70.39,71.06,69.84,70.31,1021372.0
2018-04-02,70.27,70.8,68.32,68.84,848897.0
2018-04-03,69.1,69.7,68.69,69.23,727415.0
2018-04-04,68.12,69.73,68.0,69.58,751726.0
2018-04-05,69.98,70.37,69.17,69.72,661409.0
2018-04-06,69.12,69.64,67.44,67.95,640223.0
2018-04-09,68.62,69.64,68.36,68.45,544346.0
2018-04-10,69.51,70.46,68.96,70.12,458663.0
2018-04-11,69.65,70.23,68.88,69.83,633220.0
2018-04-12,70.09,70.59,69.77,70.07,440789.0
2018-04-13,70.51,70.51,69.27,69.59,853741.0
2018-04-16,69.68,70.85,69.05,70.65,573938.0
