date,open,high,low,close,volume
2018-01-02,75.37,75.55,72.54,73.08,645367.0
2018-01-03,73.07,73.24,72.34,72.79,534018.0
2018-01-04,72.7,73.79,72.58,73.62,622416.0
2018-01-05,73.8,74.08,73.4,74.0,431484.0
2018-01-08,73.82,74.03,73.29,73.67,468600.0
2018-01-09,73.76,74.61,73.11,73.21,679548.0
2018-01-10,73.11,73.61,72.15,72.19,549938.0
2018-01-11,72.29,72.97,72.18,72.77,551019.0
2018-01-12,72.96,74.15,72.63,74.03,399467.0
2018-01-16,74.27,74.62,73.85,74.2,634081.0
2018-01-17,74.6,75.29,74.51,75.06,453505.0
2018-01-18,74.91,75.3,74.76,74.86,401895.0
2018-01-19,75.1,75.6,74.69,75.16,443868.0
2018-01-22,75.32,76.11,75.26,75.93,440684.0
2018-01-23,75.88,77.52,75.88,77.01,754296.0
2018-01-24,77.87,78.04,76.98,77.23,557969.0
2018-01-25,77.27,77.65,76.82,77.22,404074.0
2018-01-26,77.48,77.8,77.13,77.51,476447.0
2018-01-29,77.49,77.63,76.51,76.59,461420.0
2018-01-30,76.47,77.5,76.29,76.39,479086.0
2018-01-31,76.52,77.53,76.15,76.9,1092765.0
2018-02-01,76.63,77.28,76.31,77.17,809897.0
2018-02-02,76.95,77.68,76.31,76.38,459841.0
2018-02-05,75.93,76.4,73.08,73.39,965860.0
2018-02-06,72.35,73.13,69.98,72.6,1152987.0
2018-02-07,72.27,73.84,72.27,72.63,1037517.0
2018-02-08,73.6,74.06,70.29,70.34,1029207.0
2018-02-09,71.11,72.52,69.86,72.14,1332743.0
2018-02-12,72.71,75.22,72.02,74.31,1071362.0
2018-02-13,73.81,74.35,73.26,73.97,888329.0
2018-02-14,73.71,75.67,72.59,75.57,573985.0
2018-02-15,75.86,76.37,75.37,76.19,502777.0
2018-02-16,75.96,77.46,75.93,77.19,538827.0
2018-02-20,76.85,77.2,75.36,75.69,377126.0
2018-02-21,75.78,76.82,75.51,75.54,416195.0
2018-02-22,75.65,76.8,74.76,74.92,396993.0
2018-02-23,75.2,75.83,74.65,75.8,341393.0
2018-02-26,76.0,77.29,75.52,77.26,456466.0
2018-02-27,77.08,77.8,75.87,75.88,595289.0
2018-02-28,76.21,76.75,74.59,74.59,530458.0
2018-03-01,74.8,75.35,73.0,73.34,478941.0
2018-03-02,72.4,74.8,72.33,74.61,768601.0
2018-03-05,74.4,76.27,74.17,75.89,505538.0
2018-03-06,76.01,76.11,75.15,76.04,415326.0
2018-03-07,75.34,76.06,75.31,75.72,577759.0
2018-03-08,75.71,75.86,74.7,75.26,490292.0
2018-03-09,75.7,77.12,74.96,77.04,552475.0
2018-03-12,77.05,77.05,74.62,75.24,553967.0
2018-03-13,75.66,75.88,74.84,75.08,499259.0
2018-03-14,75.47,75.47,73.74,74.05,523351.0
2018-03-15,74.32,74.87,73.9,74.3,749645.0
2018-03-16,74.38,75.64,74.3,75.13,2494046.0
2018-03-19,74.78,75.52,74.64,75.11,687113.0
2018-03-20,74.79,75.81,74.54,75.4,568716.0
2018-03-21,75.58,76.05,75.26,75.55,535001.0
2018-03-22,74.89,75.36,73.39,73.44,535053.0
2018-03-23,73.82,75.22,71.48,71.61,533668.0
2018-03-26,72.43,73.31,71.75,73.14,625222.0
2018-03-27,73.35,74.16,72.72,73.13,504017.0
2018-03-28,73.28,74.42,72.89,73.86,549414.0
2018-03-29,74.43,74.95,73.16,74.26,434564.0
2018-04-02,74.06,74.28,71.21,72.37,495502.0
2018-04-03,72.81,73.9,72.68,73.49,504777.0
2018-04-04,72.81,74.08,72.48,73.9,530395.0
2018-04-05,74.16,74.73,73.83,74.35,543286.0
2018-04-06,73.82,74.68,72.64,73.0,743838.0
2018-04-09,73.23,73.83,72.49,72.77,481842.0
2018-04-10,73.37,74.08,73.19,73.41,412568.0
2018-04-11,73.05,75.0,72.89,73.41,329103.0
2018-04-12,73.91,74.39,73.74,73.98,246806.0
2018-04-13,74.47,74.52,73.16,73.53,358748.0
2018-04-16,74.09,75.06,73.32,74.74,537800.0
2018-04-17,75.39,75.63,74.39,74.49,406057.0
2018-04-18,74.73,75.18,74.25,74.56,351798.0
2018-04-19,74.54,75.37,73.78,75.04,299880.0
2018-04-20,75.33,75.66,74.77,75.27,390590.0
2018-04-23,75.59,75.75,74.79,75.72,394462.0
2018-04-24,75.93,75.96,74.47,74.95,433685.0
2018-04-25,75.03,75.24,73.96,74.82,450252.0
2018-04-26,72.58,74.57,70.29,71.44,1479387.0
2018-04-27,71.24,71.85,70.78,71.45,722432.0
2018-04-30,71.61,71.94,70.33,70.34,1135701.0
2018-05-01,70.22,71.28,70.01,71.18,652940.0
2018-05-02,70.99,71.13,69.58,69.71,881928.0
2018-05-03,69.45,70.05,68.33,69.35,744275.0
2018-05-04,68.94,70.67,68.62,70.01,606388.0
2018-05-07,70.16,70.81,69.59,69.8,486438.0
2018-05-08,69.82,70.26,69.55,70.18,544453.0
2018-05-09,70.51,71.41,70.23,71.21,546565.0
2018-05-10,71.35,72.19,70.95,71.89,570835.0
2018-05-11,71.92,72.33,71.22,71.88,353237.0
2018-05-14,72.06,72.06,70.46,70.56,514888.0
2018-05-15,70.4,71.17,70.37,70.89,457282.0
2018-05-16,70.99,71.32,70.6,70.76,390451.0
2018-05-17,70.85,70.99,70.51,70.89,303968.0
2018-05-18,70.93,71.11,70.5,70.73,324534.0
2018-05-21,71.07,71.45,70.7,71.29,574981.0
2018-05-22,71.42,71.89,71.22,71.45,259659.0
2018-05-23,71.23,71.45,70.48,70.88,292497.0
2018-05-24,70.68,70.76,70.01,70.43,661127.0
2018-05-25,70.45,70.72,70.14,70.42,309030.0
2018-05-29,69.91,69.93,68.28,68.51,606272.0
2018-05-30,68.95,70.49,68.86,70.1,442677.0
2018-05-31,70.06,70.06,68.65,69.37,973290.0
2018-06-01,69.97,70.77,69.89,70.18,572473.0
2018-06-04,70.2,70.65,70.14,70.24,392680.0
2018-06-05,70.21,70.22,69.12,70.0,516436.0
2018-06-06,70.18,70.61,69.69,70.39,344314.0
2018-06-07,70.63,70.85,69.94,70.77,291254.0
2018-06-08,70.78,71.36,70.55,71.28,527919.0
2018-06-11,71.47,71.47,70.26,70.53,281650.0
2018-06-12,70.45,70.64,69.42,70.06,494059.0
2018-06-13,70.29,70.53,69.47,69.67,430450.0
2018-06-14,69.93,69.93,68.88,68.92,406788.0
2018-06-15,68.65,69.11,68.15,68.99,1111164.0
2018-06-18,68.83,69.05,68.11,69.0,524729.0
2018-06-19,68.28,68.96,68.28,68.76,483375.0
2018-06-20,68.99,68.99,68.43,68.49,530743.0
2018-06-21,68.47,68.63,67.59,67.77,371119.0
2018-06-22,68.22,68.6,67.93,68.34,837768.0
2018-06-25,68.25,68.85,67.82,68.22,452423.0
2018-06-26,68.35,68.5,67.06,67.14,671783.0
2018-06-27,67.16,67.65,66.33,66.33,483901.0
2018-06-28,66.37,67.4,66.33,67.16,272241.0
2018-06-29,67.44,68.01,66.59,66.86,612560.0
2018-07-02,66.58,67.94,66.56,66.98,377979.0
2018-07-03,67.15,67.88,67.15,67.36,199591.0
2018-07-05,67.61,67.61,67.0,67.5,378566.0
2018-07-06,67.53,68.68,67.41,68.34,441215.0
2018-07-09,68.6,69.85,68.6,69.79,606813.0
2018-07-10,69.87,69.98,69.09,69.88,575326.0
2018-07-11,68.39,70.1,68.39,69.79,314445.0
2018-07-12,70.31,70.31,69.53,69.64,355821.0
2018-07-13,69.26,69.83,69.05,69.61,377806.0
2018-07-16,69.75,70.56,69.68,70.54,357936.0
2018-07-17,70.71,70.83,70.36,70.55,324345.0
2018-07-18,70.59,71.47,70.52,71.3,404072.0
2018-07-19,71.18,71.32,70.15,70.26,499269.0
2018-07-20,69.97,70.82,69.83,70.7,419442.0
2018-07-23,70.85,71.07,70.37,70.89,381966.0
2018-07-24,71.14,71.25,70.4,70.74,506345.0
2018-07-25,70.74,71.48,70.08,71.3,616390.0
2018-07-26,71.44,72.55,70.55,72.3,638545.0
2018-07-27,75.0,77.01,73.84,74.44,1305102.0
2018-07-30,74.56,76.1,74.47,75.4,722709.0
2018-07-31,75.79,76.0,74.87,75.63,2398552.0
2018-08-01,75.59,76.08,74.9,75.25,598843.0
2018-08-02,75.0,75.61,74.28,75.25,431579.0
2018-08-03,75.29,75.6,74.9,75.54,333060.0
2018-08-06,75.53,76.26,75.4,75.96,370222.0
2018-08-07,75.0,75.61,74.89,75.05,595463.0
2018-08-08,75.1,75.27,74.38,75.08,286553.0
2018-08-09,75.21,75.5,74.85,75.0,365699.0
2018-08-10,74.43,74.71,73.89,74.39,422088.0
2018-08-13,74.43,74.64,73.59,73.69,386743.0
2018-08-14,73.82,74.59,73.64,74.31,350484.0
2018-08-15,73.9,74.67,73.72,74.44,245691.0
2018-08-16,74.68,75.77,74.68,75.29,287281.0
2018-08-17,75.38,75.91,75.31,75.75,305521.0
2018-08-20,75.95,76.47,75.74,76.14,413575.0
2018-08-21,76.15,76.53,76.03,76.43,286921.0
2018-08-22,76.42,76.49,75.87,76.02,275285.0
2018-08-23,75.5,76.18,75.5,76.15,325348.0
2018-08-24,76.53,76.57,76.11,76.49,259114.0
2018-08-27,76.8,77.21,76.42,76.85,333899.0
2018-08-28,76.96,77.18,76.58,76.79,428571.0
2018-08-29,76.82,77.27,76.42,76.71,306909.0
2018-08-30,76.79,76.81,76.16,76.32,318295.0
2018-08-31,76.31,76.88,75.99,76.67,453097.0
2018-09-04,76.49,77.31,76.4,77.18,285400.0
2018-09-05,76.82,77.83,76.82,77.45,389477.0
2018-09-06,77.53,77.99,77.19,77.64,304838.0
2018-09-07,77.71,77.89,77.03,77.16,413407.0
2018-09-10,77.51,77.58,76.97,77.03,373122.0
2018-09-11,76.98,77.19,76.38,76.8,381772.0
2018-09-12,76.8,76.94,75.85,75.97,330105.0
2018-09-13,76.32,76.94,76.1,76.9,358359.0
2018-09-14,76.97,77.82,76.83,77.77,283507.0
2018-09-17,77.9,77.9,77.22,77.84,311824.0
2018-09-18,77.47,78.05,76.94,77.98,429782.0
2018-09-19,78.18,78.97,77.68,78.58,467004.0
2018-09-20,78.9,79.24,78.39,78.97,452118.0
2018-09-21,79.25,79.67,78.8,79.03,1432466.0
2018-09-24,78.79,78.86,77.37,77.41,526004.0
2018-09-25,77.77,77.82,77.06,77.23,341292.0
2018-09-26,77.43,77.43,76.48,76.6,350163.0
2018-09-27,76.79,77.01,76.42,76.52,341517.0
2018-09-28,76.26,76.9,76.09,76.81,542369.0
2018-10-01,77.11,77.22,75.13,75.37,509758.0
2018-10-02,75.38,76.12,75.03,76.08,413349.0
2018-10-03,76.47,76.47,75.58,75.85,717409.0
2018-10-04,75.93,76.58,75.75,76.5,396412.0
2018-10-05,76.65,77.08,76.31,76.68,338684.0
2018-10-08,76.59,77.96,76.57,77.61,349440.0
2018-10-09,77.58,78.26,77.18,78.03,305732.0
2018-10-10,78.03,78.38,76.24,76.33,634976.0
2018-10-11,76.28,76.31,72.93,72.96,907058.0
2018-10-12,74.09,74.09,71.3,72.33,927976.0
2018-10-15,72.36,73.22,72.03,72.16,578575.0
2018-10-16,73.0,74.4,72.28,74.29,768293.0
2018-10-17,74.11,75.9,74.04,75.75,745216.0
2018-10-18,75.63,76.35,75.34,75.68,554448.0
2018-10-19,75.56,76.72,75.3,76.31,530709.0
2018-10-22,76.59,76.85,74.86,75.09,463718.0
2018-10-23,74.47,74.68,73.39,73.91,898084.0
2018-10-24,73.99,73.99,71.26,71.39,807698.0
2018-10-25,71.65,72.37,71.01,71.75,1121594.0
2018-10-26,74.01,77.04,71.78,76.5,1545196.0
2018-10-29,77.42,79.16,76.12,76.8,1097618.0
2018-10-30,77.21,78.47,76.39,78.37,692269.0
2018-10-31,78.52,79.7,78.24,78.64,1649406.0
2018-11-01,78.47,79.01,77.58,78.43,906176.0
2018-11-02,78.94,79.69,77.42,78.05,582714.0
2018-11-05,78.43,79.62,78.08,79.18,640863.0
2018-11-06,79.22,80.27,78.98,80.16,588956.0
2018-11-07,80.46,80.82,79.58,80.78,553608.0
2018-11-08,80.69,81.45,80.42,81.4,447466.0
2018-11-09,81.3,81.92,80.99,81.32,510230.0
2018-11-12,81.43,81.96,80.1,80.27,382219.0
2018-11-13,80.72,81.68,80.37,80.96,439690.0
2018-11-14,81.19,81.39,78.65,78.99,650782.0
2018-11-15,78.73,79.76,77.85,79.45,1072899.0
2018-11-16,79.07,80.35,78.32,80.25,2359537.0
2018-11-19,80.15,81.05,80.08,80.71,908137.0
2018-11-20,80.41,80.5,79.43,79.79,824536.0
2018-11-21,80.02,80.5,79.31,79.54,355254.0
2018-11-23,79.23,79.73,78.72,78.81,170234.0
2018-11-26,79.35,80.08,79.35,79.96,514364.0
2018-11-27,79.7,80.1,79.23,79.97,619604.0
2018-11-28,80.27,81.7,79.79,81.55,824587.0
2018-11-29,81.19,82.08,81.0,81.48,346207.0
2018-11-30,81.54,82.14,81.12,81.73,723945.0
2018-12-03,82.51,82.86,81.07,82.64,723419.0
2018-12-04,82.41,82.74,81.24,81.51,955045.0
2018-12-06,80.56,80.8,78.61,80.55,744875.0
2018-12-07,80.68,81.36,79.61,80.14,473994.0
2018-12-10,80.16,80.24,77.94,79.39,499129.0
2018-12-11,80.25,80.42,78.84,79.14,376552.0
2018-12-12,79.82,80.52,79.32,79.71,362884.0
2018-12-13,79.78,80.55,78.93,79.7,469755.0
2018-12-14,79.34,79.76,78.93,79.41,462343.0
2018-12-17,79.21,79.4,76.98,77.26,869382.0
2018-12-18,77.3,77.54,75.85,76.56,661535.0
2018-12-19,76.71,78.45,76.22,76.39,779478.0
2018-12-20,76.23,76.52,75.2,75.84,501233.0
2018-12-21,75.46,77.88,75.37,75.63,1998751.0
2018-12-24,75.57,75.57,72.11,72.15,446258.0
2018-12-26,72.49,75.43,71.21,75.39,837747.0
2018-12-27,74.47,76.6,73.8,76.54,627237.0
2018-12-28,77.05,77.5,76.18,76.61,575661.0
2018-12-31,77.04,77.45,76.5,77.42,582285.0
2019-01-02,76.6,76.65,75.19,75.62,671025.0
2019-01-03,75.42,76.0,74.26,74.4,525744.0
2019-01-04,75.39,76.22,75.26,75.89,483632.0
2019-01-07,75.68,76.52,75.36,75.55,469952.0
2019-01-08,76.04,76.05,74.26,75.48,653663.0
2019-01-09,75.91,76.29,75.35,76.24,672474.0
2019-01-10,76.11,77.36,74.81,77.3,479407.0
2019-01-11,76.98,77.53,76.67,77.05,421094.0
2019-01-14,76.56,77.71,76.51,77.6,553518.0
2019-01-15,77.8,78.14,77.19,77.64,519940.0
2019-01-16,78.12,78.22,77.08,77.94,738580.0
2019-01-17,77.56,78.21,77.55,78.18,557973.0
2019-01-18,78.63,80.41,78.16,80.35,1396449.0
2019-01-22,80.05,81.11,79.08,79.5,842644.0
2019-01-23,79.36,79.9,78.61,79.66,324184.0
2019-01-24,79.33,79.6,78.47,79.12,431794.0
2019-01-25,79.72,80.13,79.11,79.35,642867.0
2019-01-28,79.05,79.35,78.14,78.99,457674.0
2019-01-29,79.15,79.48,78.57,79.39,628060.0
2019-01-30,79.69,80.57,78.9,80.19,718792.0
2019-01-31,79.88,81.42,79.69,81.12,3190486.0
2019-02-01,81.17,81.62,80.31,81.56,751469.0
2019-02-04,81.52,82.48,80.96,82.47,766627.0
2019-02-05,82.54,82.62,81.68,82.58,761629.0
2019-02-06,82.52,82.56,81.25,81.85,936603.0
2019-02-07,80.53,85.91,78.75,84.3,1461361.0
2019-02-08,83.82,84.05,83.1,84.02,895616.0
2019-02-11,84.3,84.45,83.22,84.06,957370.0
2019-02-12,84.59,85.12,84.42,84.72,605076.0
2019-02-13,85.03,85.54,84.04,84.5,582689.0
2019-02-14,84.12,84.55,83.58,83.99,524098.0
2019-02-15,84.5,85.52,84.25,85.48,665609.0
2019-02-19,85.39,85.78,84.97,85.61,632727.0
2019-02-20,85.77,85.99,85.51,85.95,530046.0
2019-02-21,86.07,86.15,85.19,85.54,672572.0
2019-02-22,85.84,86.21,85.4,86.12,573889.0
2019-02-25,86.35,86.86,85.68,85.86,571616.0
2019-02-26,85.74,86.15,85.49,85.61,599224.0
