date,open,high,low,close,volume
2018-01-02,38.67,38.95,38.43,38.86,20135700.0
2018-01-03,38.72,39.28,38.53,39.17,29536000.0
2018-01-04,39.05,39.54,38.93,38.99,20731400.0
2018-01-05,39.55,39.88,39.37,39.53,24588200.0
2018-01-08,39.52,39.96,39.35,39.94,16582000.0
2018-01-09,39.79,39.96,39.54,39.69,21449800.0
2018-01-10,39.65,40.24,39.63,39.91,19473000.0
2018-01-11,40.14,40.21,39.75,40.1,21685600.0
2018-01-12,40.22,40.93,40.05,40.87,23770500.0
2018-01-16,40.9,41.16,40.32,40.54,32845000.0
2018-01-17,40.84,41.32,40.71,41.2,24427100.0
2018-01-18,41.24,41.48,41.03,41.3,19610200.0
2018-01-19,41.28,41.52,41.1,41.29,24582000.0
2018-01-22,41.2,41.66,41.02,41.66,22995100.0
2018-01-23,41.54,42.13,41.54,42.1,23984500.0
2018-01-24,42.2,42.69,42.01,42.17,26696200.0
2018-01-25,42.27,42.47,41.82,41.9,19207500.0
2018-01-26,42.15,42.56,41.95,42.56,23380400.0
2018-01-29,42.3,42.98,42.3,42.85,23625900.0
2018-01-30,42.69,42.86,41.97,42.25,28993900.0
2018-01-31,41.98,42.01,41.35,41.54,36512100.0
2018-02-01,41.09,42.11,40.67,41.7,26148500.0
2018-02-02,41.5,41.95,40.87,40.93,27224200.0
2018-02-05,40.87,41.41,38.72,38.78,52399600.0
2018-02-06,38.33,40.31,37.35,40.17,55171600.0
2018-02-07,40.31,41.21,40.03,40.34,32690800.0
2018-02-08,40.44,40.76,38.72,38.77,42982100.0
2018-02-09,39.0,39.92,38.23,39.53,51304200.0
2018-02-12,40.52,40.91,40.23,40.6,38210700.0
2018-02-13,40.5,41.31,40.22,41.23,30999100.0
2018-02-14,41.04,42.26,40.99,42.09,43835900.0
2018-02-15,45.07,45.13,43.26,44.08,72267500.0
2018-02-16,43.89,45.09,43.79,44.33,39267500.0
2018-02-20,44.0,44.69,43.81,44.06,29006900.0
2018-02-21,44.11,44.42,43.28,43.31,28499200.0
2018-02-22,43.49,43.56,42.75,42.94,25887600.0
2018-02-23,43.37,44.04,42.92,44.0,25781400.0
2018-02-26,44.3,45.45,44.13,45.36,27771100.0
2018-02-27,45.41,45.61,44.62,45.04,27419300.0
2018-02-28,45.27,45.89,44.78,44.78,26885200.0
2018-03-01,44.68,45.0,43.35,43.8,32154300.0
2018-03-02,43.29,44.22,43.1,44.06,28848100.0
2018-03-05,43.92,44.77,43.7,44.52,22101700.0
2018-03-06,44.65,44.79,44.14,44.29,21930000.0
2018-03-07,44.03,44.39,43.8,44.2,22034400.0
2018-03-08,44.25,44.41,43.94,44.34,20285600.0
2018-03-09,44.62,45.54,44.61,45.37,22230900.0
2018-03-12,45.53,45.87,45.4,45.55,18299800.0
2018-03-13,45.78,46.16,44.92,45.16,23411200.0
2018-03-14,45.34,45.76,45.09,45.28,21141100.0
2018-03-15,45.3,45.74,45.12,45.33,23520400.0
2018-03-16,45.33,45.6,44.97,45.01,56129000.0
2018-03-19,44.59,44.82,43.9,44.27,26734100.0
2018-03-20,44.49,44.64,44.18,44.37,22809700.0
2018-03-21,44.24,44.9,44.13,44.31,22528200.0
2018-03-22,43.76,44.02,43.02,43.07,29520800.0
2018-03-23,43.71,43.84,42.42,42.42,31759200.0
2018-03-26,43.25,44.16,42.83,44.06,29731900.0
2018-03-27,44.49,44.52,42.24,42.68,30942000.0
2018-03-28,42.51,42.84,41.62,41.66,36696800.0
2018-03-29,41.94,42.93,41.58,42.89,55021200.0
2018-04-02,42.52,42.63,40.53,41.01,36791800.0
2018-04-03,41.34,41.5,40.72,41.38,28003900.0
2018-04-04,40.39,41.55,40.19,41.2,30117600.0
2018-04-05,41.5,42.02,41.38,41.82,29331600.0
2018-04-06,41.4,41.68,40.45,40.73,32208700.0
2018-04-09,40.95,42.06,40.9,41.17,25725800.0
2018-04-10,42.1,42.71,41.75,42.51,22724400.0
2018-04-11,42.42,42.9,42.26,42.43,21693000.0
2018-04-12,42.78,43.64,42.73,43.34,22297000.0
2018-04-13,43.55,43.74,42.64,43.0,18272300.0
2018-04-16,43.12,43.64,43.03,43.3,15807900.0
2018-04-17,43.85,44.75,43.71,44.59,21474600.0
2018-04-18,44.61,44.92,44.3,44.63,17605300.0
2018-04-19,44.42,44.95,44.38,44.56,21472300.0
2018-04-20,44.5,44.75,43.62,44.09,23539200.0
2018-04-23,44.26,44.48,43.87,44.25,20716800.0
2018-04-24,44.43,44.91,43.33,43.74,21421500.0
2018-04-25,43.8,43.99,42.75,43.71,21706000.0
2018-04-26,43.98,44.49,43.44,44.21,20549300.0
2018-04-27,44.69,45.34,44.36,44.71,20077400.0
2018-04-30,44.92,45.18,44.28,44.29,19958500.0
2018-05-01,43.91,44.95,43.83,44.83,16865500.0
2018-05-02,44.91,45.05,43.8,43.86,23601600.0
2018-05-03,44.01,44.81,43.44,44.44,23750200.0
2018-05-04,44.01,45.5,43.9,45.3,19504100.0
2018-05-07,45.36,46.0,45.3,45.73,17822400.0
2018-05-08,45.82,45.87,45.38,45.71,20285300.0
2018-05-09,45.9,46.1,45.19,46.04,20438300.0
2018-05-10,46.0,46.37,45.67,46.3,18469400.0
2018-05-11,46.09,46.27,45.78,45.93,17551500.0
2018-05-14,45.75,46.23,45.67,45.7,22037700.0
2018-05-15,45.21,45.55,44.93,45.48,24753600.0
2018-05-16,45.36,45.55,45.01,45.16,31253700.0
2018-05-17,43.13,44.16,43.02,43.46,48210400.0
2018-05-18,43.46,43.57,43.11,43.21,24456000.0
2018-05-21,43.49,43.94,43.42,43.75,21785900.0
2018-05-22,43.79,43.91,43.48,43.65,16381800.0
2018-05-23,43.4,43.7,42.89,43.68,20638800.0
2018-05-24,43.6,43.97,43.01,43.57,18377500.0
2018-05-25,43.46,43.62,43.21,43.26,15362000.0
2018-05-29,42.76,43.16,42.52,42.97,25197400.0
2018-05-30,43.08,43.34,42.83,42.85,22498800.0
2018-05-31,42.86,43.13,42.61,42.71,31439600.0
2018-06-01,42.91,43.69,42.88,43.66,18352700.0
2018-06-04,43.5,43.83,43.21,43.58,18087700.0
2018-06-05,43.74,43.75,43.39,43.67,16728800.0
2018-06-06,43.76,44.31,43.66,44.26,17730200.0
2018-06-07,44.24,44.39,43.35,43.65,19722000.0
2018-06-08,43.52,43.73,43.31,43.48,18812400.0
2018-06-11,43.62,43.92,43.44,43.69,15069000.0
2018-06-12,43.68,43.95,43.47,43.94,17564900.0
2018-06-13,44.02,44.53,43.84,44.01,24383200.0
2018-06-14,44.23,44.81,44.05,44.69,24020500.0
2018-06-15,44.36,44.53,43.59,44.25,49379800.0
2018-06-18,43.87,44.42,43.39,44.21,17625400.0
2018-06-19,43.62,44.02,43.44,43.82,22199200.0
2018-06-20,43.95,43.99,43.7,43.74,21276500.0
2018-06-21,43.69,43.78,43.06,43.16,20924400.0
2018-06-22,43.34,43.45,42.89,43.2,27460000.0
2018-06-25,42.69,42.82,41.81,42.29,28626700.0
2018-06-26,42.48,43.14,42.39,42.55,22171200.0
2018-06-27,42.73,43.15,42.28,42.33,20794800.0
2018-06-28,42.33,43.19,42.28,42.94,22197700.0
2018-06-29,43.05,43.5,42.97,43.03,20522900.0
2018-07-02,42.56,42.83,42.2,42.81,21810900.0
2018-07-03,42.94,43.23,42.62,42.67,13474700.0
2018-07-05,42.56,42.64,41.96,42.56,18118700.0
2018-07-06,42.39,42.88,42.31,42.71,20258300.0
2018-07-09,42.75,42.78,42.36,42.67,23210000.0
2018-07-10,42.87,43.04,42.71,42.86,20224600.0
2018-07-11,42.56,42.76,42.44,42.57,17721600.0
2018-07-12,42.76,43.63,42.75,43.58,17999500.0
2018-07-13,43.52,43.78,40.94,41.78,50831300.0
2018-07-16,42.05,42.94,42.0,42.5,24468000.0
2018-07-17,42.21,42.51,42.14,42.34,21188400.0
2018-07-18,42.24,42.47,42.15,42.21,20364000.0
2018-07-19,42.8,43.01,42.22,42.4,24498800.0
2018-07-20,42.26,42.37,41.86,42.01,20732100.0
2018-07-23,41.92,42.12,41.44,42.06,15656500.0
2018-07-24,42.22,42.88,42.07,42.39,17493900.0
2018-07-25,42.36,43.22,42.29,43.16,20658300.0
2018-07-26,43.58,43.83,43.22,43.53,23518700.0
2018-07-27,43.26,43.62,42.42,42.57,22050900.0
2018-07-30,42.46,42.61,42.08,42.17,15300400.0
2018-07-31,42.24,42.62,41.92,42.29,20900300.0
2018-08-01,41.99,42.34,41.33,41.86,21650000.0
2018-08-02,41.39,42.6,41.2,42.53,18033200.0
2018-08-03,42.71,42.88,42.46,42.83,13394300.0
2018-08-06,42.73,43.41,42.66,43.3,14345800.0
2018-08-07,43.3,43.64,43.24,43.58,18040500.0
2018-08-08,43.64,43.96,43.44,43.84,13917100.0
2018-08-09,43.89,44.11,43.7,43.78,14098900.0
2018-08-10,43.69,43.95,43.58,43.78,14322100.0
2018-08-13,44.08,44.39,43.7,43.75,18113200.0
2018-08-14,43.84,44.28,43.58,44.0,15981300.0
2018-08-15,43.66,44.5,43.01,43.86,27902200.0
2018-08-16,45.77,46.09,45.08,45.16,48648500.0
2018-08-17,45.1,46.08,44.92,45.87,23153900.0
2018-08-20,45.99,46.33,45.78,46.22,19288500.0
2018-08-21,46.25,46.43,45.72,45.78,18617300.0
2018-08-22,45.95,46.16,45.72,45.99,13202900.0
2018-08-23,45.88,46.25,45.85,46.02,15379000.0
2018-08-24,46.2,46.44,46.07,46.32,15575200.0
2018-08-27,46.5,46.86,46.34,46.59,17209900.0
2018-08-28,46.78,47.27,46.62,46.95,19147300.0
2018-08-29,47.07,47.62,46.9,47.48,20220600.0
2018-08-30,47.31,47.54,46.97,47.15,16238500.0
2018-08-31,46.91,47.83,46.8,47.77,24904200.0
2018-09-04,47.84,48.06,47.51,47.73,19122200.0
2018-09-05,47.56,47.65,46.76,47.27,20818100.0
2018-09-06,47.44,47.9,47.07,47.28,16537600.0
2018-09-07,47.01,47.49,46.88,47.05,17229700.0
2018-09-10,47.3,47.46,46.78,47.07,16597200.0
2018-09-11,46.91,47.17,46.44,47.03,17291500.0
2018-09-12,46.86,47.01,46.44,46.89,16649400.0
2018-09-13,46.84,47.4,46.8,47.24,17972100.0
2018-09-14,47.27,47.49,47.1,47.4,13937000.0
2018-09-17,47.23,47.58,47.07,47.11,14430200.0
2018-09-18,47.07,47.65,47.07,47.46,16469600.0
2018-09-19,47.42,47.62,47.12,47.28,12721900.0
2018-09-20,47.41,47.81,47.16,47.73,17007800.0
2018-09-21,47.93,48.64,47.82,48.56,59664600.0
2018-09-24,48.21,48.62,48.19,48.44,21819300.0
2018-09-25,48.57,48.88,48.43,48.47,15810800.0
2018-09-26,48.74,49.06,48.27,48.41,20080100.0
2018-09-27,48.33,48.76,48.21,48.33,15910100.0
2018-09-28,48.27,48.8,48.06,48.65,15474300.0
2018-10-01,49.0,49.14,48.67,48.87,13669500.0
2018-10-02,48.75,49.14,48.67,49.01,15671600.0
2018-10-03,49.26,49.47,49.07,49.14,16737500.0
2018-10-04,48.63,48.77,48.04,48.38,22110900.0
2018-10-05,48.4,48.85,47.61,48.13,19103300.0
2018-10-08,47.92,48.5,47.15,47.52,23791400.0
2018-10-09,47.53,48.03,47.28,47.49,17008400.0
2018-10-10,47.44,47.51,45.54,45.63,33055800.0
2018-10-11,45.46,45.6,43.92,44.12,36496300.0
2018-10-12,44.93,45.85,44.46,45.71,35424000.0
2018-10-15,45.52,45.72,44.67,44.67,26160500.0
2018-10-16,45.29,45.94,44.85,45.82,22669400.0
2018-10-17,45.89,46.23,45.22,45.94,17803400.0
2018-10-18,46.3,46.49,45.15,45.46,19044600.0
2018-10-19,45.4,46.2,45.13,45.34,21356300.0
2018-10-22,45.77,46.28,45.41,45.76,19195400.0
2018-10-23,45.15,45.77,44.44,45.42,21836200.0
2018-10-24,45.49,45.68,43.96,44.07,29588800.0
2018-10-25,44.62,45.81,44.21,45.47,27054500.0
2018-10-26,44.57,45.11,43.78,44.25,31806600.0
2018-10-29,44.89,45.05,42.94,43.84,28214200.0
2018-10-30,43.92,44.7,43.75,44.58,25924600.0
2018-10-31,45.05,46.3,44.89,45.75,26023700.0
2018-11-01,45.67,45.88,45.1,45.65,24662100.0
2018-11-02,45.72,46.09,44.98,45.48,25581300.0
2018-11-05,45.74,46.44,45.35,46.14,17525200.0
2018-11-06,46.04,46.62,46.0,46.5,15446700.0
2018-11-07,46.98,47.93,46.75,47.9,19990400.0
2018-11-08,47.87,48.44,47.87,48.44,21002000.0
2018-11-09,48.08,48.25,46.7,47.11,22015400.0
2018-11-12,47.14,47.25,45.54,45.62,25913500.0
2018-11-13,45.7,46.06,45.03,45.12,26196700.0
2018-11-14,45.46,45.64,44.08,44.33,36613500.0
2018-11-15,46.8,47.1,45.15,46.77,45983300.0
2018-11-16,46.46,47.04,46.13,46.35,31327400.0
2018-11-19,46.35,46.58,45.25,45.75,28370400.0
2018-11-20,44.92,45.29,44.14,44.49,28430600.0
2018-11-21,44.95,45.18,44.4,44.89,20117400.0
2018-11-23,44.45,45.12,44.39,44.54,9372900.0
2018-11-26,45.14,45.64,45.09,45.57,18275900.0
2018-11-27,45.45,46.39,45.21,46.12,21472700.0
2018-11-28,46.3,47.48,46.12,47.29,24293800.0
2018-11-29,46.9,47.76,46.9,47.34,22650800.0
2018-11-30,47.27,47.91,46.92,47.87,41619100.0
2018-12-03,48.32,48.79,48.08,48.74,24690100.0
2018-12-04,48.7,49.14,47.25,47.35,30802700.0
2018-12-06,46.99,48.46,46.47,48.39,40133000.0
2018-12-07,48.16,48.49,46.36,46.44,38298000.0
2018-12-10,46.3,47.13,45.82,46.86,28682000.0
2018-12-11,47.86,47.9,46.71,47.09,26048500.0
2018-12-12,47.92,48.2,47.36,47.42,23157200.0
2018-12-13,47.68,47.97,47.13,47.47,20051700.0
2018-12-14,46.37,46.62,45.64,45.82,27364500.0
2018-12-17,45.82,45.99,43.91,44.2,36610300.0
2018-12-18,44.55,44.61,43.73,44.06,30513800.0
2018-12-19,43.89,44.92,42.57,43.14,34820100.0
2018-12-20,42.99,43.23,41.87,42.49,38810900.0
2018-12-21,42.91,43.46,41.74,41.85,77915100.0
2018-12-24,41.7,41.81,40.25,40.28,24069400.0
2018-12-26,40.68,42.5,40.4,42.47,33335900.0
2018-12-27,41.89,42.93,41.15,42.91,28404100.0
2018-12-28,43.17,43.53,42.46,42.77,22447300.0
2018-12-31,43.19,43.55,42.89,43.33,20581200.0
2019-01-02,42.28,43.2,42.21,42.95,23833500.0
2019-01-03,42.3,42.41,40.96,41.07,29606700.0
2019-01-04,41.85,43.0,41.53,42.92,27515000.0
2019-01-07,42.86,43.65,42.76,43.21,19488100.0
2019-01-08,43.57,43.94,43.1,43.56,22071400.0
2019-01-09,43.87,43.87,43.17,43.32,22640000.0
2019-01-10,43.11,43.29,42.58,43.24,23277600.0
2019-01-11,43.11,43.54,42.89,43.49,17378400.0
2019-01-14,43.08,43.39,43.0,43.21,16243600.0
2019-01-15,43.33,44.04,43.15,44.02,17744100.0
2019-01-16,44.12,44.24,43.76,43.96,17262500.0
2019-01-17,43.87,44.53,43.8,44.21,18826200.0
2019-01-18,44.48,45.35,44.31,45.03,24416500.0
2019-01-22,44.88,45.24,44.38,44.78,21338400.0
2019-01-23,45.14,45.88,45.02,45.46,24770400.0
2019-01-24,45.63,45.75,45.23,45.61,17360600.0
2019-01-25,46.12,46.66,45.95,46.13,24196600.0
2019-01-28,45.73,45.77,45.23,45.75,18296700.0
2019-01-29,45.81,46.05,45.65,45.96,14470100.0
2019-01-30,45.94,46.93,45.92,46.71,18329300.0
2019-01-31,46.72,47.38,46.52,47.29,23693600.0
2019-02-01,47.37,47.56,47.05,47.34,16266500.0
2019-02-04,47.22,47.47,47.12,47.35,15743100.0
2019-02-05,47.42,47.46,47.08,47.26,16946300.0
2019-02-06,47.12,47.59,46.95,47.48,18160500.0
2019-02-07,47.19,47.32,46.49,46.7,20331200.0
2019-02-08,46.4,47.2,46.3,47.19,18407100.0
2019-02-11,47.34,47.71,47.13,47.58,19363600.0
2019-02-12,47.27,48.15,47.16,47.89,23909200.0
2019-02-13,47.86,47.95,47.12,47.5,28325600.0
2019-02-14,48.85,49.68,48.34,48.4,47598600.0
2019-02-15,48.83,49.59,48.44,49.43,30189600.0
2019-02-19,49.2,49.93,49.2,49.65,20204500.0
2019-02-20,49.7,49.8,49.35,49.63,17550900.0
2019-02-21,49.54,49.72,49.2,49.41,17120600.0
2019-02-22,49.7,50.22,49.58,50.11,22008100.0
2019-02-25,50.34,51.0,50.34,50.79,24264300.0
2019-02-26,50.51,51.41,50.48,51.18,19382500.0
2019-02-27,51.21,51.65,50.89,51.59,19940900.0
2019-02-28,51.55,51.96,51.35,51.77,30708500.0
2019-03-01,52.0,52.09,51.27,51.41,23683700.0
2019-03-04,51.65,51.92,50.63,51.16,18725900.0
2019-03-05,51.12,51.51,50.97,51.3,14994200.0
2019-03-06,51.37,51.79,50.92,51.67,19686900.0
2019-03-07,51.55,51.97,51.21,51.29,22209200.0
2019-03-08,50.72,51.13,50.51,51.07,18182200.0
2019-03-11,51.14,52.09,51.1,51.92,17859300.0
2019-03-12,52.01,52.28,51.68,52.15,19485300.0
2019-03-13,52.41,52.86,52.14,52.59,20568000.0
2019-03-14,52.63,52.96,52.51,52.74,19215900.0
2019-03-15,52.94,53.62,52.93,53.2,43670700.0
2019-03-18,53.27,53.94,53.09,53.51,19073800.0
2019-03-19,53.79,54.0,53.14,53.31,20596400.0
2019-03-20,53.16,53.87,52.86,53.26,21140800.0
2019-03-21,53.08,54.23,53.04,53.94,20082700.0
2019-03-22,53.91,54.14,52.7,52.74,23938500.0
2019-03-25,52.7,52.93,52.25,52.73,18774900.0
2019-03-26,53.19,53.49,53.0,53.23,17742700.0
2019-03-27,53.3,53.66,52.74,53.14,20447500.0
2019-03-28,53.19,53.69,53.02,53.36,13095000.0
2019-03-29,53.7,54.0,53.36,53.99,19582300.0
2019-04-01,54.48,55.02,54.39,54.98,19741700.0
2019-04-02,55.0,55.41,54.97,55.29,17264000.0
2019-04-03,55.46,55.8,55.07,55.63,21110400.0
2019-04-04,55.37,55.68,54.86,55.14,16412100.0
2019-04-05,55.25,55.61,55.13,55.21,13817500.0
2019-04-08,55.2,55.56,54.79,55.49,13862800.0
2019-04-09,55.08,55.42,54.86,55.18,15508400.0
2019-04-10,55.11,55.84,55.11,55.82,13460200.0
