date,open,high,low,close,volume
2023-09-27,74.94,78.32,74.73,78.15,3760815.0
2023-09-28,77.11,79.74,76.6,77.8,3055769.0
2023-09-29,78.65,80.92,78.65,79.47,2747069.0
2023-10-02,78.58,79.59,78.2,79.44,2651534.0
2023-10-03,79.16,79.86,76.6,77.25,2401809.0
2023-10-04,77.73,78.98,77.26,77.93,2856850.0
2023-10-05,77.18,77.42,72.67,73.81,5251783.0
2023-10-06,73.0,74.75,71.91,74.51,4727694.0
2023-10-09,73.64,76.9,72.7,76.08,4041737.0
2023-10-10,76.33,81.62,76.09,81.43,5025757.0
2023-10-11,81.8,83.84,80.51,80.8,3329700.0
2023-10-12,80.9,82.3,79.68,80.1,2739986.0
2023-10-13,80.44,80.71,74.89,75.37,4099253.0
2023-10-16,75.04,76.71,73.74,76.42,3298158.0
2023-10-17,75.49,76.65,74.58,75.88,2722437.0
2023-10-18,74.99,76.9,74.08,74.5,2578623.0
2023-10-19,75.0,75.26,72.86,73.37,2020414.0
2023-10-20,73.31,74.3,72.01,73.07,3365965.0
2023-10-23,72.01,75.76,72.01,74.81,2541467.0
2023-10-24,75.42,77.49,75.35,76.36,2749280.0
2023-10-25,75.23,75.595,71.81,72.28,2894156.0
2023-10-26,72.48,72.82,69.9,71.03,2245087.0
2023-10-27,72.0,73.135,70.5,70.65,2702694.0
2023-10-30,71.61,73.765,71.38,73.21,3700270.0
2023-10-31,73.8,75.545,72.65,74.95,3573068.0
2023-11-01,75.42,76.4,74.22,75.9,5842761.0
2023-11-02,85.09,90.34,84.39,87.79,12346067.0
2023-11-03,88.05,93.19,87.96,92.49,8017418.0
2023-11-06,92.49,92.49,86.951,89.04,4534745.0
2023-11-07,89.5,90.235,87.71,88.91,3424689.0
2023-11-08,88.18,88.92,86.3,87.31,5506274.0
2023-11-09,87.9,88.08,83.58,84.53,4333045.0
2023-11-10,85.32,88.25,85.06,87.47,3503486.0
2023-11-13,86.7,90.42,86.33,89.77,3339220.0
2023-11-14,91.54,94.1725,90.87,93.69,5048608.0
2023-11-15,94.55,95.89,93.56,95.16,4339962.0
2023-11-16,94.99,95.3,93.835,95.09,4541683.0
2023-11-17,95.54,95.6983,94.26,95.23,3433514.0
2023-11-20,94.5,96.01,93.65,95.75,7264196.0
2023-11-21,94.25,95.58,93.61,94.6,5573082.0
2023-11-22,95.0,95.61,93.8,95.35,4331830.0
2023-11-24,93.84,94.88,93.07,93.81,2745273.0
