date,open,high,low,close,volume
2018-01-02,120.64,122.67,120.01,121.42,1550213.0
2018-01-03,124.48,127.75,124.3,125.17,2451030.0
2018-01-04,125.92,126.65,123.94,126.14,2261723.0
2018-01-05,126.47,127.35,125.41,127.12,1618081.0
2018-01-08,126.56,128.28,126.1,128.21,1760509.0
2018-01-09,128.43,128.88,127.08,127.28,1283389.0
2018-01-10,128.13,128.13,126.38,127.18,1234133.0
2018-01-11,130.01,131.23,128.34,129.41,2483382.0
2018-01-12,130.34,132.79,128.87,132.33,2245457.0
2018-01-16,132.82,133.68,129.9,130.6,3182351.0
2018-01-17,131.82,131.82,129.25,130.64,1885220.0
2018-01-18,130.31,130.41,126.75,126.89,2824603.0
2018-01-19,127.43,128.16,124.6,126.27,2319076.0
2018-01-22,126.52,128.25,125.39,128.03,1509715.0
2018-01-23,128.19,129.07,127.56,128.93,1489885.0
2018-01-24,130.37,131.7,129.44,130.43,1701225.0
2018-01-25,131.76,132.23,130.45,131.11,1407463.0
2018-01-26,131.9,132.3,130.86,131.76,1538668.0
2018-01-29,131.6,131.75,129.38,130.4,1296683.0
2018-01-30,130.0,130.34,127.98,128.89,1437746.0
2018-01-31,129.17,129.62,127.07,128.01,1334174.0
2018-02-01,127.25,130.64,127.25,129.11,2196097.0
2018-02-02,128.35,128.84,125.97,126.64,1909019.0
2018-02-05,125.33,128.24,124.51,125.05,3227631.0
2018-02-06,123.37,128.22,123.15,127.28,3570871.0
2018-02-07,127.13,132.44,126.53,129.33,3157948.0
2018-02-08,129.13,130.93,122.31,123.03,4892256.0
2018-02-09,105.0,107.99,98.52,104.0,17183644.0
2018-02-12,104.17,105.73,100.38,102.82,4820580.0
2018-02-13,102.07,102.92,100.19,101.76,2958075.0
2018-02-14,100.69,101.1,99.08,100.1,4011129.0
2018-02-15,101.48,102.97,99.07,102.23,3931760.0
2018-02-16,102.0,104.27,101.44,103.85,2685789.0
2018-02-20,103.75,106.18,102.74,104.1,2951229.0
2018-02-21,104.53,105.31,102.9,102.99,2056508.0
2018-02-22,103.14,104.83,102.31,104.53,2137319.0
2018-02-23,105.13,106.84,104.27,106.38,2413446.0
2018-02-26,106.59,107.47,105.21,106.62,1796082.0
2018-02-27,106.04,106.94,103.69,103.71,2502156.0
2018-02-28,105.41,106.6,103.93,105.17,2175844.0
2018-03-01,104.99,105.6,102.73,103.96,2074500.0
2018-03-02,103.0,104.86,101.37,104.5,1882431.0
2018-03-05,104.39,108.57,103.8,107.66,2308736.0
2018-03-06,107.98,109.38,106.96,108.61,1583204.0
2018-03-07,107.94,112.36,107.44,111.35,3210228.0
2018-03-08,111.41,112.58,109.75,110.33,1822739.0
2018-03-09,110.98,112.63,110.07,112.22,1948406.0
2018-03-12,112.77,114.99,112.17,114.44,1774109.0
2018-03-13,114.42,114.61,109.16,109.53,3526829.0
2018-03-14,107.8,114.48,106.41,113.28,5394247.0
2018-03-15,111.92,112.79,110.16,112.45,3626455.0
2018-03-16,112.87,114.36,112.15,113.2,2793812.0
2018-03-19,112.63,113.02,110.26,111.09,1627953.0
2018-03-20,111.05,111.86,108.64,110.31,2610061.0
2018-03-21,110.58,111.85,109.0,109.24,1421512.0
2018-03-22,108.04,108.91,105.64,106.98,2330971.0
2018-03-23,107.13,107.49,105.62,106.11,1944587.0
2018-03-26,107.59,107.63,104.52,106.84,2477926.0
2018-03-27,107.27,107.61,104.82,105.59,2215540.0
2018-03-28,105.11,108.86,104.16,106.32,2366650.0
2018-03-29,106.71,110.99,106.53,110.41,2239595.0
2018-04-02,109.58,110.29,105.88,106.79,2555306.0
2018-04-03,106.91,107.44,105.85,106.97,1930912.0
2018-04-04,105.3,109.67,105.12,109.26,1778337.0
2018-04-05,110.05,111.19,109.82,110.11,1339398.0
2018-04-06,109.71,109.91,106.47,107.55,1671929.0
2018-04-09,107.95,109.7,107.12,107.25,1613114.0
2018-04-10,108.0,109.52,107.14,108.49,1749921.0
2018-04-11,107.65,108.61,107.11,107.5,1587392.0
2018-04-12,107.93,109.22,106.1,107.2,2395137.0
2018-04-13,107.33,108.13,106.51,107.2,963387.0
2018-04-16,108.15,109.5,106.44,109.16,1373520.0
2018-04-17,110.0,111.34,108.97,110.45,1411132.0
2018-04-18,110.72,111.0,109.04,110.28,1659129.0
2018-04-19,109.71,111.98,109.65,111.37,1688927.0
2018-04-20,110.96,111.29,108.86,109.77,1580679.0
2018-04-23,110.0,112.3,109.17,110.39,2203778.0
2018-04-24,111.36,112.88,109.91,110.78,2243600.0
2018-04-25,109.95,110.0,106.22,108.44,3377883.0
2018-04-26,108.64,109.42,105.87,106.35,6906763.0
2018-04-27,116.48,118.0,113.76,115.07,6929687.0
2018-04-30,115.82,116.62,113.4,115.14,2279107.0
2018-05-01,114.33,115.11,112.78,113.5,1927153.0
2018-05-02,113.51,115.42,112.93,114.43,1261760.0
2018-05-03,113.99,114.0,110.4,111.28,2120811.0
2018-05-04,110.85,111.16,109.34,110.12,2428962.0
2018-05-07,110.71,112.9,110.17,110.95,1613844.0
2018-05-08,110.67,111.25,109.78,110.54,1526006.0
2018-05-09,111.65,112.91,110.96,112.22,1523098.0
2018-05-10,112.48,115.73,112.18,113.93,2239874.0
2018-05-11,113.68,114.22,112.94,113.91,1436389.0
2018-05-14,114.15,114.92,113.54,114.64,1323378.0
2018-05-15,113.46,114.62,113.06,114.0,952828.0
2018-05-16,113.96,116.68,113.96,115.59,1297396.0
2018-05-17,115.03,116.66,114.74,115.67,888884.0
2018-05-18,115.54,115.81,114.73,115.07,1288654.0
2018-05-21,115.52,116.88,115.52,116.36,857962.0
2018-05-22,116.9,118.17,116.21,116.29,1649754.0
2018-05-23,115.17,115.93,114.49,115.23,734850.0
2018-05-24,115.22,117.02,115.01,116.99,937219.0
2018-05-25,116.66,118.0,116.03,117.83,1011411.0
2018-05-29,117.29,117.79,116.55,117.26,1609069.0
2018-05-30,117.79,118.27,116.5,118.01,1129734.0
2018-05-31,118.15,121.1,117.96,121.03,2111082.0
2018-06-01,121.1,122.42,119.97,120.02,1683616.0
2018-06-04,120.6,121.86,118.72,118.88,1717858.0
2018-06-05,118.94,120.97,118.94,120.18,3977437.0
2018-06-06,120.69,123.21,119.47,122.41,2719977.0
2018-06-07,122.41,123.19,119.21,120.34,2729550.0
2018-06-08,119.69,121.23,119.34,120.89,2214702.0
2018-06-11,120.6,124.59,120.6,123.62,1773604.0
2018-06-12,123.9,124.71,123.44,124.39,1230039.0
2018-06-13,124.44,124.44,121.69,122.34,928143.0
2018-06-14,122.67,123.9,122.26,123.58,1241636.0
2018-06-15,123.18,124.3,122.91,124.12,1412477.0
2018-06-18,123.78,125.6,123.62,125.26,1208530.0
2018-06-19,124.01,125.34,123.57,124.67,1262372.0
2018-06-20,124.69,125.42,124.13,124.9,927952.0
2018-06-21,125.63,126.39,123.28,123.63,1219685.0
2018-06-22,124.58,125.61,124.07,124.83,1497616.0
2018-06-25,124.07,124.69,121.86,122.89,1503161.0
2018-06-26,122.75,122.86,121.22,122.03,1028439.0
2018-06-27,122.63,123.22,120.31,120.34,910334.0
2018-06-28,120.17,121.24,118.81,120.5,1317579.0
2018-06-29,121.62,121.78,119.53,120.19,1201060.0
2018-07-02,119.62,121.95,119.53,121.8,1225433.0
