date,open,high,low,close,volume
2018-01-02,157.59,160.53,157.53,157.81,398513.0
2018-01-03,157.9,162.37,157.85,162.05,404298.0
2018-01-04,162.91,165.7,162.51,163.96,520202.0
2018-01-05,165.05,166.74,163.26,166.6,515327.0
2018-01-08,166.5,167.71,164.78,165.08,449196.0
2018-01-09,165.38,166.08,164.07,165.73,397461.0
2018-01-10,165.53,166.42,163.46,166.14,503197.0
2018-01-11,166.69,171.55,166.26,171.51,526284.0
2018-01-12,171.35,173.82,170.04,173.11,632940.0
2018-01-16,174.5,177.25,173.41,176.1,727850.0
2018-01-17,177.14,180.2,175.99,179.36,548140.0
2018-01-18,178.7,180.3,177.44,179.0,564878.0
2018-01-19,179.5,180.88,179.12,180.63,602985.0
2018-01-22,181.0,181.37,179.21,180.95,445007.0
2018-01-23,180.65,183.13,179.49,182.23,426966.0
2018-01-24,183.23,185.76,181.77,184.08,522624.0
2018-01-25,184.7,187.11,183.9,185.73,396281.0
2018-01-26,186.4,187.24,184.34,187.03,373578.0
2018-01-29,186.7,187.43,185.5,186.78,412273.0
2018-01-30,186.26,187.66,185.37,186.59,481356.0
2018-01-31,186.66,188.55,185.1,187.04,658989.0
2018-02-01,189.53,198.73,185.7,193.95,859182.0
2018-02-02,193.53,195.66,186.23,186.36,770643.0
2018-02-05,182.5,184.4,179.56,180.36,1240092.0
2018-02-06,177.3,180.44,173.4,180.05,1381592.0
2018-02-07,179.58,180.43,175.71,176.83,681545.0
2018-02-08,175.7,176.52,169.2,169.28,828731.0
2018-02-09,170.41,174.43,166.7,172.95,726185.0
2018-02-12,174.42,177.01,172.51,175.06,421891.0
2018-02-13,173.93,176.46,172.37,175.39,1204974.0
2018-02-14,174.35,179.87,173.63,178.26,1003997.0
2018-02-15,179.22,181.52,178.04,181.45,591230.0
2018-02-16,181.13,183.78,180.84,182.48,427628.0
2018-02-20,182.43,185.17,182.43,183.16,426922.0
2018-02-21,183.36,187.68,183.36,183.94,349715.0
2018-02-22,184.15,187.13,183.25,183.86,548651.0
2018-02-23,185.12,187.63,183.48,187.61,461498.0
2018-02-26,187.6,188.78,185.51,186.09,480143.0
2018-02-27,186.38,188.81,186.21,187.98,422164.0
2018-02-28,188.8,191.9,187.19,187.23,730724.0
2018-03-01,187.39,188.45,181.06,182.51,683933.0
2018-03-02,181.34,186.12,180.33,185.77,540134.0
2018-03-05,184.37,191.63,183.39,191.14,644032.0
2018-03-06,191.14,191.94,187.65,190.59,648281.0
2018-03-07,189.64,194.93,184.54,194.42,474247.0
2018-03-08,195.0,198.71,193.67,197.45,496935.0
2018-03-09,198.32,203.26,197.81,203.17,631144.0
2018-03-12,203.44,205.9,202.32,204.35,468303.0
2018-03-13,205.14,206.49,202.56,204.53,443236.0
2018-03-14,205.74,205.74,202.51,203.58,422149.0
2018-03-15,203.38,205.79,201.7,203.37,444996.0
2018-03-16,203.76,207.14,203.32,204.73,785330.0
2018-03-19,203.47,204.12,197.82,199.06,627377.0
2018-03-20,199.96,201.45,198.72,200.72,325439.0
2018-03-21,200.49,201.82,198.3,200.23,415354.0
2018-03-22,198.21,199.05,193.7,193.88,536969.0
2018-03-23,194.02,196.69,190.16,190.31,603310.0
2018-03-26,192.93,197.48,191.59,197.3,563334.0
2018-03-27,199.18,199.42,189.73,190.9,492269.0
2018-03-28,191.26,192.55,187.93,188.79,616646.0
2018-03-29,189.7,193.63,188.37,191.39,723035.0
2018-04-02,191.29,191.95,184.48,186.62,475079.0
2018-04-03,187.61,189.35,186.04,188.71,604764.0
2018-04-04,186.4,191.59,185.51,190.83,421228.0
2018-04-05,192.3,192.99,189.75,190.88,363566.0
2018-04-06,189.76,191.1,183.86,185.56,403597.0
2018-04-09,186.37,190.18,185.67,187.13,352744.0
2018-04-10,189.3,194.56,189.07,193.26,401321.0
2018-04-11,191.26,193.87,190.92,192.41,275412.0
2018-04-12,193.13,195.51,192.89,194.21,297204.0
2018-04-13,194.76,195.02,190.74,191.78,301021.0
2018-04-16,193.44,197.0,191.32,195.62,291686.0
2018-04-17,196.92,200.51,196.19,199.62,441765.0
2018-04-18,199.66,202.26,199.0,200.84,260050.0
2018-04-19,200.38,200.52,196.43,197.82,340064.0
2018-04-20,198.27,199.71,195.81,196.75,350758.0
2018-04-23,197.7,200.35,196.78,197.63,212169.0
2018-04-24,199.08,201.15,192.34,193.85,430588.0
