date,open,high,low,close,volume
2018-01-02,224.78,224.85,222.13,224.03,804731.0
2018-01-03,224.5,231.23,224.27,230.32,907199.0
2018-01-04,231.83,233.54,231.23,232.99,862475.0
2018-01-05,231.99,232.9,225.8,228.17,1471838.0
2018-01-08,227.55,228.9,225.67,227.06,1002025.0
2018-01-09,236.77,245.74,235.48,242.8,2713984.0
2018-01-10,242.8,244.0,238.24,242.59,982608.0
2018-01-11,243.85,244.2,239.32,240.04,810073.0
2018-01-12,240.95,245.96,240.63,244.72,975763.0
2018-01-16,247.33,248.97,241.07,241.42,1139941.0
2018-01-17,244.48,244.48,240.87,242.05,738313.0
2018-01-18,242.24,243.9,240.13,241.31,770495.0
2018-01-19,242.31,244.88,241.44,243.55,896733.0
2018-01-22,245.0,247.63,242.87,245.19,709832.0
2018-01-23,244.07,245.07,241.95,242.94,829954.0
2018-01-24,243.12,243.85,241.19,242.49,845966.0
2018-01-25,243.48,243.97,240.16,243.39,613310.0
2018-01-26,244.21,244.92,242.09,244.83,678381.0
2018-01-29,244.18,244.9,238.51,241.78,779540.0
2018-01-30,240.69,243.55,238.95,241.18,1063398.0
2018-01-31,247.45,248.1,229.16,232.64,1760472.0
2018-02-01,232.0,233.56,229.08,230.29,943949.0
2018-02-02,227.98,228.99,219.54,220.18,1538819.0
2018-02-05,221.45,223.54,212.95,213.0,1483993.0
2018-02-06,210.0,221.55,207.51,220.8,1759256.0
2018-02-07,218.85,223.64,216.77,221.2,1116021.0
2018-02-08,220.96,221.0,209.48,209.54,1299901.0
2018-02-09,211.35,219.58,210.08,217.19,1798295.0
2018-02-12,218.43,222.86,216.35,221.03,1000188.0
2018-02-13,219.36,221.1,217.8,220.44,663027.0
2018-02-14,217.47,223.85,216.34,223.11,817930.0
2018-02-15,224.6,229.55,223.73,229.13,804863.0
2018-02-16,228.85,230.95,227.03,229.2,701696.0
2018-02-20,228.35,229.95,225.46,226.57,567764.0
2018-02-21,226.57,233.25,226.46,227.91,549458.0
2018-02-22,229.49,230.88,225.92,226.74,450092.0
2018-02-23,228.5,233.92,226.62,233.84,536170.0
2018-02-26,234.54,235.43,231.03,233.43,639763.0
2018-02-27,232.87,234.08,229.73,229.73,673482.0
2018-02-28,231.25,233.25,227.95,228.02,732331.0
2018-03-01,227.41,229.49,222.93,224.54,747899.0
2018-03-02,222.29,229.85,221.49,229.19,866186.0
2018-03-05,227.17,232.47,226.05,230.88,543884.0
2018-03-06,231.34,236.74,230.79,235.76,600273.0
2018-03-07,233.54,242.19,231.62,241.2,818299.0
2018-03-08,241.5,243.72,240.3,243.52,757260.0
2018-03-09,244.59,250.67,244.15,250.12,801074.0
2018-03-12,251.33,254.89,250.07,253.17,640920.0
2018-03-13,254.94,256.05,251.11,253.54,606499.0
2018-03-14,254.65,255.92,250.46,251.79,846850.0
2018-03-15,252.26,255.57,251.24,251.61,739594.0
2018-03-16,252.92,256.64,252.24,253.91,1094335.0
2018-03-19,252.5,254.21,246.79,248.73,822702.0
2018-03-20,249.62,253.18,247.48,252.65,589555.0
2018-03-21,252.25,252.73,245.97,246.84,710140.0
2018-03-22,244.75,247.89,240.97,241.12,820362.0
2018-03-23,241.22,244.32,235.32,235.36,872958.0
2018-03-26,239.14,242.62,236.0,242.28,940424.0
2018-03-27,243.85,248.5,236.0,237.37,651349.0
2018-03-28,238.03,239.88,233.29,234.99,715008.0
2018-03-29,236.82,238.9,232.6,236.42,719888.0
2018-04-02,235.83,236.65,226.29,229.93,807672.0
2018-04-03,230.91,232.87,227.24,229.94,740177.0
2018-04-04,227.13,238.66,225.82,237.77,925450.0
2018-04-05,238.82,239.52,235.43,236.37,571594.0
2018-04-06,234.76,236.06,226.07,228.17,743333.0
2018-04-09,229.06,235.1,228.19,230.18,753052.0
2018-04-10,234.6,240.39,233.05,238.92,748596.0
2018-04-11,237.96,241.39,237.19,237.67,573934.0
2018-04-12,238.48,243.96,238.48,242.09,403620.0
2018-04-13,243.62,243.62,239.95,241.44,366183.0
2018-04-16,243.21,248.18,242.74,245.19,694318.0
2018-04-17,246.86,251.24,245.21,248.48,902379.0
2018-04-18,249.38,252.82,248.55,250.0,1157801.0
2018-04-19,249.45,249.77,244.01,245.84,894605.0
2018-04-20,246.64,247.22,243.42,244.6,1092933.0
2018-04-23,245.73,246.98,244.29,245.85,763144.0
2018-04-24,246.99,246.99,234.71,238.5,1151868.0
2018-04-25,251.99,251.99,226.62,231.19,2889042.0
2018-04-26,232.0,244.2,231.52,242.63,2530873.0
2018-04-27,241.63,244.69,240.44,244.45,837137.0
2018-04-30,245.57,245.89,240.93,240.93,694392.0
2018-05-01,240.03,243.66,240.0,242.99,536885.0
2018-05-02,242.6,245.98,239.72,240.5,638499.0
2018-05-03,238.45,240.78,235.74,239.93,623103.0
2018-05-04,237.79,244.9,236.72,244.82,598282.0
2018-05-07,251.29,259.27,250.05,256.89,1161441.0
2018-05-08,255.49,258.0,254.84,256.1,829761.0
2018-05-09,256.51,264.2,254.15,262.52,874396.0
2018-05-10,263.83,266.25,261.77,264.98,839620.0
2018-05-11,265.46,267.32,264.27,266.99,611782.0
2018-05-14,266.99,272.9,266.33,269.44,641721.0
2018-05-15,267.53,267.92,262.32,263.75,749147.0
2018-05-16,263.75,269.6,263.75,268.84,564185.0
2018-05-17,268.96,271.56,267.41,268.45,462840.0
2018-05-18,268.75,271.78,267.44,269.67,525153.0
2018-05-21,271.0,271.91,266.96,268.29,512279.0
2018-05-22,270.0,273.0,268.31,270.8,699096.0
2018-05-23,268.16,272.73,267.58,271.73,601863.0
2018-05-24,273.23,273.94,269.8,270.83,588630.0
2018-05-25,269.71,271.35,264.5,266.22,679138.0
2018-05-29,264.24,266.72,261.61,266.32,818194.0
2018-05-30,267.82,275.34,267.82,272.39,733447.0
2018-05-31,271.84,275.32,269.69,272.44,678994.0
2018-06-01,274.61,276.61,271.75,276.33,504089.0
2018-06-04,277.0,281.74,276.68,280.26,592076.0
2018-06-05,280.35,281.51,277.48,279.1,487984.0
2018-06-06,280.38,285.49,277.88,285.25,677801.0
2018-06-07,285.3,286.13,278.66,280.71,665418.0
2018-06-08,280.36,282.21,278.58,282.03,617086.0
2018-06-11,281.6,287.74,281.2,284.13,635193.0
2018-06-12,284.0,292.45,283.23,292.07,705740.0
2018-06-13,292.0,293.15,286.22,287.24,647745.0
2018-06-14,289.27,291.38,287.34,290.16,640085.0
2018-06-15,290.12,291.55,286.29,288.75,1377166.0
2018-06-18,286.65,289.51,284.29,288.85,665327.0
2018-06-19,286.21,286.74,283.58,285.74,794604.0
2018-06-20,287.0,288.88,285.25,287.65,651101.0
2018-06-21,288.45,289.44,284.32,286.05,442086.0
2018-06-22,286.9,286.9,282.3,282.65,2279898.0
2018-06-25,282.35,286.2,271.68,274.46,1370206.0
2018-06-26,275.55,276.51,273.09,275.51,1335185.0
2018-06-27,276.49,278.46,270.45,270.58,670739.0
2018-06-28,270.25,277.77,268.92,275.54,787644.0
2018-06-29,276.86,281.19,276.8,279.29,654064.0
2018-07-02,278.9,279.12,274.66,279.04,497084.0
2018-07-03,280.65,282.75,279.52,280.77,439623.0
2018-07-05,280.52,282.88,277.0,280.49,504775.0
2018-07-06,281.38,286.95,280.04,286.13,662964.0
2018-07-09,287.49,289.12,285.21,288.76,642628.0
2018-07-10,290.86,293.22,287.83,291.44,1121058.0
2018-07-11,288.52,297.25,288.52,294.56,784310.0
2018-07-12,295.57,304.98,295.17,304.69,1294159.0
2018-07-13,303.38,308.52,302.51,306.99,970602.0
2018-07-16,314.96,314.96,301.16,301.99,694989.0
2018-07-17,300.1,307.37,299.51,305.49,675973.0
2018-07-18,305.51,308.08,303.11,307.28,630126.0
2018-07-19,306.32,311.09,305.9,309.1,543378.0
2018-07-20,309.69,312.55,308.65,311.15,844928.0
2018-07-23,311.15,313.65,310.28,311.04,699031.0
2018-07-24,313.22,314.77,305.31,308.64,1078363.0
2018-07-25,308.0,316.61,307.87,315.83,594190.0
2018-07-26,317.16,317.16,309.41,311.59,984463.0
2018-07-27,312.72,314.0,298.2,301.15,1257405.0
2018-07-30,297.97,300.0,287.85,289.24,1879800.0
2018-07-31,313.11,325.22,304.16,324.36,3590212.0
2018-08-01,324.14,332.24,320.34,323.23,1468360.0
2018-08-02,320.7,332.92,318.79,332.5,1221675.0
2018-08-03,331.91,335.19,328.67,332.49,1526534.0
2018-08-06,332.79,337.58,330.34,332.36,809039.0
2018-08-07,337.91,341.08,336.05,337.16,989414.0
2018-08-08,336.53,339.05,335.94,338.1,796338.0
2018-08-09,338.58,338.65,332.37,333.5,860982.0
2018-08-10,331.63,333.53,329.44,330.25,913744.0
2018-08-13,330.0,332.24,326.8,327.3,953932.0
