date,open,high,low,close,volume
2018-01-02,185.15,189.52,183.87,189.28,2037307.0
2018-01-03,190.68,193.82,189.62,192.5,2583342.0
2018-01-04,195.0,196.85,193.15,193.38,2227207.0
2018-01-05,194.9,197.18,194.45,196.4,1712974.0
2018-01-08,196.33,199.49,196.25,197.88,2762693.0
2018-01-09,198.22,199.75,193.37,197.57,2954987.0
2018-01-10,194.34,195.23,190.29,191.66,3510771.0
2018-01-11,192.06,192.82,188.41,189.12,2816395.0
2018-01-12,189.12,191.38,188.3,188.51,2788086.0
2018-01-16,192.18,195.82,188.4,190.39,4251112.0
2018-01-17,194.53,205.66,193.75,205.08,6497101.0
2018-01-18,203.0,206.35,199.76,205.45,4198801.0
2018-01-19,205.85,207.55,203.1,207.53,2614988.0
2018-01-22,208.4,209.84,207.2,209.19,2823113.0
2018-01-23,211.03,215.14,210.0,215.07,4339722.0
2018-01-24,214.19,214.19,206.56,209.73,5464897.0
2018-01-25,216.0,218.48,199.0,199.25,8278831.0
2018-01-26,201.95,206.42,200.28,202.57,4761552.0
2018-01-29,201.24,202.28,193.28,195.97,4005981.0
2018-01-30,192.1,195.29,189.25,191.08,3794567.0
2018-01-31,192.91,193.83,190.25,191.52,2838376.0
2018-02-01,190.0,194.13,188.2,189.11,3053541.0
2018-02-02,186.71,186.82,178.37,179.06,5527560.0
2018-02-05,175.5,182.9,170.32,170.35,5895274.0
2018-02-06,168.5,179.0,167.32,178.34,5890327.0
2018-02-07,175.83,179.43,171.6,171.63,3403275.0
2018-02-08,172.66,173.07,162.21,162.23,4934369.0
2018-02-09,165.82,167.29,156.83,165.87,5937091.0
2018-02-12,168.41,174.48,167.27,172.95,4150722.0
2018-02-13,171.57,172.73,168.12,172.56,2841567.0
2018-02-14,171.4,183.09,171.0,183.01,5836961.0
2018-02-15,182.97,185.78,179.12,185.71,4179184.0
2018-02-16,184.76,191.21,184.65,187.91,4335579.0
2018-02-20,186.93,196.05,186.41,193.44,3296465.0
2018-02-21,194.55,195.0,189.2,189.23,3271257.0
2018-02-22,190.16,190.44,186.93,188.36,1752907.0
2018-02-23,190.24,193.67,188.61,193.1,2227288.0
2018-02-26,194.57,198.97,193.15,198.43,2363054.0
2018-02-27,198.15,199.79,193.37,193.47,2822258.0
2018-02-28,194.44,196.67,191.33,191.86,3608320.0
2018-03-01,192.49,195.64,188.12,190.07,3003635.0
2018-03-02,185.05,194.89,182.16,194.53,2775807.0
2018-03-05,192.83,200.02,191.24,198.7,3292353.0
2018-03-06,200.14,209.5,199.51,207.94,7636315.0
2018-03-07,205.83,212.36,204.14,211.74,5625612.0
2018-03-08,214.0,214.94,210.95,212.74,3780373.0
2018-03-09,214.28,226.08,213.94,224.95,6656799.0
2018-03-12,225.5,230.0,223.0,228.65,4928822.0
2018-03-13,230.04,234.88,222.43,223.97,4946176.0
2018-03-14,223.0,226.13,221.06,222.64,3291909.0
2018-03-15,224.0,227.0,222.55,223.08,2446239.0
2018-03-16,224.18,225.0,221.29,221.92,2495774.0
2018-03-19,218.36,219.04,212.05,217.58,4098138.0
2018-03-20,218.49,221.19,217.95,219.13,2223840.0
2018-03-21,221.87,227.82,221.01,224.28,3567495.0
2018-03-22,220.5,222.93,214.65,214.82,3249459.0
2018-03-23,214.05,216.39,202.56,202.63,5223498.0
2018-03-26,210.65,215.02,207.27,214.96,3458795.0
2018-03-27,219.23,219.46,200.66,202.62,4292277.0
2018-03-28,199.63,201.75,194.26,196.21,3523856.0
2018-03-29,198.1,207.5,196.98,203.16,3578188.0
2018-04-02,201.49,202.89,191.35,193.87,3521588.0
2018-04-03,197.92,199.57,193.94,197.97,2682369.0
2018-04-04,190.5,202.66,190.5,201.67,3699715.0
2018-04-05,202.68,203.41,192.21,195.02,3533893.0
2018-04-06,190.91,196.27,189.09,190.65,3123943.0
2018-04-09,192.83,199.72,192.11,193.12,2656688.0
2018-04-10,198.91,202.06,196.13,200.17,2714450.0
2018-04-11,198.25,203.46,197.71,200.86,2449768.0
2018-04-12,203.82,206.94,202.25,206.02,3084262.0
2018-04-13,208.55,208.58,202.77,203.74,2161394.0
2018-04-16,205.25,205.91,201.6,203.55,1941122.0
2018-04-17,207.22,212.85,206.26,212.33,6084517.0
2018-04-18,200.24,204.56,196.5,203.77,9114892.0
2018-04-19,198.58,201.14,188.79,190.39,8773377.0
2018-04-20,190.71,195.06,189.99,191.91,4980703.0
2018-04-23,193.5,196.4,190.44,191.86,3488922.0
2018-04-24,193.87,195.44,182.61,185.82,5034654.0
2018-04-25,185.99,189.58,181.67,186.67,3124797.0
2018-04-26,190.89,192.99,188.82,190.4,3611284.0
2018-04-27,192.28,192.69,185.6,187.26,3044768.0
2018-04-30,187.35,188.89,183.96,185.06,2990200.0
2018-05-01,184.14,190.58,183.74,190.39,2833691.0
2018-05-02,190.29,191.95,188.29,189.52,2194770.0
2018-05-03,187.75,190.53,185.61,189.43,2181518.0
2018-05-04,188.0,196.88,187.63,195.47,3282664.0
2018-05-07,196.11,196.95,192.72,193.48,3304704.0
2018-05-08,192.6,195.75,192.06,194.86,2148112.0
2018-05-09,195.6,200.02,195.15,199.72,2390888.0
2018-05-10,201.23,204.39,200.67,204.01,1890326.0
2018-05-11,202.42,204.76,200.89,201.55,1945467.0
2018-05-14,205.1,209.92,203.2,204.03,3343739.0
2018-05-15,203.41,204.3,199.77,202.19,1921417.0
2018-05-16,203.41,208.19,202.66,206.91,2254547.0
2018-05-17,205.66,206.37,201.73,203.33,2607654.0
2018-05-18,195.25,197.88,192.18,195.49,5250053.0
2018-05-21,199.34,200.94,196.5,199.87,2534625.0
2018-05-22,202.25,205.32,202.0,202.98,2778833.0
2018-05-23,199.98,203.97,199.8,203.31,1969899.0
2018-05-24,203.55,204.95,200.79,204.37,2123976.0
2018-05-25,202.98,203.89,201.18,202.03,2263656.0
2018-05-29,200.28,202.91,198.26,200.28,2049477.0
2018-05-30,202.13,204.74,200.7,201.83,2812140.0
2018-05-31,200.66,202.1,197.85,198.18,3078345.0
2018-06-01,200.0,203.78,198.69,202.68,3437129.0
2018-06-04,202.47,205.95,200.59,204.59,2805866.0
2018-06-05,204.66,205.47,201.43,201.84,2507890.0
2018-06-06,202.48,202.52,196.88,199.61,3925376.0
2018-06-07,192.26,192.78,184.81,188.83,12775159.0
2018-06-08,186.13,188.29,185.4,188.03,5272645.0
2018-06-11,187.65,187.83,183.19,183.71,5443367.0
2018-06-12,184.9,187.02,183.35,186.93,3661519.0
2018-06-13,184.21,188.5,184.03,184.59,4489454.0
2018-06-14,185.17,186.55,180.97,181.17,4386642.0
2018-06-15,179.26,180.9,178.0,178.41,4355259.0
2018-06-18,176.63,176.7,174.0,174.2,4518718.0
2018-06-19,170.9,174.83,170.51,173.35,3736232.0
2018-06-20,175.48,176.29,173.19,174.54,2775870.0
2018-06-21,178.17,179.25,175.39,176.05,3282743.0
