date,open,high,low,close,volume
2018-01-02,77.31,80.27,77.31,79.69,2474756.0
2018-01-03,79.82,80.24,78.25,78.59,1745406.0
2018-01-04,78.61,80.01,78.3,79.85,1669563.0
2018-01-05,80.0,80.46,79.18,79.43,1593080.0
2018-01-08,81.5,81.92,77.44,79.04,3043333.0
2018-01-09,79.0,79.76,78.74,79.51,1482084.0
2018-01-10,79.18,79.44,78.58,78.86,1141523.0
2018-01-11,79.29,79.33,78.39,78.99,913010.0
2018-01-12,79.67,79.67,78.53,78.84,1223492.0
2018-01-16,78.95,78.98,76.45,76.7,1525851.0
2018-01-17,77.08,78.39,76.81,77.92,1254617.0
2018-01-18,78.07,78.76,77.32,77.57,1130934.0
2018-01-19,77.73,79.7,77.67,79.34,1369844.0
2018-01-22,79.41,79.64,78.6,78.96,1211661.0
2018-01-23,78.88,79.92,78.53,79.7,822529.0
2018-01-24,79.89,79.96,78.22,79.2,853674.0
2018-01-25,79.08,79.39,78.04,78.62,935176.0
2018-01-26,78.62,79.4,78.23,79.08,773174.0
2018-01-29,78.81,80.64,78.64,79.96,1079203.0
2018-01-30,79.65,79.78,78.54,79.48,643142.0
2018-01-31,79.47,80.05,77.98,78.21,1058380.0
2018-02-01,77.23,79.25,77.01,78.81,1492402.0
2018-02-02,78.79,79.78,78.17,78.62,1593823.0
2018-02-05,77.99,79.88,77.4,77.41,2085717.0
2018-02-06,75.66,78.88,74.9,78.62,4084512.0
2018-02-07,78.77,82.36,78.65,80.99,3060503.0
2018-02-08,81.75,83.31,76.63,76.67,2618557.0
2018-02-09,77.51,79.0,75.43,77.15,2674196.0
2018-02-12,77.61,78.44,76.79,76.8,2512079.0
2018-02-13,76.86,77.72,76.73,77.27,3424234.0
2018-02-14,76.63,81.83,76.6,81.22,3190296.0
2018-02-15,81.26,81.54,78.43,80.92,2867832.0
2018-02-16,80.85,82.64,80.5,81.4,1545514.0
2018-02-20,80.87,81.4,80.17,80.58,1365319.0
2018-02-21,80.58,82.57,80.44,81.16,1297326.0
2018-02-22,81.25,82.21,80.71,80.83,1689669.0
2018-02-23,81.3,82.0,79.9,81.86,1285641.0
2018-02-26,82.43,83.0,81.22,82.33,827456.0
2018-02-27,82.65,83.59,80.39,80.46,1409731.0
2018-02-28,81.01,82.44,80.95,81.1,1945571.0
2018-03-01,81.01,81.94,79.81,81.04,1376924.0
2018-03-02,79.78,82.29,79.36,82.07,887545.0
2018-03-05,81.64,82.24,80.76,81.13,1218417.0
2018-03-06,81.18,83.98,80.87,83.69,2864745.0
2018-03-07,82.91,83.49,80.64,81.32,1724652.0
2018-03-08,81.75,81.99,80.29,80.75,1040185.0
2018-03-09,81.18,82.01,80.09,81.0,1589703.0
2018-03-12,81.17,81.64,79.61,80.33,1528242.0
2018-03-13,80.97,81.55,79.78,79.8,1632882.0
2018-03-14,79.95,80.95,78.66,80.75,2110510.0
2018-03-15,80.73,81.63,79.4,79.61,985266.0
2018-03-16,79.47,81.46,79.47,80.76,1233412.0
2018-03-19,81.03,81.03,79.78,80.28,1144099.0
2018-03-20,80.25,81.59,80.02,81.48,1137169.0
2018-03-21,81.48,81.87,80.31,80.7,1685998.0
2018-03-22,80.0,81.29,80.0,81.1,1706439.0
2018-03-23,81.1,82.21,79.26,79.51,2183242.0
2018-03-26,80.19,80.52,78.32,80.34,2603743.0
2018-03-27,80.53,80.71,77.97,78.71,4006527.0
2018-03-28,84.25,87.98,83.06,85.96,10706756.0
2018-03-29,86.79,89.54,86.32,89.12,4849367.0
2018-04-02,89.01,90.25,86.65,87.27,3080972.0
2018-04-03,87.44,88.99,87.41,88.67,1973982.0
2018-04-04,87.99,88.76,87.36,88.24,2757613.0
2018-04-05,88.85,91.44,88.24,91.27,3138469.0
2018-04-06,91.08,91.35,88.69,89.61,3203293.0
2018-04-09,90.0,90.85,89.35,89.64,1625889.0
2018-04-10,90.38,91.19,90.07,91.01,939740.0
2018-04-11,90.66,91.84,90.51,91.08,1606228.0
2018-04-12,91.26,92.13,90.88,92.02,1267261.0
2018-04-13,92.33,92.89,91.19,91.71,2017723.0
2018-04-16,92.0,93.81,91.75,93.76,1981624.0
2018-04-17,94.62,94.85,94.03,94.6,2228340.0
2018-04-18,94.41,95.66,94.41,95.0,2375771.0
2018-04-19,95.0,95.58,94.28,95.29,1531966.0
2018-04-20,95.31,96.37,95.13,96.31,2018946.0
2018-04-23,94.26,96.96,94.2,96.64,2778693.0
2018-04-24,97.48,97.98,96.47,96.9,2171057.0
2018-04-25,97.64,97.97,96.64,97.85,1463390.0
2018-04-26,97.98,98.81,97.85,98.42,1668702.0
2018-04-27,98.54,99.39,98.31,99.17,2035406.0
2018-04-30,99.58,100.57,99.35,99.8,1497098.0
2018-05-01,99.45,99.93,98.76,99.7,1299801.0
2018-05-02,99.89,100.73,99.4,99.74,1244457.0
2018-05-03,99.07,100.45,99.0,99.86,1443112.0
2018-05-04,99.49,99.65,95.39,95.49,3797555.0
2018-05-07,95.76,97.51,95.76,97.17,2420912.0
2018-05-08,96.83,98.28,96.79,98.2,1007098.0
2018-05-09,98.19,99.06,97.44,98.96,919285.0
2018-05-10,99.31,99.46,97.28,97.91,1167637.0
2018-05-11,97.77,98.7,97.55,98.54,910635.0
2018-05-14,98.94,98.97,98.04,98.72,1508143.0
2018-05-15,98.21,99.91,97.78,98.95,1135922.0
2018-05-16,99.4,101.94,99.0,101.65,1430148.0
2018-05-17,101.72,103.04,101.37,102.0,1106746.0
2018-05-18,101.5,103.12,101.5,102.82,1684771.0
2018-05-21,103.49,105.26,103.16,103.74,1864781.0
2018-05-22,103.75,104.13,102.75,102.88,1806920.0
2018-05-23,102.55,106.54,102.02,105.27,2691229.0
2018-05-24,105.06,106.68,104.86,106.41,1763697.0
2018-05-25,107.04,107.49,105.76,106.18,1536550.0
2018-05-29,106.25,107.68,105.51,105.68,2100714.0
2018-05-30,105.94,106.98,104.6,105.63,3369685.0
2018-05-31,106.15,106.46,103.8,105.05,4994813.0
2018-06-01,113.95,123.84,113.2,122.19,14155520.0
2018-06-04,122.62,125.1,121.53,124.98,3986191.0
2018-06-05,124.7,125.77,123.92,124.05,2776335.0
2018-06-06,124.17,126.85,123.88,124.19,2471331.0
2018-06-07,124.7,126.47,122.22,122.7,2647639.0
2018-06-08,121.47,122.95,120.59,122.02,3347530.0
2018-06-11,122.72,122.75,120.55,122.37,2779756.0
2018-06-12,122.52,125.23,122.15,124.96,1958957.0
2018-06-13,125.38,127.34,124.68,125.13,3320763.0
2018-06-14,125.09,126.42,124.64,125.88,2075804.0
2018-06-15,124.21,128.91,123.55,128.37,2195275.0
2018-06-18,127.59,129.79,126.9,129.69,1805452.0
2018-06-19,128.3,129.32,126.83,128.1,2022274.0
2018-06-20,128.49,128.51,127.07,128.27,1237683.0
2018-06-21,128.54,129.58,126.73,127.71,1304259.0
2018-06-22,128.6,128.6,124.17,124.18,2792042.0
2018-06-25,124.26,126.43,122.47,124.86,1916088.0
2018-06-26,127.0,127.6,125.28,126.79,1620028.0
2018-06-27,126.5,127.59,123.05,123.88,1618984.0
2018-06-28,123.79,125.26,122.78,124.94,1816183.0
2018-06-29,126.24,127.49,124.85,124.85,1142970.0
