date,open,high,low,close,volume
2018-01-02,88.58,90.54,88.26,90.41,1633100.0
2018-01-03,90.51,92.18,90.38,91.77,2530000.0
2018-01-04,92.23,92.85,91.44,91.99,1646300.0
2018-01-05,92.58,92.88,91.57,92.26,1481000.0
2018-01-08,91.94,92.87,91.34,92.62,1084300.0
2018-01-09,92.73,93.03,91.68,92.51,2223300.0
2018-01-10,91.95,92.26,90.08,90.95,1992200.0
2018-01-11,91.18,92.34,90.72,92.11,1077600.0
2018-01-12,92.33,93.65,91.79,93.44,1271300.0
2018-01-16,94.03,94.37,92.68,93.33,1758500.0
2018-01-17,94.38,96.38,93.92,96.02,2853300.0
2018-01-18,96.02,97.6,95.87,97.29,2416600.0
2018-01-19,97.85,98.14,96.94,97.45,3764900.0
2018-01-22,97.61,98.71,97.23,98.69,1747800.0
2018-01-23,98.69,99.17,98.07,98.52,1631000.0
2018-01-24,96.86,97.8,94.89,95.36,3283400.0
2018-01-25,96.31,96.35,92.25,92.48,2724400.0
2018-01-26,93.92,97.07,93.48,96.91,3252200.0
2018-01-29,96.14,97.29,95.38,96.88,1958700.0
2018-01-30,96.35,96.51,94.89,94.99,2045600.0
2018-01-31,95.79,96.21,94.52,95.22,1944000.0
2018-02-01,94.91,95.89,94.11,94.54,1932500.0
2018-02-02,94.0,94.94,93.24,93.31,1945300.0
2018-02-05,93.1,94.05,89.47,89.5,3524100.0
2018-02-06,88.14,91.92,87.9,91.92,5478100.0
2018-02-07,87.55,89.0,82.81,82.91,13625200.0
2018-02-08,83.0,83.21,79.24,79.9,8116200.0
2018-02-09,80.77,81.98,78.33,81.04,5716800.0
2018-02-12,81.51,83.51,81.51,83.02,5019900.0
2018-02-13,82.11,82.71,80.13,80.81,4296500.0
2018-02-14,80.04,82.38,80.0,82.21,3687100.0
2018-02-15,83.11,83.28,81.0,82.49,3580500.0
2018-02-16,82.23,83.82,82.23,83.41,3553600.0
2018-02-20,82.64,86.52,82.64,84.86,4026500.0
2018-02-21,85.23,85.84,83.6,84.15,3235800.0
2018-02-22,84.18,85.63,83.25,83.92,2198200.0
2018-02-23,84.81,85.22,83.67,85.16,2063800.0
2018-02-26,85.45,86.46,85.25,86.38,2214600.0
2018-02-27,87.76,92.27,87.61,88.55,6108500.0
2018-02-28,89.42,90.51,88.7,88.93,4115500.0
2018-03-01,89.02,90.0,87.56,89.02,3838400.0
2018-03-02,92.39,93.75,89.0,91.29,8528600.0
2018-03-05,91.73,94.91,91.09,94.47,3937400.0
2018-03-06,94.99,96.76,93.74,96.57,4781500.0
2018-03-07,95.08,96.08,94.22,95.57,3004100.0
2018-03-08,97.0,97.16,94.56,95.34,3893900.0
2018-03-09,96.91,99.13,96.45,98.97,4274400.0
2018-03-12,99.53,100.5,99.3,100.24,2922900.0
2018-03-13,100.99,101.48,97.48,98.03,3670400.0
2018-03-14,98.53,98.7,96.76,97.25,2345600.0
2018-03-15,97.44,97.82,96.86,97.53,1698400.0
2018-03-16,97.6,98.8,97.24,98.18,2667300.0
2018-03-19,97.24,97.47,94.89,96.97,2648700.0
2018-03-20,97.33,98.91,97.01,98.54,2257300.0
2018-03-21,98.06,100.27,98.05,99.21,2514700.0
2018-03-22,97.65,98.83,96.5,96.55,2195700.0
2018-03-23,96.7,96.93,94.01,94.01,3595400.0
2018-03-26,95.99,98.08,94.61,97.99,1707800.0
2018-03-27,98.67,99.09,93.73,94.4,2799800.0
2018-03-28,94.07,94.39,90.93,91.16,3675500.0
2018-03-29,91.93,92.61,90.45,91.36,4269400.0
2018-04-02,90.99,91.5,87.23,87.63,4366100.0
2018-04-03,88.39,89.2,87.35,89.03,2398600.0
2018-04-04,87.16,90.41,86.91,90.18,2115500.0
2018-04-05,90.62,90.92,88.44,89.62,1991900.0
2018-04-06,88.39,89.71,85.88,86.27,2461700.0
2018-04-09,87.13,89.03,86.12,86.2,3704500.0
2018-04-10,88.07,89.24,86.96,88.73,2291200.0
2018-04-11,87.62,90.0,87.47,88.5,2110600.0
2018-04-12,89.16,89.91,88.54,89.06,3052000.0
2018-04-13,89.57,89.68,87.0,87.33,2451700.0
2018-04-16,88.2,88.2,85.96,86.23,3794300.0
2018-04-17,86.84,89.63,86.75,89.07,2975200.0
2018-04-18,88.67,89.25,87.5,88.0,2246700.0
2018-04-19,86.3,86.72,84.47,85.14,3195500.0
2018-04-20,86.5,87.6,84.45,85.68,3591200.0
2018-04-23,85.83,86.61,84.33,84.4,3314700.0
2018-04-24,85.34,85.51,81.28,82.44,4340900.0
2018-04-25,82.66,84.09,81.56,82.98,2705700.0
2018-04-26,83.9,85.36,83.32,84.9,2475400.0
2018-04-27,85.58,86.05,83.53,84.66,1557100.0
2018-04-30,84.75,85.33,83.42,83.66,1791400.0
2018-05-01,83.19,85.11,83.0,85.02,1688200.0
2018-05-02,85.16,85.64,84.03,84.78,2323800.0
2018-05-03,83.98,86.31,82.64,86.11,3160600.0
2018-05-04,85.47,87.76,85.47,87.51,2188800.0
2018-05-07,88.51,89.71,87.65,88.74,3666400.0
2018-05-08,89.9,90.96,86.52,90.65,4488800.0
2018-05-09,91.0,91.92,89.1,91.86,2736400.0
2018-05-10,91.64,93.25,91.64,93.16,1769900.0
2018-05-11,93.5,94.22,92.51,92.95,1440800.0
2018-05-14,94.1,94.7,93.19,93.46,1659000.0
2018-05-15,94.69,94.73,92.35,93.36,2991700.0
2018-05-16,93.09,93.97,93.06,93.51,1470600.0
2018-05-17,93.21,94.0,92.64,93.37,1634300.0
2018-05-18,92.5,93.56,91.93,92.8,1434900.0
2018-05-21,93.92,94.63,92.98,93.81,1305000.0
2018-05-22,93.55,95.0,93.41,94.33,1703500.0
2018-05-23,93.24,94.14,92.73,94.08,1562900.0
2018-05-24,93.98,94.97,93.45,94.85,1366300.0
2018-05-25,94.81,95.94,94.79,95.81,1378000.0
2018-05-29,94.86,95.98,94.35,95.23,1896100.0
2018-05-30,96.64,99.09,95.29,97.51,3156300.0
2018-05-31,97.23,98.74,97.02,97.38,2592300.0
2018-06-01,98.36,101.09,97.66,101.05,2949700.0
2018-06-04,101.05,101.73,100.39,101.41,4291500.0
2018-06-05,102.75,102.8,101.41,102.14,1990700.0
2018-06-06,102.28,103.37,101.69,103.31,2203700.0
2018-06-07,103.02,103.42,101.27,102.22,2458400.0
2018-06-08,101.37,104.2,100.79,102.15,1536100.0
2018-06-11,102.05,102.93,101.72,102.4,1251400.0
2018-06-12,102.52,103.02,101.83,102.69,3115400.0
2018-06-13,102.89,103.09,101.76,102.08,2663200.0
2018-06-14,102.64,103.27,102.08,102.57,1586300.0
2018-06-15,102.53,102.53,100.83,101.98,2555100.0
2018-06-18,101.24,101.88,100.5,101.64,1643900.0
2018-06-19,100.15,101.41,99.54,100.4,1813000.0
2018-06-20,101.23,101.58,100.35,101.23,1353200.0
2018-06-21,101.69,101.69,98.63,98.7,1466600.0
2018-06-22,98.98,99.4,96.37,96.92,2845600.0
2018-06-25,96.01,96.3,92.72,93.24,3194600.0
2018-06-26,93.76,94.26,92.7,93.14,1768200.0
2018-06-27,93.32,94.32,90.18,90.3,2809800.0
2018-06-28,89.93,91.26,89.93,90.44,2581700.0
2018-06-29,90.73,91.96,90.41,90.95,3176000.0
2018-07-02,90.22,91.53,89.2,91.47,1632200.0
2018-07-03,91.82,91.82,89.93,90.1,1060000.0
2018-07-05,91.23,92.34,90.83,92.13,1720800.0
2018-07-06,91.69,93.87,91.39,93.41,1672000.0
2018-07-09,93.75,94.01,92.36,93.38,1463200.0
2018-07-10,93.76,94.76,93.24,94.6,1557500.0
2018-07-11,93.4,94.21,91.59,92.01,2245400.0
2018-07-12,92.77,94.37,92.24,94.28,2196100.0
2018-07-13,94.34,94.53,93.64,94.03,1484000.0
2018-07-16,94.0,94.83,93.85,94.11,1080500.0
2018-07-17,93.26,95.13,93.13,95.05,1492900.0
2018-07-18,94.72,95.96,94.72,95.76,1110200.0
2018-07-19,95.64,95.87,94.17,94.8,1136100.0
2018-07-20,94.82,95.07,93.74,94.37,1381100.0
2018-07-23,93.89,94.6,92.74,94.2,1109500.0
2018-07-24,94.87,95.62,93.0,93.26,1449900.0
2018-07-25,92.93,93.78,90.84,92.93,2818800.0
2018-07-26,93.62,94.73,92.95,94.67,2168900.0
2018-07-27,95.59,96.91,94.87,95.31,2362000.0
2018-07-30,95.36,95.6,92.81,93.21,2006400.0
2018-07-31,93.89,94.98,93.31,93.43,1759400.0
2018-08-01,93.4,94.39,93.08,93.59,1361900.0
2018-08-02,92.7,94.95,92.58,94.61,1238400.0
2018-08-03,94.58,95.16,94.0,95.09,1691200.0
2018-08-06,94.71,96.13,94.47,95.6,4056400.0
2018-08-07,96.06,97.48,95.51,97.26,2764800.0
2018-08-08,97.39,97.91,96.82,97.76,1850400.0
2018-08-09,96.95,98.26,96.58,98.08,3125700.0
2018-08-10,88.4,89.87,84.77,87.41,19239500.0
2018-08-13,87.68,88.6,86.86,87.03,5410600.0
2018-08-14,87.02,87.8,83.5,84.08,7235600.0
2018-08-15,83.9,84.8,81.35,82.34,4884700.0
2018-08-16,83.11,84.25,81.57,81.79,3834400.0
2018-08-17,81.5,83.22,79.76,83.01,4563800.0
2018-08-20,82.87,83.2,81.42,82.5,4489400.0
2018-08-21,83.12,86.01,83.12,85.02,5062800.0
2018-08-22,84.23,85.46,83.4,85.42,2730600.0
2018-08-23,85.51,87.13,85.29,85.67,2941100.0
2018-08-24,86.42,87.1,85.84,86.98,2489800.0
2018-08-27,87.51,88.84,87.26,88.37,2762700.0
2018-08-28,89.0,89.0,87.1,87.5,2871300.0
2018-08-29,86.95,87.47,86.13,86.82,2779000.0
2018-08-30,86.42,87.48,85.23,85.55,2890700.0
2018-08-31,85.67,86.2,85.04,86.03,2248400.0
2018-09-04,85.16,86.16,84.87,86.09,2157000.0
2018-09-05,85.84,86.09,84.87,85.14,2332600.0
2018-09-06,84.75,85.0,82.61,83.9,4225300.0
2018-09-07,83.6,85.03,82.67,83.05,3504300.0
2018-09-10,83.67,84.07,82.7,84.02,1833000.0
2018-09-11,83.55,83.93,82.33,83.23,3681900.0
2018-09-12,82.06,83.66,81.03,83.47,5397100.0
2018-09-13,84.25,85.41,83.25,83.77,3593700.0
2018-09-14,84.29,85.22,83.45,83.6,3113200.0
2018-09-17,82.45,82.8,80.86,80.88,3746300.0
2018-09-18,81.03,81.96,80.38,80.39,2802700.0
2018-09-19,80.78,81.59,80.47,81.37,2316000.0
2018-09-20,82.3,83.95,81.72,83.38,2726700.0
2018-09-21,83.62,83.71,82.37,82.75,4101300.0
2018-09-24,81.87,82.6,81.32,82.3,1745400.0
2018-09-25,80.72,81.09,78.58,78.77,5068700.0
2018-09-26,78.64,79.74,78.63,78.79,3671900.0
2018-09-27,78.76,79.34,78.35,78.61,2509000.0
2018-09-28,78.42,79.12,77.87,78.91,4881300.0
2018-10-01,79.3,79.7,77.14,77.16,5160400.0
2018-10-02,77.8,78.69,77.36,77.65,4176500.0
2018-10-03,77.47,77.65,75.03,75.12,5193500.0
2018-10-04,75.06,75.29,70.63,71.43,9514600.0
2018-10-05,71.45,71.83,68.6,69.28,6119000.0
2018-10-08,68.62,69.59,66.82,67.7,4845100.0
2018-10-09,67.3,67.87,66.26,67.38,6901800.0
2018-10-10,66.38,66.65,65.13,66.44,9724900.0
2018-10-11,67.33,69.37,66.52,67.7,7741500.0
2018-10-12,69.83,70.22,67.28,68.26,5408500.0
2018-10-15,67.74,68.71,67.11,68.22,4233600.0
2018-10-16,69.02,69.58,68.31,69.15,3127400.0
2018-10-17,69.56,69.78,68.4,69.05,3295100.0
2018-10-18,68.65,68.7,67.15,67.55,4272300.0
2018-10-19,67.46,68.7,66.84,67.03,3224800.0
2018-10-22,67.73,68.0,66.51,66.83,2942800.0
2018-10-23,65.43,67.6,64.7,67.22,5205000.0
2018-10-24,65.88,66.49,61.27,61.3,6850600.0
2018-10-25,62.21,64.26,62.11,62.51,8503600.0
2018-10-26,60.87,63.45,60.7,62.37,8242900.0
2018-10-29,63.68,64.59,61.23,62.29,3741200.0
2018-10-30,62.43,64.95,62.01,64.85,3277000.0
2018-10-31,66.0,66.26,65.08,65.78,4967900.0
2018-11-01,66.25,70.97,65.67,70.37,5573300.0
2018-11-02,71.0,71.0,68.51,69.74,3506200.0
2018-11-05,69.48,69.82,67.8,69.33,2993000.0
2018-11-06,68.87,70.38,68.77,70.03,2144500.0
2018-11-07,70.61,70.98,69.06,70.3,3336700.0
2018-11-08,71.0,76.0,70.3,74.45,7236600.0
2018-11-09,73.43,73.86,71.28,72.13,4358400.0
2018-11-12,71.3,71.58,69.53,69.66,2827900.0
2018-11-13,70.22,72.8,70.18,70.86,3782300.0
2018-11-14,71.96,72.49,71.1,72.02,3589400.0
2018-11-15,71.64,75.37,71.51,75.35,4993500.0
2018-11-16,74.55,76.2,74.26,75.61,4741000.0
2018-11-19,75.54,75.84,73.41,73.88,2785300.0
2018-11-20,72.93,74.0,71.45,73.0,2976900.0
2018-11-21,74.22,74.55,72.92,73.0,2663700.0
2018-11-23,72.06,74.94,72.03,74.33,1560300.0
2018-11-26,75.48,75.81,74.69,75.74,2367000.0
2018-11-27,74.82,75.36,73.16,73.71,2768900.0
2018-11-28,74.51,75.93,72.93,75.89,5249400.0
2018-11-29,75.1,76.36,74.38,74.42,2739900.0
2018-11-30,74.8,75.12,73.78,75.0,2859300.0
2018-12-03,78.1,80.61,76.9,77.76,5014300.0
2018-12-04,76.86,77.12,74.39,74.48,3055000.0
2018-12-06,72.31,73.88,71.59,73.4,3233200.0
2018-12-07,72.79,73.41,69.95,70.26,2668000.0
2018-12-10,70.02,71.98,69.55,71.9,3287300.0
2018-12-11,73.24,74.46,71.87,72.2,2580700.0
2018-12-12,73.91,74.51,72.5,73.58,2228800.0
2018-12-13,73.8,74.7,72.05,72.43,2113400.0
2018-12-14,71.16,72.96,71.15,71.64,2842000.0
2018-12-17,71.65,73.52,70.76,71.21,2462100.0
2018-12-18,71.93,74.09,71.69,72.14,3361300.0
2018-12-19,71.83,72.14,68.19,68.61,3614700.0
2018-12-20,68.53,70.0,67.42,68.71,3350900.0
2018-12-21,68.8,70.2,67.65,67.99,5276500.0
2018-12-24,67.57,68.31,65.67,65.73,1551100.0
2018-12-26,66.45,70.45,66.0,70.38,3033000.0
2018-12-27,68.96,71.54,68.69,71.49,2309600.0
2018-12-28,71.53,72.81,70.41,71.64,1903900.0
2018-12-31,72.24,72.55,70.92,71.92,1574100.0
2019-01-02,70.27,72.29,70.0,71.35,2652500.0
2019-01-03,70.05,70.21,66.16,66.32,4786100.0
2019-01-04,67.37,69.36,67.08,69.01,3739700.0
2019-01-07,69.09,71.8,68.71,71.03,2890500.0
2019-01-08,71.81,73.0,70.87,72.96,4596800.0
2019-01-09,74.25,76.62,74.15,75.85,4419000.0
2019-01-10,75.44,76.87,75.24,76.62,2883800.0
2019-01-11,76.38,78.72,75.94,77.13,4549400.0
2019-01-14,76.47,76.64,74.19,74.24,3250300.0
2019-01-15,74.74,75.71,74.42,75.01,2370300.0
2019-01-16,75.24,76.16,74.92,75.08,2223900.0
2019-01-17,74.53,76.55,73.25,76.15,2178700.0
2019-01-18,76.78,78.03,75.74,77.64,2443300.0
2019-01-22,76.9,77.1,74.39,75.18,2337000.0
2019-01-23,76.96,76.96,73.74,74.36,2461300.0
2019-01-24,75.42,79.58,74.95,78.44,5049000.0
2019-01-25,79.01,81.4,78.53,80.63,2926800.0
2019-01-28,78.2,80.6,78.02,80.25,2645500.0
2019-01-29,81.02,81.73,79.29,79.49,2042900.0
2019-01-30,80.04,81.64,78.21,80.49,2771800.0
2019-01-31,80.35,81.34,79.81,80.37,2233900.0
2019-02-01,80.54,81.91,79.91,81.87,3447500.0
2019-02-04,81.74,82.93,80.77,82.58,2979800.0
2019-02-05,82.27,83.76,82.27,83.24,3418900.0
2019-02-06,88.5,91.75,88.01,89.31,10139100.0
2019-02-07,87.64,89.17,86.54,88.07,4714400.0
2019-02-08,86.73,87.75,86.03,87.41,2836600.0
2019-02-11,87.75,89.42,87.0,88.96,3008900.0
2019-02-12,90.19,91.8,90.17,91.51,4152400.0
2019-02-13,91.33,91.82,90.6,91.19,3280200.0
2019-02-14,90.65,91.75,89.9,90.6,4180300.0
2019-02-15,91.35,91.56,90.08,91.1,2285100.0
2019-02-19,90.62,91.36,90.06,90.69,1591000.0
2019-02-20,90.27,91.48,89.5,89.65,3153500.0
