date,open,high,low,close,volume
2018-01-02,21.03,21.88,21.0,21.81,7027432.0
2018-01-03,22.0,22.86,21.81,22.78,7889811.0
2018-01-04,23.17,23.2,22.6,22.78,5719730.0
2018-01-05,22.85,22.95,22.62,22.83,4773694.0
2018-01-08,22.85,23.06,22.58,22.97,3271438.0
2018-01-09,22.88,23.03,22.48,22.92,5407256.0
2018-01-10,22.64,22.81,22.37,22.64,6137320.0
2018-01-11,22.8,23.23,22.64,23.08,6446558.0
2018-01-12,23.13,23.66,23.06,23.57,5906385.0
2018-01-16,23.82,24.07,23.32,23.5,6673803.0
2018-01-17,23.62,24.05,23.58,23.92,6988654.0
2018-01-18,24.06,24.98,23.9,24.74,12371052.0
2018-01-19,24.92,25.17,24.49,25.04,6543511.0
2018-01-22,25.17,25.41,24.96,25.37,6865979.0
2018-01-23,25.5,25.6,25.1,25.15,7291995.0
2018-01-24,24.66,25.16,24.0,24.59,14479016.0
2018-01-25,24.91,25.09,23.77,23.82,11520524.0
2018-01-26,24.41,25.14,24.16,25.14,10204065.0
2018-01-29,25.01,25.52,24.9,25.42,6563237.0
2018-01-30,25.08,25.25,24.67,24.74,7248619.0
2018-01-31,25.04,25.15,24.56,24.74,6185372.0
2018-02-01,24.72,24.98,24.21,24.32,7450047.0
2018-02-02,24.31,24.46,23.65,23.69,13296413.0
2018-02-05,23.49,24.05,22.33,22.64,12579854.0
2018-02-06,22.42,23.3,22.11,22.68,14763363.0
2018-02-07,22.47,22.62,22.03,22.06,12055660.0
2018-02-08,22.27,22.48,20.8,20.81,9966768.0
2018-02-09,21.24,21.35,20.21,21.15,13112366.0
2018-02-12,21.41,21.48,20.95,21.34,7660937.0
2018-02-13,21.29,21.78,21.2,21.76,7843683.0
2018-02-14,21.73,22.37,21.64,22.34,7454596.0
2018-02-15,22.67,22.81,22.07,22.8,6622765.0
2018-02-16,22.88,23.04,22.4,22.54,4446741.0
2018-02-20,22.71,23.84,22.68,23.56,7358915.0
2018-02-21,23.72,23.77,23.22,23.23,6146963.0
2018-02-22,23.62,23.62,23.01,23.14,4563931.0
2018-02-23,23.36,23.74,23.29,23.74,4417141.0
2018-02-26,23.77,24.37,23.71,24.37,7090499.0
2018-02-27,24.35,24.95,24.31,24.33,9704611.0
2018-02-28,24.51,24.55,23.87,23.92,7267833.0
2018-03-01,24.03,24.22,23.36,23.86,8275949.0
2018-03-02,23.59,24.45,23.43,24.43,5281794.0
2018-03-05,24.22,24.55,24.12,24.46,5872781.0
2018-03-06,24.65,25.73,24.5,25.47,13350814.0
2018-03-07,25.06,25.82,25.04,25.76,9042493.0
2018-03-08,25.9,26.1,25.67,26.06,6675320.0
2018-03-09,26.16,26.77,26.16,26.59,8616731.0
2018-03-12,26.67,26.86,26.3,26.8,4681447.0
2018-03-13,27.08,27.1,25.8,26.02,6030599.0
2018-03-14,26.35,26.4,25.58,25.74,5858971.0
2018-03-15,26.0,26.05,25.48,25.76,3611520.0
2018-03-16,25.71,26.05,25.58,25.87,5560857.0
2018-03-19,25.57,25.79,24.92,25.51,7717316.0
2018-03-20,25.56,26.06,25.55,25.95,5566589.0
2018-03-21,26.01,26.79,26.0,26.5,11340791.0
2018-03-22,26.03,26.29,25.46,25.9,7598298.0
2018-03-23,25.82,26.0,25.04,25.04,9466248.0
2018-03-26,25.7,26.19,25.36,26.12,6623161.0
2018-03-27,26.26,26.59,24.78,24.96,7900607.0
2018-03-28,24.84,24.95,23.79,23.81,9042849.0
2018-03-29,24.0,24.73,23.72,24.46,5503665.0
2018-04-02,24.33,24.5,23.13,23.37,5583923.0
2018-04-03,23.64,23.93,23.25,23.53,6450882.0
2018-04-04,22.75,24.39,22.75,24.33,5708557.0
