date,open,high,low,close,volume
2018-01-02,241.34,252.03,241.29,249.26,1423480.0
2018-01-03,249.9,255.71,248.82,253.84,1358724.0
2018-01-04,255.56,261.22,254.22,257.68,892177.0
2018-01-05,259.49,262.33,257.51,260.28,641546.0
2018-01-08,260.95,266.26,259.21,260.0,641363.0
2018-01-09,260.18,262.38,258.01,261.26,531236.0
2018-01-10,260.19,261.13,258.06,258.45,703169.0
2018-01-11,258.54,260.28,256.96,259.75,813856.0
2018-01-12,261.15,261.15,256.13,258.6,1247619.0
2018-01-16,259.86,260.51,256.35,257.89,844324.0
2018-01-17,259.61,265.82,257.5,265.04,1067838.0
2018-01-18,264.92,267.13,263.36,266.33,659208.0
2018-01-19,268.04,273.17,266.79,273.02,785697.0
2018-01-22,273.0,274.68,268.77,272.3,689608.0
2018-01-23,271.49,272.46,268.82,271.21,599983.0
2018-01-24,272.49,277.13,269.18,275.93,742903.0
2018-01-25,277.57,279.23,272.38,272.88,851224.0
2018-01-26,275.14,276.01,272.75,275.47,703218.0
2018-01-29,275.14,276.24,272.96,273.94,648527.0
2018-01-30,272.87,276.05,267.78,268.27,917561.0
2018-01-31,269.13,271.56,263.7,264.69,1513927.0
2018-02-01,263.01,266.47,260.67,262.38,952776.0
2018-02-02,260.72,263.08,251.84,252.64,1470105.0
2018-02-05,251.73,258.47,246.46,246.49,1409164.0
2018-02-06,245.15,255.72,241.68,254.9,1404779.0
2018-02-07,254.03,258.4,250.51,252.08,1735146.0
2018-02-08,256.0,262.36,248.44,252.22,2593310.0
2018-02-09,254.82,256.36,239.82,249.83,1837037.0
2018-02-12,250.6,252.89,244.66,248.25,944453.0
2018-02-13,247.09,248.87,243.08,245.31,753123.0
2018-02-14,244.06,249.52,242.38,247.55,1095351.0
2018-02-15,248.62,252.29,247.6,252.29,843479.0
2018-02-16,251.99,253.54,249.43,251.1,726765.0
2018-02-20,250.05,254.89,247.73,252.38,781021.0
2018-02-21,255.05,258.76,247.53,247.69,977521.0
2018-02-22,248.47,251.87,246.65,247.36,589434.0
2018-02-23,249.08,254.22,249.08,254.13,608274.0
2018-02-26,254.4,255.03,251.5,254.97,754717.0
2018-02-27,253.4,253.67,238.41,238.58,1972101.0
2018-02-28,240.88,250.31,239.01,244.19,1175747.0
2018-03-01,243.63,248.16,240.54,243.26,938926.0
2018-03-02,242.33,244.13,237.7,241.01,934884.0
2018-03-05,240.0,246.91,240.0,246.85,744538.0
2018-03-06,246.78,252.78,245.64,251.74,661269.0
2018-03-07,249.32,250.5,242.43,242.78,880431.0
2018-03-08,244.42,244.86,241.67,242.34,670232.0
2018-03-09,244.44,250.83,243.25,250.51,641775.0
2018-03-12,250.52,251.01,246.01,249.12,708264.0
2018-03-13,250.13,253.44,248.15,250.82,646553.0
2018-03-14,251.4,253.15,248.19,249.14,503486.0
2018-03-15,249.55,252.32,248.5,248.84,465858.0
2018-03-16,250.08,253.34,248.3,251.16,942339.0
2018-03-19,250.16,254.11,246.43,248.7,754837.0
2018-03-20,249.63,250.57,246.88,247.61,466440.0
2018-03-21,247.43,251.9,246.9,247.05,629603.0
2018-03-22,244.9,247.47,240.97,241.16,971619.0
2018-03-23,241.37,245.99,239.38,239.44,863844.0
2018-03-26,242.94,245.97,241.1,245.4,887240.0
2018-03-27,246.66,247.69,238.26,238.97,894077.0
2018-03-28,239.4,245.49,239.26,242.72,673748.0
2018-03-29,243.86,249.96,243.86,247.38,714299.0
2018-04-02,245.48,247.36,232.34,236.08,1203801.0
2018-04-03,236.63,240.83,234.23,237.77,757099.0
2018-04-04,234.25,242.92,234.06,242.03,800112.0
2018-04-05,243.93,245.0,239.28,243.87,634147.0
2018-04-06,242.64,243.4,234.36,237.19,661852.0
2018-04-09,237.08,239.35,231.85,232.28,857815.0
2018-04-10,235.24,237.85,232.42,236.69,691784.0
2018-04-11,234.68,236.33,232.3,232.79,796608.0
2018-04-12,232.21,234.12,229.79,229.85,754421.0
2018-04-13,231.15,232.22,222.72,224.87,1374745.0
2018-04-16,227.26,229.36,223.76,226.77,733789.0
