date,open,high,low,close,volume
2018-01-02,64.38,65.33,64.17,65.2,6329553.0
2018-01-03,65.22,66.06,64.69,65.94,6844206.0
2018-01-04,66.18,66.53,65.91,66.03,5060121.0
2018-01-05,66.04,66.6,65.5,66.47,5421795.0
2018-01-08,66.25,66.53,65.94,66.27,4266861.0
2018-01-09,65.64,65.86,64.94,65.27,7632310.0
2018-01-10,65.48,65.74,64.88,65.26,6569307.0
2018-01-11,65.2,65.5,65.14,65.43,4233066.0
2018-01-12,65.61,65.9,65.08,65.38,5007161.0
2018-01-16,66.23,68.65,66.03,68.25,24478762.0
2018-01-17,68.52,68.9,67.24,68.02,12559107.0
2018-01-18,67.75,68.18,67.49,68.05,6797858.0
2018-01-19,68.04,68.25,67.75,68.04,8864282.0
2018-01-22,67.81,68.75,67.7,68.67,8566244.0
2018-01-23,68.6,68.89,68.24,68.34,7825572.0
2018-01-24,68.2,68.28,67.38,67.98,12383058.0
2018-01-25,68.14,68.37,67.29,67.42,9122225.0
2018-01-26,67.94,68.53,67.6,68.53,7918957.0
2018-01-29,68.16,68.3,67.24,67.32,9745261.0
2018-01-30,67.43,67.91,66.73,66.99,8059489.0
2018-01-31,67.55,68.38,67.46,68.25,13915637.0
2018-02-01,67.0,68.35,66.32,66.8,16838486.0
2018-02-02,66.18,67.04,65.86,66.07,10971652.0
2018-02-05,66.3,66.55,60.5,61.73,35995985.0
2018-02-06,62.31,64.53,62.2,64.4,24458674.0
2018-02-07,64.22,66.12,64.02,65.04,15021211.0
2018-02-08,64.63,65.07,62.4,62.42,13451577.0
2018-02-09,62.95,64.32,61.46,63.99,23094960.0
2018-02-12,64.89,65.7,64.39,65.66,13692129.0
2018-02-13,65.23,65.76,64.98,65.7,7695947.0
2018-02-14,65.15,66.8,65.1,66.59,10370934.0
2018-02-15,66.38,66.38,63.86,65.28,15548429.0
2018-02-16,64.77,65.83,64.59,64.85,11760282.0
2018-02-20,63.01,64.14,61.86,63.99,27494591.0
2018-02-21,63.12,63.86,62.65,63.4,14895594.0
2018-02-22,63.15,63.58,62.03,62.18,11722256.0
2018-02-23,62.81,63.32,62.03,63.32,6762248.0
2018-02-26,64.55,67.36,64.19,66.98,27374315.0
2018-02-27,67.0,67.63,66.01,66.34,14325999.0
2018-02-28,66.7,66.72,64.91,65.0,9582055.0
2018-03-01,65.03,66.24,64.33,64.96,10799216.0
2018-03-02,64.31,64.85,64.03,64.74,10612696.0
2018-03-05,64.34,65.6,63.54,64.01,15445533.0
2018-03-06,63.5,63.55,61.06,62.14,23450350.0
2018-03-07,61.49,62.61,61.43,62.49,12602357.0
2018-03-08,62.65,62.74,61.57,61.82,8902097.0
2018-03-09,62.36,63.06,62.12,63.03,7655312.0
2018-03-12,63.05,63.48,62.3,62.81,15801317.0
2018-03-13,59.77,61.4,59.13,59.7,38572747.0
2018-03-14,59.9,60.38,57.9,60.12,29759066.0
2018-03-15,60.03,60.28,59.56,59.89,10494322.0
2018-03-16,60.6,61.49,60.48,60.62,25574509.0
2018-03-19,60.19,60.35,57.9,58.37,14131356.0
2018-03-20,58.99,59.09,57.95,58.26,10615366.0
2018-03-21,57.5,58.28,56.77,56.81,12231943.0
2018-03-22,56.24,56.83,55.52,55.58,13554586.0
2018-03-23,55.63,56.15,53.65,53.66,14713281.0
2018-03-26,54.58,56.14,54.25,56.13,12093907.0
