date,open,high,low,close,volume
2018-01-02,85.9,86.13,85.08,86.03,984618.0
2018-01-03,85.94,87.25,85.74,87.06,877232.0
2018-01-04,87.25,88.7,87.05,87.89,1059902.0
2018-01-05,88.28,89.4,87.9,88.93,905248.0
2018-01-08,88.74,89.92,88.56,89.76,1010097.0
2018-01-09,89.91,90.47,89.36,89.69,777447.0
2018-01-10,89.28,89.6,88.84,89.34,687179.0
2018-01-11,89.41,90.41,89.06,89.71,696168.0
2018-01-12,89.89,90.6,89.55,90.37,616174.0
2018-01-16,90.4,91.29,89.03,89.27,940453.0
2018-01-17,89.94,91.29,89.82,90.98,658324.0
2018-01-18,90.75,92.02,90.75,91.47,958785.0
2018-01-19,91.88,92.69,91.36,92.61,1027421.0
2018-01-22,92.47,93.49,92.04,92.96,743126.0
2018-01-23,93.02,93.46,92.5,93.38,572895.0
2018-01-24,93.83,94.14,92.72,92.84,711647.0
2018-01-25,93.16,93.69,91.71,91.91,663043.0
2018-01-26,92.43,93.08,92.16,92.96,758183.0
2018-01-29,92.42,92.99,91.2,91.28,779658.0
2018-01-30,91.23,91.92,90.99,91.32,826435.0
2018-01-31,91.51,92.91,91.28,92.61,1099437.0
2018-02-01,91.89,92.94,90.89,91.38,1115001.0
2018-02-02,90.83,91.57,90.14,90.16,1017540.0
2018-02-05,89.92,91.37,87.62,87.62,1487986.0
2018-02-06,86.6,87.92,83.83,87.45,1815740.0
2018-02-07,86.89,87.68,85.82,85.85,1431449.0
2018-02-08,85.85,86.25,82.56,82.62,1827437.0
2018-02-09,83.32,85.16,82.1,84.34,1718714.0
2018-02-12,84.66,85.79,84.38,85.33,908824.0
2018-02-13,84.76,85.77,84.47,85.5,752498.0
2018-02-14,84.77,86.68,84.56,86.62,1292551.0
2018-02-15,86.96,89.13,86.39,88.93,1414132.0
2018-02-16,88.86,89.76,88.77,89.07,1184474.0
2018-02-20,88.84,89.99,88.59,89.76,1191600.0
2018-02-21,89.9,90.39,88.42,88.46,1474782.0
2018-02-22,91.15,92.88,84.35,84.38,3378529.0
2018-02-23,85.2,85.58,84.22,85.24,1577512.0
2018-02-26,85.79,86.22,84.89,85.47,977558.0
2018-02-27,85.9,86.37,84.87,84.94,1048650.0
2018-02-28,85.27,86.14,84.67,84.67,1253640.0
2018-03-01,84.67,85.19,83.62,84.53,1778879.0
2018-03-02,83.52,85.95,83.09,85.77,1148811.0
2018-03-05,85.44,86.39,83.76,86.06,873775.0
2018-03-06,86.21,86.8,86.03,86.26,880915.0
2018-03-07,86.0,86.82,85.78,86.74,779357.0
2018-03-08,87.0,88.75,86.79,88.64,1587838.0
2018-03-09,89.0,89.86,88.14,89.73,952260.0
2018-03-12,89.9,89.98,89.06,89.09,797512.0
2018-03-13,89.58,90.1,88.17,88.48,737745.0
2018-03-14,88.92,89.09,87.29,87.82,620177.0
2018-03-15,88.04,88.59,87.42,87.83,581178.0
2018-03-16,88.11,88.44,87.49,88.13,1275204.0
2018-03-19,87.72,87.91,85.76,86.61,913846.0
2018-03-20,86.71,87.25,86.52,86.71,621328.0
2018-03-21,86.6,87.51,86.16,86.59,647453.0
2018-03-22,85.72,86.39,84.74,84.8,821275.0
2018-03-23,84.74,85.0,82.34,82.36,783248.0
2018-03-26,83.43,84.32,82.66,84.22,888725.0
2018-03-27,84.69,85.41,82.5,82.89,1023607.0
2018-03-28,82.81,84.01,82.15,82.3,1187288.0
2018-03-29,82.7,84.49,82.46,83.24,1202161.0
2018-04-02,83.01,83.4,80.13,80.77,1126442.0
2018-04-03,81.04,81.86,80.51,81.64,864238.0
2018-04-04,80.67,82.94,80.26,82.74,1080286.0
2018-04-05,83.4,83.78,82.81,82.96,729708.0
2018-04-06,82.55,83.03,80.91,81.39,1206955.0
2018-04-09,81.76,83.41,81.63,81.75,954404.0
2018-04-10,82.53,83.26,81.96,82.63,1026762.0
2018-04-11,82.22,83.9,82.15,83.16,975392.0
2018-04-12,83.28,84.93,82.58,84.48,692987.0
2018-04-13,84.84,84.94,83.55,83.82,734888.0
2018-04-16,84.06,84.56,83.37,84.48,889107.0
2018-04-17,85.0,86.27,84.42,86.2,928536.0
2018-04-18,86.0,86.05,85.34,85.69,812862.0
2018-04-19,85.42,85.75,83.82,84.14,900967.0
2018-04-20,84.0,84.17,82.64,83.01,1421183.0
2018-04-23,83.32,83.88,82.56,82.6,987875.0
2018-04-24,83.48,85.12,83.02,84.04,1789096.0
2018-04-25,83.94,85.27,82.38,83.74,1373301.0
2018-04-26,84.08,85.62,83.67,85.41,1117037.0
2018-04-27,85.47,85.78,84.69,85.19,858130.0
2018-04-30,85.5,85.9,85.24,85.51,1127225.0
2018-05-01,85.4,86.15,85.17,86.07,643224.0
2018-05-02,85.84,86.49,85.4,86.01,988849.0
2018-05-03,85.87,86.53,85.14,86.49,1160253.0
2018-05-04,86.13,88.03,85.55,87.72,503403.0
2018-05-07,88.1,89.31,88.02,89.0,982533.0
2018-05-08,88.89,89.62,88.39,89.05,1307609.0
2018-05-09,89.26,90.97,88.96,90.83,843234.0
2018-05-10,91.03,91.39,90.71,91.19,1020026.0
2018-05-11,91.05,91.64,90.66,91.02,1050797.0
2018-05-14,91.15,91.4,89.78,89.89,805472.0
2018-05-15,89.18,89.44,88.45,88.66,977440.0
2018-05-16,88.71,89.17,88.17,88.95,851100.0
2018-05-17,88.76,89.35,88.31,88.9,813680.0
2018-05-18,88.89,89.5,88.67,89.25,2569892.0
2018-05-21,89.58,89.96,89.04,89.43,697062.0
2018-05-22,89.62,90.16,89.14,89.27,713252.0
2018-05-23,88.75,90.34,88.21,90.33,1259587.0
2018-05-24,88.1,90.33,86.51,88.56,2177257.0
2018-05-25,88.81,88.81,87.69,88.32,901608.0
2018-05-29,87.98,88.24,87.26,87.78,844380.0
2018-05-30,88.11,88.49,87.49,87.5,656979.0
2018-05-31,88.07,88.86,87.61,88.07,1375006.0
2018-06-01,88.49,89.54,88.0,89.46,805796.0
2018-06-04,89.38,89.95,88.77,89.68,556610.0
2018-06-05,90.0,90.43,89.67,90.3,802504.0
2018-06-06,90.97,91.53,90.65,91.43,973201.0
