date,open,high,low,close,volume
2018-01-02,63.9,64.52,63.54,64.04,2192384.0
2018-01-03,63.89,64.13,63.25,63.61,2610751.0
2018-01-04,63.89,64.0,62.88,63.0,2384413.0
2018-01-05,63.54,64.81,63.12,64.6,3293122.0
2018-01-08,64.46,65.98,64.31,65.1,3606314.0
2018-01-09,66.0,66.52,65.52,65.6,5334365.0
2018-01-10,65.18,65.19,63.61,63.89,3597007.0
2018-01-11,63.94,64.19,63.23,63.84,3149145.0
2018-01-12,64.16,64.26,63.51,63.68,3165322.0
2018-01-16,64.14,64.14,62.56,62.97,4669925.0
2018-01-17,63.4,64.45,62.93,63.76,2925563.0
2018-01-18,63.84,64.08,62.44,62.88,4088661.0
2018-01-19,62.75,63.83,62.75,63.71,4768292.0
2018-01-22,63.75,63.99,63.48,63.94,2390297.0
2018-01-23,64.02,64.8,63.66,64.53,2872359.0
2018-01-24,64.59,65.34,64.55,65.0,2894297.0
2018-01-25,65.4,65.45,64.33,64.39,2798467.0
2018-01-26,64.6,65.4,64.4,65.28,2028425.0
2018-01-29,64.75,64.97,64.35,64.6,2553712.0
2018-01-30,64.8,64.97,64.39,64.76,2018283.0
2018-01-31,64.54,65.32,64.27,65.1,2164862.0
2018-02-01,64.7,65.11,63.55,63.79,4258481.0
2018-02-02,63.84,64.32,63.32,63.59,2647186.0
2018-02-05,63.46,63.81,61.53,61.54,3489598.0
2018-02-06,60.03,61.98,60.0,60.85,5740555.0
2018-02-07,60.96,62.91,60.96,62.06,7319272.0
2018-02-08,61.0,62.5,58.86,58.88,8031434.0
2018-02-09,60.1,60.45,57.65,59.2,5150920.0
2018-02-12,59.66,60.06,58.07,58.12,4816884.0
2018-02-13,57.68,58.28,57.22,57.69,5378580.0
2018-02-14,57.35,58.8,57.06,58.62,6498644.0
2018-02-15,59.32,60.61,58.19,60.44,6213412.0
2018-02-16,60.63,60.87,59.79,60.06,4812370.0
2018-02-20,60.0,60.83,59.66,60.51,3058992.0
2018-02-21,61.09,61.09,59.39,59.42,2974477.0
2018-02-22,59.75,59.98,58.59,58.73,3066521.0
2018-02-23,59.39,60.08,58.64,60.06,4079694.0
2018-02-26,60.0,61.15,58.74,61.11,4472087.0
2018-02-27,61.04,61.17,59.93,59.94,4245377.0
2018-02-28,60.52,61.39,59.96,60.61,4176169.0
2018-03-01,60.78,62.4,60.48,61.9,5373176.0
2018-03-02,61.58,62.67,61.28,62.47,5207885.0
