date,open,high,low,close,volume
2018-01-02,45.69,46.71,45.45,46.41,690155.0
2018-01-03,46.41,48.66,45.9,47.91,821804.0
2018-01-04,48.43,48.59,47.15,47.65,564732.0
2018-01-05,48.1,48.89,47.5,48.35,584130.0
2018-01-08,48.5,48.78,47.19,47.87,573199.0
2018-01-09,48.01,48.75,47.29,47.42,443454.0
2018-01-10,47.67,48.46,46.73,47.9,573595.0
2018-01-11,48.19,49.82,47.39,48.96,877607.0
2018-01-12,48.99,49.99,48.12,49.13,848838.0
2018-01-16,49.65,50.0,48.18,48.33,906052.0
2018-01-17,48.77,49.66,48.45,49.48,517165.0
2018-01-18,49.5,50.25,48.25,48.36,864936.0
2018-01-19,49.18,49.87,46.9,47.36,1490470.0
2018-01-22,47.57,48.89,46.92,48.65,714513.0
2018-01-23,48.77,49.79,48.02,49.4,576519.0
2018-01-24,49.75,50.47,48.17,48.8,876960.0
2018-01-25,49.16,49.79,48.71,49.48,475849.0
2018-01-26,49.83,51.95,49.55,51.24,897033.0
2018-01-29,51.44,51.49,49.5,50.55,613856.0
2018-01-30,49.59,50.0,48.47,48.69,717350.0
2018-01-31,49.11,49.37,47.62,48.48,775239.0
2018-02-01,47.86,48.19,43.43,45.83,2368000.0
2018-02-02,45.97,47.37,45.22,46.76,1699344.0
2018-02-05,45.84,46.96,45.0,45.1,830944.0
2018-02-06,44.04,45.93,43.55,45.47,1159554.0
2018-02-07,45.2,45.61,44.17,44.2,1157767.0
2018-02-08,44.51,44.99,43.03,43.34,584437.0
2018-02-09,43.64,44.17,40.7,42.8,970349.0
2018-02-12,43.85,44.33,42.09,43.88,776245.0
2018-02-13,43.76,45.36,43.62,45.22,714422.0
2018-02-14,44.98,47.91,44.36,47.21,1144488.0
2018-02-15,47.39,48.44,46.92,48.31,551828.0
2018-02-16,48.18,49.11,47.71,48.41,495011.0
2018-02-20,48.0,50.39,48.0,50.2,963481.0
2018-02-21,50.26,51.74,49.64,49.81,997066.0
2018-02-22,49.97,50.94,48.0,48.4,1880932.0
2018-02-23,54.75,60.19,54.69,59.94,6229493.0
2018-02-26,59.9,60.93,56.38,57.37,2158816.0
2018-02-27,56.87,57.58,55.55,55.56,1197407.0
2018-02-28,55.77,56.94,55.05,56.26,1004591.0
2018-03-01,55.82,56.45,53.23,54.32,1220244.0
2018-03-02,54.0,57.11,53.15,56.91,1365784.0
2018-03-05,56.92,58.8,56.65,58.24,1052602.0
2018-03-06,58.16,58.95,57.13,57.99,624653.0
2018-03-07,57.01,59.12,57.0,58.69,595093.0
2018-03-08,59.27,59.9,57.61,57.92,631580.0
2018-03-09,58.49,59.11,58.1,58.86,558057.0
2018-03-12,59.0,59.91,58.67,59.53,498237.0
2018-03-13,59.9,59.9,57.7,57.95,556080.0
2018-03-14,58.01,59.9,57.73,58.57,823221.0
2018-03-15,59.0,59.3,57.81,58.39,557825.0
2018-03-16,58.28,58.58,57.32,57.91,769122.0
2018-03-19,57.66,58.26,55.01,55.6,962365.0
2018-03-20,55.6,57.27,55.53,57.0,738071.0
2018-03-21,56.73,57.45,55.65,56.51,490489.0
2018-03-22,55.64,56.69,54.48,54.52,632680.0
2018-03-23,54.65,55.25,53.3,53.34,656613.0
2018-03-26,54.25,55.33,54.09,55.22,591882.0
2018-03-27,55.58,56.23,51.62,52.24,1010999.0
2018-03-28,52.07,52.51,50.36,50.96,1118888.0
2018-03-29,51.1,51.5,47.31,49.62,2356107.0
2018-04-02,48.96,49.62,47.28,48.01,860582.0
2018-04-03,48.28,48.71,46.95,47.46,759746.0
2018-04-04,46.52,48.17,45.77,47.9,771761.0
2018-04-05,49.24,50.49,48.9,48.99,1406366.0
2018-04-06,48.55,49.41,47.16,47.68,512971.0
2018-04-09,48.2,49.26,47.7,47.94,581654.0
2018-04-10,48.77,50.06,48.13,49.74,542288.0
2018-04-11,49.2,51.26,49.11,50.86,666893.0
2018-04-12,51.16,52.31,50.9,52.09,535364.0
2018-04-13,52.49,53.0,51.62,52.29,852806.0
2018-04-16,52.64,53.0,52.05,52.56,627495.0
2018-04-17,52.99,55.01,52.87,54.21,693092.0
2018-04-18,54.13,54.48,53.18,54.05,435746.0
2018-04-19,53.59,54.23,53.08,53.98,356100.0
2018-04-20,53.8,54.43,53.62,54.13,348520.0
2018-04-23,54.41,54.43,53.39,53.72,296746.0
2018-04-24,54.16,54.16,51.52,52.5,495449.0
2018-04-25,52.68,52.78,50.46,51.01,674964.0
2018-04-26,51.52,52.78,51.35,52.11,474407.0
2018-04-27,52.6,52.88,51.52,51.74,352306.0
2018-04-30,51.7,51.91,50.91,51.17,577348.0
2018-05-01,51.21,51.32,49.35,49.45,978259.0
2018-05-02,50.75,52.49,49.3,49.34,874548.0
2018-05-03,49.06,49.59,47.61,49.44,692596.0
2018-05-04,49.44,49.83,48.81,49.43,685916.0
2018-05-07,49.86,51.47,49.66,50.89,734603.0
2018-05-08,50.52,51.6,49.95,50.94,576197.0
2018-05-09,51.25,51.76,49.91,51.52,949362.0
2018-05-10,52.57,54.62,52.37,52.73,2804615.0
2018-05-11,67.75,75.8,67.31,75.61,12762403.0
2018-05-14,75.51,77.43,72.5,74.92,4120932.0
2018-05-15,73.73,80.97,73.72,80.22,4581199.0
2018-05-16,79.39,83.37,79.39,80.75,2829442.0
2018-05-17,80.12,83.07,80.08,80.44,1757610.0
2018-05-18,80.65,85.81,80.63,85.63,2878350.0
2018-05-21,85.75,87.8,81.78,82.96,2208580.0
2018-05-22,83.0,85.09,81.75,82.23,1508904.0
2018-05-23,82.1,83.71,81.76,82.96,770812.0
2018-05-24,82.71,83.95,81.84,82.99,583152.0
2018-05-25,82.92,84.87,82.12,82.56,723420.0
2018-05-29,82.07,83.2,81.82,82.73,802058.0
2018-05-30,83.25,85.41,82.8,84.54,964962.0
2018-05-31,84.81,85.72,84.18,85.53,688364.0
2018-06-01,86.04,91.37,85.1,86.64,3126322.0
2018-06-04,85.0,85.73,80.09,83.2,2385855.0
2018-06-05,83.22,88.36,83.22,87.93,1543642.0
2018-06-06,88.64,88.94,86.18,86.27,842215.0
2018-06-07,86.72,87.05,84.15,86.55,725377.0
2018-06-08,86.83,89.54,86.72,88.62,755929.0
2018-06-11,88.58,89.75,86.88,88.82,716886.0
2018-06-12,88.41,91.8,88.2,90.77,1155660.0
2018-06-13,91.9,92.53,89.14,90.06,900520.0
2018-06-14,92.33,92.9,88.5,90.53,1258347.0
2018-06-15,90.07,90.38,88.12,90.12,910332.0
2018-06-18,89.94,93.0,89.29,92.92,1022173.0
2018-06-19,91.89,92.91,86.51,91.49,1134417.0
2018-06-20,91.76,94.49,91.76,93.36,641731.0
2018-06-21,94.14,94.36,90.5,91.54,765278.0
2018-06-22,92.59,92.65,89.76,92.06,1617077.0
2018-06-25,90.51,91.49,84.7,89.34,1470296.0
2018-06-26,89.38,92.19,88.43,91.65,747330.0
2018-06-27,92.01,93.33,89.5,89.58,659016.0
2018-06-28,89.23,93.08,89.01,92.21,620757.0
2018-06-29,92.89,94.64,92.02,93.8,714915.0
2018-07-02,92.54,94.35,92.06,94.2,730289.0
2018-07-03,94.85,95.09,90.8,91.0,458038.0
2018-07-05,92.0,93.07,91.15,92.77,633320.0
2018-07-06,92.5,94.81,91.96,94.0,605061.0
2018-07-09,93.92,94.71,92.82,94.55,547733.0
2018-07-10,94.4,95.96,91.6,92.69,525090.0
2018-07-11,91.78,93.39,90.92,91.64,541266.0
2018-07-12,92.35,94.95,91.14,94.83,509720.0
2018-07-13,94.95,95.0,92.92,94.14,288839.0
2018-07-16,94.21,94.46,92.4,93.33,543090.0
2018-07-17,93.0,95.2,92.14,94.9,724878.0
2018-07-18,94.98,95.36,93.72,95.18,386025.0
2018-07-19,95.04,95.64,93.54,94.7,327838.0
2018-07-20,94.72,97.87,94.72,97.3,947693.0
2018-07-23,97.5,97.82,93.53,94.88,759381.0
2018-07-24,96.02,97.0,87.52,90.25,1175402.0
2018-07-25,90.62,94.74,90.41,93.14,598672.0
2018-07-26,92.0,94.38,90.23,92.79,445796.0
2018-07-27,93.34,93.87,87.34,89.5,995688.0
2018-07-30,90.0,90.3,84.13,85.96,919560.0
2018-07-31,86.0,87.65,83.66,84.32,919150.0
2018-08-01,84.12,88.17,84.12,86.84,874775.0
2018-08-02,86.2,89.18,85.72,88.49,509851.0
2018-08-03,88.5,89.28,85.89,86.87,595646.0
2018-08-06,87.0,89.36,85.76,89.14,418078.0
2018-08-07,90.31,91.54,88.63,90.13,596713.0
2018-08-08,90.3,92.15,89.51,91.37,729335.0
2018-08-09,91.5,94.84,91.5,93.29,1960731.0
2018-08-10,115.5,130.84,112.27,127.93,10362818.0
2018-08-13,128.01,129.7,123.5,125.69,2679974.0
2018-08-14,126.5,133.46,125.33,133.0,2324018.0
2018-08-15,132.99,133.84,123.2,126.69,1790145.0
2018-08-16,128.75,130.84,125.74,127.24,960340.0
2018-08-17,127.12,128.0,124.54,125.61,798231.0
2018-08-20,126.6,127.25,123.86,125.36,646353.0
2018-08-21,126.04,130.21,124.4,129.03,1016164.0
2018-08-22,129.03,130.96,127.72,129.68,753628.0
2018-08-23,129.6,136.83,129.6,136.7,1475745.0
2018-08-24,137.75,140.79,135.73,138.35,1162164.0
2018-08-27,140.05,142.15,139.05,139.72,755389.0
2018-08-28,140.8,142.09,137.26,140.09,543887.0
2018-08-29,140.0,143.47,139.56,141.66,550841.0
2018-08-30,141.7,142.98,139.81,140.78,523356.0
2018-08-31,139.59,142.37,139.51,141.88,506117.0
2018-09-04,141.87,147.42,141.17,146.69,1070437.0
2018-09-05,146.39,147.5,134.5,141.89,1497833.0
2018-09-06,142.14,143.0,136.68,139.25,914037.0
2018-09-07,137.85,146.46,136.27,141.97,801931.0
2018-09-10,143.55,145.45,140.1,142.44,716485.0
2018-09-11,141.56,149.02,141.0,147.72,871744.0
2018-09-12,149.0,149.0,140.57,145.84,904838.0
2018-09-13,147.0,151.76,144.66,145.62,799606.0
2018-09-14,145.8,148.01,144.36,146.09,569864.0
2018-09-17,145.87,148.2,142.12,142.65,618360.0
2018-09-18,142.4,146.48,142.26,144.73,604782.0
2018-09-19,145.3,146.17,141.76,144.85,604451.0
2018-09-20,142.22,145.09,141.45,143.23,797988.0
2018-09-21,143.81,144.23,140.73,141.86,1222590.0
2018-09-24,140.62,142.58,135.65,139.34,928343.0
2018-09-25,143.02,155.89,142.16,154.68,2236523.0
2018-09-26,153.21,158.84,150.28,155.75,1478908.0
2018-09-27,158.07,161.5,153.0,154.92,1182736.0
2018-09-28,154.05,155.71,150.4,150.91,951493.0
2018-10-01,151.51,152.76,142.19,143.52,1675865.0
2018-10-02,141.51,141.82,130.26,133.37,2417537.0
2018-10-03,137.0,140.54,134.24,138.85,1910147.0
2018-10-04,137.52,138.1,132.73,136.23,830044.0
2018-10-05,134.79,138.78,131.12,133.4,892029.0
2018-10-08,131.62,136.0,128.11,131.9,1170661.0
2018-10-09,133.2,135.95,128.75,128.92,902204.0
2018-10-10,128.0,128.16,118.55,118.65,1967290.0
2018-10-11,118.0,124.37,116.05,117.73,1726926.0
2018-10-12,123.75,128.24,119.36,123.06,1999830.0
2018-10-15,122.57,125.65,120.92,123.87,1249165.0
2018-10-16,126.6,130.22,124.93,129.89,1149686.0
2018-10-17,130.5,132.0,125.52,128.28,948302.0
2018-10-18,126.82,128.23,123.13,124.72,895237.0
2018-10-19,125.12,126.47,120.2,121.3,959401.0
2018-10-22,122.1,125.35,120.73,124.4,750414.0
2018-10-23,120.43,124.59,119.28,122.75,871568.0
2018-10-24,122.18,125.0,113.43,113.8,1416406.0
2018-10-25,115.6,118.63,113.58,116.24,1174039.0
2018-10-26,113.0,114.08,106.58,110.31,1562281.0
2018-10-29,112.88,114.68,106.22,109.12,1229031.0
2018-10-30,107.09,115.49,105.03,115.28,1267245.0
2018-10-31,119.12,125.75,117.52,123.55,1491605.0
2018-11-01,124.79,127.25,121.21,126.6,772541.0
2018-11-02,127.32,129.43,125.07,127.95,946854.0
2018-11-05,127.43,128.2,120.02,123.0,1293149.0
2018-11-06,122.21,125.69,120.31,122.11,633617.0
2018-11-07,124.41,132.7,123.31,131.88,1801992.0
2018-11-08,131.66,131.87,121.04,122.2,2859308.0
2018-11-09,111.32,130.96,110.2,122.57,5933125.0
2018-11-12,121.23,121.48,106.48,110.93,2885935.0
2018-11-13,111.5,113.8,105.53,112.06,2036605.0
2018-11-14,114.88,119.15,113.03,116.51,2237641.0
2018-11-15,115.56,123.88,114.3,123.34,1286854.0
2018-11-16,120.56,127.33,119.51,125.23,1343395.0
2018-11-19,123.85,124.02,111.89,113.73,1747610.0
2018-11-20,105.5,116.03,105.34,113.27,1259239.0
2018-11-21,115.63,119.76,113.12,118.53,763223.0
2018-11-23,116.49,120.62,116.0,119.35,358774.0
2018-11-26,122.99,130.96,119.16,129.4,1653997.0
2018-11-27,127.17,129.47,125.06,129.43,1041201.0
2018-11-28,131.86,135.94,128.11,135.66,1613024.0
2018-11-29,134.4,143.47,134.4,140.81,1548030.0
2018-11-30,140.02,143.01,138.61,142.45,991427.0
2018-12-03,148.01,149.0,141.55,148.61,1373414.0
